epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7569650905106657,0.928,70.45,0.943,0.687,2.8505,54.19,0.822,0.47
1,2.1131563218691016,1.6118,37.75,0.806,0.255,1.9536,33.93,0.713,0.148
2,1.6324716327865492,0.9471,65.09,0.928,0.621,1.134,63.48,0.902,0.558
3,0.9735278481864588,0.975,70.33,0.937,0.692,0.91,69.26,0.945,0.631
4,0.5286801502802894,0.4206,85.38,0.988,0.854,0.5988,77.75,0.969,0.741
5,0.37244366451189936,0.2599,90.59,0.995,0.905,0.6165,78.45,0.969,0.724
6,0.31047884310765933,0.2114,93.09,0.996,0.93,0.498,84.43,0.976,0.782
7,0.27207741280183145,0.1545,94.97,0.997,0.949,0.3786,86.4,0.983,0.819
8,0.24293838771173604,0.1626,94.67,0.997,0.946,0.4231,85.22,0.985,0.81
9,0.2286096329810799,0.158,94.63,0.997,0.945,0.3411,86.64,0.985,0.822
10,0.21889493778668423,0.1193,96.26,0.998,0.962,0.3955,86.53,0.982,0.823
11,0.2037630556384936,0.1384,95.42,0.998,0.955,0.4362,85.77,0.983,0.799
12,0.19378030255410192,0.1185,96.21,0.998,0.961,0.5495,84.23,0.979,0.797
13,0.1836864613130101,0.1064,96.6,0.999,0.966,0.3578,88.98,0.985,0.849
14,0.1773701335727421,0.0913,97.16,0.999,0.972,0.2811,90.18,0.99,0.867
15,0.1717722517535037,0.0885,97.24,0.999,0.972,0.3168,88.74,0.988,0.842
16,0.16602323091452054,0.095,97.03,0.999,0.97,0.3569,88.06,0.988,0.845
17,0.15801791127063466,0.0928,97.0,0.999,0.97,0.3271,88.65,0.991,0.848
18,0.1501996659650384,0.0906,97.05,0.999,0.97,0.4523,85.85,0.984,0.825
19,0.15019430184743524,0.103,96.69,0.999,0.967,0.5321,82.09,0.978,0.77
20,0.1428261796566641,0.1011,96.9,0.999,0.968,0.2999,88.9,0.992,0.858
21,0.1367492250777701,0.0757,97.57,0.999,0.975,0.2411,91.32,0.993,0.881
22,0.13242232569870555,0.0725,97.66,0.999,0.976,0.3202,89.72,0.988,0.864
23,0.13010524410260407,0.0642,98.0,0.999,0.98,0.2854,90.57,0.99,0.88
24,0.12375909606108315,0.0709,97.67,0.999,0.977,0.3079,88.85,0.991,0.862
25,0.11735138040049316,0.0639,97.98,0.999,0.98,0.2637,90.35,0.993,0.869
26,0.11855546426441935,0.0652,97.91,0.999,0.979,0.2598,90.72,0.993,0.872
27,0.10937348390699074,0.0543,98.42,1.0,0.984,0.3091,89.36,0.99,0.846
28,0.10612670077498348,0.0534,98.34,1.0,0.983,0.2166,92.63,0.994,0.901
29,0.10391569665322702,0.0596,98.09,1.0,0.981,0.2728,90.7,0.992,0.865
30,0.10369685058244989,0.0491,98.47,1.0,0.984,0.3669,87.95,0.989,0.848
31,0.09539410168485295,0.0523,98.39,1.0,0.984,0.2908,90.54,0.991,0.882
32,0.0897210236391767,0.05,98.43,1.0,0.984,0.2629,91.95,0.991,0.887
33,0.08996609654811655,0.0503,98.44,1.0,0.984,0.239,91.39,0.993,0.892
34,0.08700765500773132,0.0462,98.54,1.0,0.985,0.2462,91.3,0.993,0.881
35,0.0810632733728296,0.0406,98.73,1.0,0.987,0.2473,92.15,0.993,0.893
36,0.07906010447530656,0.0451,98.61,1.0,0.986,0.3135,91.06,0.99,0.892
37,0.07372609508060265,0.0372,98.85,1.0,0.988,0.2529,91.8,0.993,0.892
38,0.07055006178736847,0.0367,98.87,1.0,0.989,0.1942,93.35,0.995,0.911
39,0.06855813622321119,0.0382,98.81,1.0,0.988,0.2224,92.42,0.994,0.904
40,0.0656635063386599,0.0352,98.99,1.0,0.99,0.2396,91.98,0.993,0.896
41,0.06142698729070284,0.0341,99.0,1.0,0.99,0.2407,92.15,0.993,0.896
42,0.05995258891213966,0.0327,98.98,1.0,0.99,0.2232,92.33,0.994,0.9
43,0.05852439618706169,0.0321,99.04,1.0,0.99,0.219,92.8,0.994,0.905
44,0.05639193353066254,0.0309,99.04,1.0,0.99,0.2109,92.8,0.994,0.904
45,0.052635293435572404,0.0307,99.11,1.0,0.991,0.2212,92.55,0.994,0.904
46,0.05231742527649661,0.0305,99.06,1.0,0.99,0.2102,93.18,0.995,0.913
47,0.052080506173473214,0.0301,99.09,1.0,0.991,0.2171,92.77,0.994,0.906
48,0.05125703834711597,0.03,99.1,1.0,0.991,0.2194,92.47,0.994,0.902
49,0.04886049685305432,0.0295,99.13,1.0,0.991,0.222,92.63,0.994,0.904
