epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.001612747014637,1.281,56.96,0.908,0.539,1.4919,41.31,0.85,0.396
1,2.114351676142771,1.4636,44.13,0.847,0.345,1.6035,38.17,0.816,0.285
2,1.7646418690254184,1.1664,58.15,0.895,0.562,1.1911,59.47,0.889,0.523
3,0.9933191169867807,0.5231,81.4,0.98,0.807,0.7082,73.66,0.959,0.69
4,0.4741594845355625,0.3043,89.85,0.993,0.898,0.5344,80.28,0.974,0.759
5,0.33724605812821334,0.2624,90.67,0.995,0.902,0.4522,84.56,0.98,0.791
6,0.28744332747380363,0.1617,95.08,0.997,0.95,0.4963,83.56,0.979,0.788
7,0.25589876948425205,0.1496,95.06,0.998,0.95,0.3085,88.28,0.986,0.825
8,0.23048956278297636,0.1618,94.62,0.997,0.946,0.3915,86.78,0.983,0.811
9,0.2188252238923931,0.1382,95.52,0.998,0.955,0.3155,89.09,0.987,0.846
10,0.20378316818038836,0.1256,96.22,0.998,0.962,0.3707,87.27,0.987,0.837
11,0.19490854868057808,0.1202,96.24,0.998,0.962,0.3866,87.45,0.983,0.834
12,0.1852831638094345,0.1358,95.59,0.998,0.955,0.4973,84.21,0.984,0.811
13,0.1763356224530273,0.1142,96.47,0.999,0.964,0.3156,88.99,0.99,0.853
14,0.1701215581307488,0.1024,96.84,0.999,0.968,0.3625,87.26,0.987,0.832
15,0.16311451362105467,0.0946,96.99,0.999,0.97,0.3012,89.5,0.989,0.857
16,0.1610039954664566,0.1024,96.68,0.999,0.967,0.2576,90.83,0.991,0.874
17,0.15194097585228394,0.0873,97.28,0.999,0.973,0.3964,88.5,0.985,0.853
18,0.14622512188703357,0.0806,97.46,0.999,0.974,0.3589,88.58,0.989,0.858
19,0.1421554190069971,0.088,97.14,0.999,0.971,0.3822,87.86,0.988,0.861
20,0.14025040379455012,0.1109,96.32,0.999,0.962,0.4032,86.37,0.987,0.836
21,0.1332868117118074,0.0774,97.53,0.999,0.975,0.2997,91.33,0.991,0.893
22,0.13078891078016877,0.0753,97.51,0.999,0.975,0.2679,91.84,0.991,0.889
23,0.12603990960946326,0.0704,97.76,0.999,0.977,0.2933,89.93,0.991,0.865
24,0.12140273445996866,0.0714,97.83,0.999,0.978,0.2866,90.04,0.992,0.871
25,0.11389099131922462,0.0714,97.76,0.999,0.978,0.3449,90.18,0.988,0.861
26,0.11360125122157903,0.0609,98.06,1.0,0.98,0.2481,91.52,0.994,0.893
27,0.10857327689006123,0.0686,97.94,0.999,0.979,0.2389,91.99,0.993,0.894
28,0.10472959871186899,0.0591,98.12,0.999,0.981,0.2553,91.99,0.993,0.895
29,0.10093676585931077,0.0589,98.13,1.0,0.981,0.2361,91.65,0.993,0.884
30,0.09904326388018213,0.0495,98.45,1.0,0.984,0.2662,90.24,0.993,0.878
31,0.09493819637871664,0.0514,98.36,1.0,0.984,0.2784,90.86,0.992,0.886
32,0.08805823030691314,0.0534,98.41,1.0,0.984,0.2443,92.74,0.994,0.904
33,0.0856343842608901,0.0532,98.35,1.0,0.983,0.2049,92.82,0.995,0.905
34,0.08241861085757933,0.0485,98.48,1.0,0.985,0.2525,91.14,0.994,0.881
35,0.07813710650415777,0.0428,98.66,1.0,0.986,0.258,91.87,0.993,0.893
36,0.07509971874695952,0.0466,98.51,1.0,0.985,0.2095,93.16,0.995,0.913
37,0.07103563724986968,0.0389,98.71,1.0,0.987,0.2848,92.23,0.991,0.9
38,0.0694945859355605,0.0394,98.81,1.0,0.988,0.2379,93.08,0.993,0.91
39,0.06686500932246874,0.0389,98.73,1.0,0.987,0.2401,92.72,0.993,0.907
40,0.06272301413819835,0.0353,98.95,1.0,0.989,0.2631,92.12,0.993,0.901
41,0.0592778031730951,0.0335,98.99,1.0,0.99,0.2564,92.39,0.992,0.901
42,0.05847019817192762,0.0327,98.99,1.0,0.99,0.2852,91.85,0.992,0.894
43,0.055397293298408444,0.0313,98.99,1.0,0.99,0.2736,92.15,0.993,0.901
44,0.05406168099379294,0.0296,99.08,1.0,0.991,0.2805,91.92,0.992,0.894
45,0.05016703277953156,0.0296,99.07,1.0,0.991,0.2664,92.52,0.993,0.903
46,0.05078030609789448,0.0303,99.04,1.0,0.99,0.248,92.52,0.994,0.9
47,0.04878951451243786,0.0292,99.11,1.0,0.991,0.2396,92.8,0.994,0.905
48,0.04772750391728348,0.0289,99.13,1.0,0.991,0.2484,92.63,0.994,0.904
49,0.04944272131882742,0.0289,99.12,1.0,0.991,0.2491,92.7,0.994,0.904
