epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.5005797673297185,1.9345,24.95,0.696,0.12,2.015,16.83,0.698,0.106
1,2.208837018645365,2.0144,11.59,0.616,0.07,1.9567,19.11,0.713,0.091
2,1.6930182060246826,1.1619,55.23,0.911,0.538,1.1196,57.03,0.905,0.499
3,0.757844106217439,0.4104,85.44,0.986,0.851,0.4979,82.01,0.978,0.781
4,0.48725950493607467,0.3204,88.51,0.991,0.883,0.4465,83.59,0.979,0.796
5,0.3916217048108364,0.2123,92.81,0.995,0.927,0.3855,86.15,0.983,0.825
6,0.3464674187496999,0.2263,92.23,0.995,0.922,0.4411,85.43,0.982,0.815
7,0.3125235506443567,0.1854,93.87,0.996,0.939,0.382,86.74,0.983,0.82
8,0.28928744756887037,0.174,94.13,0.996,0.941,0.3987,86.55,0.983,0.829
9,0.27607451638333685,0.2124,92.53,0.996,0.922,0.3434,87.37,0.987,0.84
10,0.2576272236617235,0.1874,93.44,0.996,0.936,0.5531,83.86,0.978,0.803
11,0.24428174926442056,0.1788,94.18,0.997,0.94,0.3992,85.58,0.985,0.819
12,0.23661838822387238,0.1833,93.92,0.997,0.938,0.4721,85.93,0.985,0.816
13,0.22672994129733587,0.122,95.96,0.998,0.959,0.335,88.96,0.988,0.858
14,0.22031142658764316,0.1391,95.68,0.998,0.956,0.4894,83.85,0.985,0.803
15,0.21267187419117137,0.132,95.57,0.998,0.956,0.3659,87.12,0.986,0.826
16,0.20576493673053267,0.1397,95.42,0.998,0.955,0.3628,87.97,0.984,0.847
17,0.19909920763745104,0.1163,96.38,0.998,0.963,0.4295,86.36,0.983,0.822
18,0.19132164786286038,0.1207,96.14,0.998,0.96,0.3441,88.08,0.987,0.841
19,0.19016704789786784,0.1209,95.98,0.998,0.96,0.4314,85.87,0.982,0.818
20,0.18000237382013737,0.1188,96.23,0.998,0.962,0.4335,85.65,0.983,0.811
21,0.17901162014052432,0.1097,96.52,0.999,0.965,0.3264,88.95,0.988,0.852
22,0.1733332531907225,0.1085,96.56,0.999,0.965,0.4323,87.13,0.981,0.836
23,0.16626872637018722,0.0986,96.85,0.999,0.968,0.3358,88.9,0.986,0.855
24,0.1616413465176966,0.0932,96.92,0.999,0.969,0.3041,90.38,0.989,0.874
25,0.15562874750371047,0.076,97.67,0.999,0.977,0.3865,88.93,0.985,0.856
26,0.15253677175089878,0.0759,97.73,0.999,0.977,0.2947,90.53,0.99,0.881
27,0.14634290549196435,0.0978,96.9,0.999,0.969,0.3528,88.16,0.988,0.84
28,0.1405051371289624,0.095,96.98,0.999,0.969,0.308,89.55,0.991,0.867
29,0.13754294733233136,0.0671,97.91,0.999,0.979,0.2928,90.97,0.99,0.86
30,0.13618696464299088,0.0762,97.56,0.999,0.975,0.3766,87.83,0.988,0.849
31,0.13008484299091028,0.0729,97.67,0.999,0.976,0.3112,90.07,0.989,0.864
32,0.12452013322609513,0.063,98.02,0.999,0.98,0.3136,90.98,0.99,0.878
33,0.12072411745346041,0.063,98.07,0.999,0.981,0.3681,90.37,0.985,0.876
34,0.11503467546261874,0.0618,98.21,0.999,0.982,0.3663,89.86,0.987,0.858
35,0.1115687543219189,0.0553,98.31,1.0,0.983,0.4035,88.19,0.984,0.837
36,0.10723298820783801,0.0571,98.26,1.0,0.983,0.3436,88.69,0.988,0.841
37,0.10245308415850751,0.0562,98.25,1.0,0.982,0.3201,90.84,0.988,0.881
38,0.09815639647818755,0.0514,98.43,1.0,0.984,0.276,92.15,0.992,0.888
39,0.09541915728306685,0.0513,98.38,1.0,0.984,0.2733,91.84,0.991,0.891
40,0.09148054355655307,0.0491,98.56,1.0,0.986,0.3277,90.81,0.987,0.881
41,0.08704928635522777,0.0489,98.58,1.0,0.986,0.3138,90.59,0.99,0.871
42,0.08556650663929655,0.0454,98.63,1.0,0.986,0.3102,90.15,0.99,0.865
43,0.08496716992402162,0.0445,98.65,1.0,0.986,0.2679,91.38,0.991,0.883
44,0.07924759095220903,0.045,98.63,1.0,0.986,0.298,90.83,0.99,0.874
45,0.07623610211249214,0.0428,98.75,1.0,0.987,0.2876,91.57,0.99,0.884
46,0.07676346556994543,0.0427,98.69,1.0,0.987,0.2639,92.09,0.992,0.891
47,0.0745328585066462,0.0424,98.7,1.0,0.987,0.2904,91.44,0.99,0.883
48,0.07426631759758705,0.042,98.7,1.0,0.987,0.2972,91.35,0.989,0.884
49,0.07357356471166442,0.0409,98.77,1.0,0.988,0.2987,91.55,0.99,0.886
