epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.5192631679623787,3.6248,21.34,0.586,0.098,3.3879,24.73,0.597,0.108
1,2.184787738494121,2.0531,16.79,0.549,0.086,2.0784,23.13,0.566,0.111
2,1.9121451944005958,1.7551,34.08,0.787,0.314,1.4432,43.19,0.828,0.359
3,1.1729449002759857,1.0226,60.55,0.937,0.579,1.0394,60.18,0.93,0.562
4,0.6526149379416606,0.5354,79.56,0.979,0.788,0.6906,75.57,0.963,0.7
5,0.48725353122612053,0.3301,87.9,0.99,0.877,0.4148,84.29,0.98,0.808
6,0.41841856769442987,0.2712,90.69,0.993,0.907,0.4858,81.41,0.978,0.774
7,0.36615467976818805,0.242,91.97,0.994,0.92,0.447,83.78,0.98,0.788
8,0.33303738183819265,0.2034,93.22,0.995,0.932,0.4294,85.46,0.98,0.816
9,0.31583291869009694,0.2487,91.22,0.995,0.911,0.5561,80.91,0.974,0.762
10,0.2945906231747306,0.184,94.07,0.997,0.94,0.3839,85.5,0.984,0.824
11,0.2837842461189061,0.1682,94.55,0.997,0.945,0.4901,83.5,0.977,0.793
12,0.26570167303031916,0.1566,95.15,0.997,0.952,0.4996,84.34,0.979,0.802
13,0.2557607099120121,0.1565,95.05,0.997,0.95,0.3747,87.72,0.983,0.845
14,0.2497351041137104,0.1736,94.12,0.997,0.939,0.4447,85.69,0.984,0.823
15,0.23966989222927332,0.1701,94.5,0.997,0.945,0.4439,85.33,0.979,0.805
16,0.23281343064961896,0.1515,95.11,0.998,0.952,0.3831,86.22,0.983,0.816
17,0.22967322711502353,0.1509,95.1,0.998,0.951,0.3686,87.1,0.986,0.835
18,0.2193077162148491,0.1415,95.43,0.998,0.954,0.3472,87.59,0.988,0.841
19,0.21936787465941093,0.1372,95.47,0.998,0.954,0.2882,89.72,0.991,0.865
20,0.20984894316309669,0.1565,95.02,0.998,0.951,0.3959,86.53,0.985,0.827
21,0.20480134691976304,0.1192,96.18,0.998,0.962,0.3289,89.5,0.987,0.856
22,0.20322733425859055,0.1167,96.11,0.999,0.961,0.3575,88.14,0.985,0.845
23,0.19323793853429483,0.1173,96.25,0.999,0.962,0.3374,87.6,0.988,0.841
24,0.18881891211861992,0.1245,95.77,0.998,0.957,0.3354,87.86,0.987,0.838
25,0.18194422124481116,0.0946,97.08,0.999,0.971,0.3163,91.05,0.989,0.878
26,0.1815148563421328,0.0983,96.95,0.999,0.969,0.3276,88.93,0.989,0.856
27,0.16982429801723437,0.1113,96.36,0.999,0.964,0.3674,86.72,0.985,0.816
28,0.17091604357578635,0.0942,97.04,0.999,0.97,0.3119,89.89,0.989,0.864
29,0.16169310424570327,0.1128,96.23,0.999,0.963,0.296,88.93,0.989,0.85
30,0.16214955314379653,0.0781,97.59,0.999,0.976,0.3498,88.87,0.988,0.853
31,0.15313693100927017,0.0902,97.1,0.999,0.971,0.3219,89.1,0.987,0.851
32,0.14732681972552159,0.0782,97.53,0.999,0.975,0.3454,88.63,0.987,0.852
33,0.14317873601658157,0.0752,97.76,0.999,0.978,0.356,89.99,0.985,0.871
34,0.13956314580361476,0.0679,98.0,0.999,0.98,0.3087,91.25,0.988,0.877
35,0.1341422928837679,0.0664,98.01,0.999,0.98,0.3454,89.67,0.986,0.859
36,0.13303794009497516,0.0743,97.75,0.999,0.977,0.3059,90.98,0.988,0.88
37,0.12843486273788102,0.0612,98.16,0.999,0.982,0.332,90.13,0.987,0.867
38,0.12102169708405558,0.0588,98.23,1.0,0.982,0.2677,91.99,0.991,0.892
39,0.11852925425682444,0.0605,98.05,1.0,0.98,0.3386,90.0,0.987,0.869
40,0.11341328984693921,0.0596,98.21,1.0,0.982,0.2965,90.92,0.988,0.877
41,0.10819025316666211,0.0576,98.29,1.0,0.983,0.3475,90.57,0.986,0.869
42,0.10470898956474331,0.0539,98.37,1.0,0.984,0.3175,90.29,0.989,0.867
43,0.09956921986888387,0.0543,98.37,1.0,0.984,0.3159,90.02,0.989,0.863
44,0.09853944278365555,0.0526,98.43,1.0,0.984,0.326,90.6,0.988,0.876
45,0.09546831880419057,0.0505,98.49,1.0,0.985,0.3221,90.9,0.988,0.88
46,0.09487578212066577,0.0507,98.47,1.0,0.985,0.3097,91.3,0.989,0.883
47,0.09119666844112365,0.0505,98.49,1.0,0.985,0.2992,91.09,0.989,0.881
48,0.09349766232433819,0.0496,98.5,1.0,0.985,0.3192,90.78,0.988,0.879
49,0.09246389382922734,0.0488,98.55,1.0,0.985,0.3211,91.0,0.988,0.88
