epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7079763476566603,1.0359,65.05,0.927,0.645,1.1807,58.69,0.856,0.506
1,2.0495416216525553,1.3796,44.92,0.856,0.385,1.808,30.98,0.781,0.242
2,1.1702105971220147,0.8581,67.1,0.945,0.652,1.0584,65.42,0.931,0.58
3,0.5393993438198148,0.453,83.11,0.985,0.828,0.639,78.02,0.969,0.696
4,0.3474509095953357,0.221,92.3,0.996,0.923,0.3446,87.48,0.987,0.831
5,0.27184245093161485,0.159,95.1,0.997,0.951,0.3705,86.66,0.984,0.824
6,0.2314413626641569,0.1428,95.53,0.998,0.954,0.3021,89.94,0.99,0.864
7,0.20776208660375045,0.1325,95.75,0.998,0.958,0.2993,89.44,0.987,0.853
8,0.1853775815590949,0.1386,95.65,0.998,0.957,0.3701,87.04,0.987,0.832
9,0.17172805239249514,0.1595,94.72,0.998,0.947,0.3249,88.03,0.988,0.831
10,0.16076140170482967,0.0989,96.89,0.999,0.969,0.3139,90.46,0.989,0.875
11,0.15673400329486017,0.1096,96.54,0.999,0.966,0.3685,88.2,0.988,0.836
12,0.1465609764753704,0.1106,96.54,0.999,0.965,0.3005,89.53,0.995,0.881
13,0.1388178281552796,0.0914,97.27,0.999,0.972,0.3068,89.34,0.992,0.854
14,0.13322450094405683,0.0835,97.34,0.999,0.973,0.2714,91.52,0.992,0.886
15,0.13201163923134193,0.0849,97.39,0.999,0.974,0.2978,90.73,0.992,0.882
16,0.12629072529040145,0.094,97.09,0.999,0.971,0.2584,90.83,0.993,0.887
17,0.12162001597224384,0.0823,97.36,0.999,0.973,0.3381,88.11,0.989,0.83
18,0.11554400618839007,0.075,97.65,0.999,0.976,0.3107,89.86,0.99,0.864
19,0.11571543972845787,0.0784,97.48,0.999,0.975,0.2545,91.13,0.992,0.873
20,0.10795438239905035,0.1184,96.0,0.999,0.96,0.3893,88.58,0.99,0.86
21,0.1078899333580634,0.0732,97.79,0.999,0.977,0.3712,89.04,0.987,0.843
22,0.10370552383102877,0.0648,98.0,1.0,0.98,0.2949,89.59,0.992,0.865
23,0.09827365025237042,0.0646,98.05,1.0,0.98,0.2361,91.99,0.994,0.907
24,0.09517756453298006,0.0576,98.23,1.0,0.982,0.1872,93.23,0.996,0.908
25,0.08870636600847473,0.0548,98.35,1.0,0.983,0.1858,93.3,0.996,0.909
26,0.08965553891073952,0.0568,98.24,1.0,0.982,0.2914,91.35,0.993,0.89
27,0.08538861231925132,0.0554,98.38,1.0,0.983,0.2655,91.08,0.994,0.878
28,0.08181900660904612,0.0566,98.29,1.0,0.983,0.2691,91.43,0.993,0.888
29,0.08083532487232518,0.048,98.48,1.0,0.985,0.1689,94.08,0.996,0.921
30,0.07880489831109361,0.0513,98.47,1.0,0.984,0.2305,91.11,0.995,0.881
31,0.07315136920861019,0.0564,98.19,1.0,0.982,0.2725,90.37,0.993,0.863
32,0.06972426388706464,0.0535,98.33,1.0,0.983,0.2402,91.47,0.994,0.877
33,0.06657585296880013,0.0488,98.42,1.0,0.984,0.2067,92.93,0.994,0.901
34,0.0660255163737763,0.0469,98.49,1.0,0.985,0.2372,91.58,0.995,0.887
35,0.060813308675109166,0.0415,98.67,1.0,0.987,0.1852,93.92,0.996,0.919
36,0.05823620033907741,0.0396,98.81,1.0,0.988,0.1706,94.16,0.997,0.923
37,0.05657037149774291,0.0375,98.85,1.0,0.988,0.2125,92.85,0.995,0.9
38,0.0515421936421999,0.0361,98.83,1.0,0.988,0.1793,94.11,0.996,0.92
39,0.05080068289005201,0.0386,98.69,1.0,0.987,0.162,94.63,0.996,0.927
40,0.0485034501914429,0.035,98.89,1.0,0.989,0.1953,93.56,0.995,0.91
41,0.045627898259562406,0.033,98.98,1.0,0.99,0.2198,92.7,0.995,0.896
42,0.04403109537057018,0.0305,99.02,1.0,0.99,0.213,92.93,0.995,0.904
43,0.04236681550727844,0.0321,98.97,1.0,0.989,0.1763,94.24,0.996,0.923
44,0.03841776174650024,0.0305,99.06,1.0,0.99,0.2048,93.24,0.995,0.912
45,0.03743381809449912,0.0298,99.12,1.0,0.991,0.2085,93.38,0.995,0.912
46,0.03692845383652329,0.0285,99.11,1.0,0.991,0.2095,93.3,0.995,0.911
47,0.036164583242748696,0.0285,99.1,1.0,0.991,0.1992,93.56,0.996,0.913
48,0.03515249104522783,0.0282,99.04,1.0,0.99,0.1956,93.54,0.996,0.913
49,0.0355615495774214,0.0281,99.11,1.0,0.991,0.1971,93.51,0.996,0.912
