epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.2059511614956735,1.3052,57.53,0.9,0.502,1.5419,45.76,0.848,0.38
1,2.1041659283381637,1.6026,39.68,0.794,0.342,1.7044,40.93,0.753,0.277
2,1.4084743362814722,0.6482,76.55,0.968,0.762,0.7655,69.22,0.949,0.621
3,0.761584643020852,0.3537,87.31,0.989,0.872,0.5274,78.67,0.972,0.742
4,0.47399375830713564,0.2389,92.02,0.995,0.919,0.409,84.76,0.982,0.793
5,0.3757653925901673,0.1951,93.53,0.996,0.935,0.3919,86.31,0.983,0.826
6,0.32568302795985266,0.1887,93.89,0.997,0.938,0.3868,86.59,0.988,0.835
7,0.2972982370004218,0.1487,95.36,0.997,0.953,0.3976,86.91,0.984,0.838
8,0.27417447798514877,0.1422,95.43,0.998,0.954,0.3395,87.24,0.987,0.828
9,0.25892765080309255,0.1531,95.26,0.997,0.951,0.3845,86.97,0.982,0.831
10,0.24810885600612154,0.1244,96.14,0.998,0.962,0.2969,88.73,0.99,0.848
11,0.23555404954593243,0.1171,96.34,0.998,0.963,0.3636,88.69,0.986,0.841
12,0.22894936934861232,0.1112,96.54,0.998,0.965,0.2927,89.26,0.992,0.869
13,0.21984972679273201,0.1218,96.32,0.998,0.963,0.2399,91.24,0.993,0.879
14,0.21395189790422345,0.1248,96.22,0.998,0.962,0.3058,90.05,0.991,0.868
15,0.20446915065996535,0.0998,96.97,0.999,0.969,0.2344,91.74,0.994,0.896
16,0.19905958618421282,0.11,96.34,0.999,0.963,0.2822,89.01,0.991,0.849
17,0.191512273063743,0.0898,97.15,0.999,0.972,0.2945,90.15,0.991,0.867
18,0.18515815445652573,0.0877,97.24,0.999,0.972,0.2999,90.1,0.99,0.872
19,0.1857214590541244,0.1104,96.36,0.999,0.963,0.3546,87.42,0.986,0.846
20,0.1765325600982353,0.0826,97.36,0.999,0.973,0.2426,91.93,0.993,0.894
21,0.16982932191168534,0.0795,97.55,0.999,0.975,0.2633,90.9,0.993,0.886
22,0.1671395182249046,0.1189,96.0,0.999,0.96,0.383,85.71,0.989,0.82
23,0.1607286472834887,0.0682,97.83,0.999,0.978,0.2436,91.35,0.992,0.881
24,0.1554625899026898,0.0816,97.6,0.999,0.976,0.2337,91.36,0.994,0.886
25,0.1507399661406394,0.0758,97.6,0.999,0.976,0.1824,93.27,0.996,0.913
26,0.14945604113401265,0.0644,98.01,0.999,0.98,0.2214,92.17,0.995,0.899
27,0.1428092514034561,0.0687,97.89,0.999,0.979,0.2157,91.92,0.995,0.898
28,0.1376729059804191,0.0728,97.62,0.999,0.976,0.1904,92.91,0.996,0.909
29,0.13534302920049665,0.0631,98.06,0.999,0.98,0.1717,93.51,0.995,0.905
30,0.13322295843353194,0.0571,98.15,1.0,0.981,0.2011,92.86,0.995,0.904
31,0.1234924599902177,0.0592,98.13,0.999,0.981,0.2316,92.1,0.993,0.897
32,0.12080886463991844,0.054,98.29,1.0,0.983,0.2046,93.08,0.994,0.911
33,0.1176667010718723,0.0545,98.33,1.0,0.983,0.1919,93.35,0.994,0.908
34,0.11128904940193272,0.0514,98.45,1.0,0.984,0.1805,93.56,0.996,0.916
35,0.10625652643254421,0.0466,98.59,1.0,0.986,0.1928,92.75,0.996,0.906
36,0.10278979097709967,0.0472,98.55,1.0,0.985,0.2237,92.28,0.994,0.9
37,0.10081288513583948,0.0456,98.57,1.0,0.986,0.1684,94.03,0.996,0.917
38,0.0959759679753133,0.045,98.61,1.0,0.986,0.1826,93.97,0.996,0.921
39,0.093399830109116,0.0452,98.61,1.0,0.986,0.1705,93.83,0.996,0.922
40,0.08851892149950441,0.0413,98.69,1.0,0.987,0.1956,93.42,0.995,0.915
41,0.08236598650053624,0.0381,98.74,1.0,0.987,0.1911,93.6,0.995,0.913
42,0.08210728183642403,0.0375,98.82,1.0,0.988,0.205,92.99,0.995,0.908
43,0.07808917865163803,0.0374,98.82,1.0,0.988,0.1858,93.43,0.996,0.916
44,0.07675242410158224,0.0372,98.81,1.0,0.988,0.1911,93.26,0.996,0.912
45,0.07453884072701937,0.0359,98.8,1.0,0.988,0.1819,93.64,0.996,0.918
46,0.07227553022477949,0.0359,98.83,1.0,0.988,0.175,93.81,0.996,0.918
47,0.07078576644742361,0.0347,98.85,1.0,0.988,0.175,93.9,0.996,0.921
48,0.07127406785771999,0.0345,98.88,1.0,0.989,0.1786,93.64,0.996,0.918
49,0.07036843547751079,0.0341,98.88,1.0,0.989,0.1779,93.7,0.996,0.919
