epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.4596841386569444,1.6826,35.12,0.765,0.236,1.8628,30.29,0.777,0.174
1,2.205131622839145,1.8735,29.54,0.691,0.2,1.8739,27.66,0.723,0.155
2,1.6368823124089122,1.0978,54.88,0.914,0.52,1.0556,61.41,0.924,0.543
3,0.9031085394402986,0.5973,78.83,0.97,0.784,0.6048,76.9,0.969,0.723
4,0.6145693489407126,0.3945,85.93,0.986,0.858,0.458,82.0,0.983,0.784
5,0.49189718623101497,0.326,88.52,0.99,0.883,0.3795,85.88,0.985,0.823
6,0.4372100276759021,0.2951,89.72,0.992,0.897,0.4109,84.1,0.983,0.81
7,0.39249555296581706,0.2414,91.8,0.994,0.917,0.2842,88.17,0.989,0.836
8,0.3595229959829734,0.2854,90.37,0.993,0.904,0.4622,83.5,0.979,0.802
9,0.3411353705016943,0.2382,91.92,0.995,0.919,0.2936,89.17,0.989,0.853
10,0.31650366751630676,0.1903,93.78,0.996,0.939,0.2892,89.66,0.988,0.863
11,0.3031788741014764,0.1843,94.06,0.996,0.941,0.2588,90.07,0.99,0.866
12,0.2930750045458049,0.1656,94.69,0.997,0.947,0.3594,86.5,0.987,0.825
13,0.27777904094493944,0.1872,94.01,0.996,0.94,0.3632,87.78,0.981,0.841
14,0.2730937048819544,0.1615,94.64,0.997,0.947,0.3689,86.99,0.989,0.823
15,0.26393429307420624,0.1672,94.5,0.997,0.945,0.3625,86.25,0.985,0.815
16,0.25366294952810453,0.1939,93.37,0.997,0.934,0.4027,84.68,0.982,0.795
17,0.2432599067955034,0.142,95.45,0.998,0.954,0.3088,88.71,0.991,0.855
18,0.23583548470637278,0.1363,95.63,0.998,0.956,0.3579,88.16,0.986,0.851
19,0.23242579850511738,0.1884,93.56,0.997,0.935,0.3142,88.22,0.989,0.844
20,0.22135919034748094,0.1433,95.3,0.998,0.952,0.3084,89.22,0.989,0.861
21,0.21371233990703006,0.1425,95.36,0.998,0.954,0.2769,89.93,0.989,0.862
22,0.20927423764834693,0.1365,95.45,0.998,0.954,0.3995,85.62,0.988,0.823
23,0.19991483667524912,0.1317,95.61,0.998,0.956,0.3427,89.69,0.986,0.863
24,0.19842532621596448,0.1081,96.49,0.999,0.965,0.2843,90.21,0.99,0.871
25,0.1881653843213901,0.1157,96.23,0.998,0.962,0.3508,88.63,0.987,0.859
26,0.1844745479043453,0.1312,95.75,0.998,0.957,0.2426,91.44,0.991,0.883
27,0.1784572160826148,0.1304,95.69,0.998,0.957,0.3658,86.88,0.987,0.825
28,0.17348553878538925,0.0978,96.72,0.999,0.967,0.2806,90.49,0.99,0.868
29,0.1728866633935748,0.1004,96.77,0.999,0.967,0.2523,90.95,0.991,0.879
30,0.16266580654381638,0.0908,97.1,0.999,0.971,0.3434,89.58,0.988,0.859
31,0.15840751740507328,0.0965,96.75,0.999,0.968,0.3058,89.36,0.989,0.86
32,0.15077235595086141,0.082,97.35,0.999,0.974,0.2884,90.79,0.99,0.875
33,0.14492998820292266,0.0802,97.39,0.999,0.974,0.2762,91.47,0.989,0.887
34,0.14105818504768033,0.0799,97.46,0.999,0.975,0.2739,90.97,0.99,0.872
35,0.1365904953050357,0.0886,97.27,0.999,0.972,0.2899,89.5,0.99,0.856
36,0.13251675716784905,0.0717,97.76,0.999,0.977,0.2416,91.99,0.992,0.896
37,0.12336924315620494,0.0679,97.78,0.999,0.978,0.2807,91.28,0.99,0.883
38,0.12327363756635497,0.0688,97.91,0.999,0.979,0.2776,91.66,0.99,0.889
39,0.11620822711764271,0.0667,97.72,0.999,0.977,0.2669,91.96,0.99,0.893
40,0.11359484690678803,0.0621,98.03,1.0,0.98,0.2776,91.68,0.989,0.89
41,0.10937198198410453,0.0631,97.99,0.999,0.98,0.2675,91.74,0.991,0.888
42,0.10543961103965518,0.0605,98.04,1.0,0.98,0.2534,91.65,0.992,0.886
43,0.10154163767333313,0.0586,98.09,1.0,0.981,0.2733,91.38,0.99,0.885
44,0.09801631977307647,0.0596,98.12,1.0,0.981,0.2481,92.15,0.992,0.895
45,0.09654937842093061,0.0562,98.17,1.0,0.981,0.2365,92.29,0.993,0.897
46,0.09179759782815759,0.0552,98.18,1.0,0.982,0.2337,92.5,0.992,0.898
47,0.09100109930934658,0.0563,98.23,1.0,0.982,0.2447,92.1,0.992,0.894
48,0.08928148949178316,0.0563,98.24,1.0,0.982,0.2503,91.85,0.992,0.891
49,0.09248232051703452,0.0559,98.26,1.0,0.982,0.2441,92.07,0.992,0.893
