epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0725770208143417,1.1687,60.34,0.905,0.6,1.3447,59.29,0.835,0.52
1,2.033045775574168,1.2199,54.82,0.894,0.535,1.2534,58.69,0.89,0.477
2,1.2470955346647556,0.5777,79.32,0.971,0.794,0.7354,72.46,0.958,0.692
3,0.6804469334609192,0.4685,82.92,0.985,0.821,0.6625,73.79,0.97,0.692
4,0.4699526156522467,0.2265,92.57,0.995,0.924,0.3013,88.58,0.989,0.848
5,0.37350426993489694,0.2349,92.46,0.995,0.924,0.4048,85.68,0.981,0.822
6,0.3246996190706034,0.195,93.74,0.996,0.937,0.415,86.33,0.985,0.828
7,0.290090002747099,0.1946,93.59,0.996,0.935,0.4422,83.34,0.98,0.791
8,0.2676773724883902,0.1656,94.87,0.997,0.949,0.4428,84.78,0.985,0.802
9,0.24767287227735724,0.1627,94.62,0.997,0.946,0.39,86.77,0.988,0.818
10,0.2383480168291531,0.1335,95.7,0.998,0.957,0.3095,89.26,0.99,0.855
11,0.22658445181385165,0.1499,95.21,0.998,0.951,0.323,88.22,0.988,0.846
12,0.21468171885898035,0.1436,95.54,0.998,0.955,0.368,86.36,0.986,0.823
13,0.20803103678088675,0.1178,96.49,0.998,0.965,0.2661,91.2,0.991,0.879
14,0.20098784603312025,0.1137,96.36,0.999,0.963,0.2979,90.37,0.99,0.871
15,0.1948271821583471,0.1236,95.88,0.999,0.959,0.245,90.75,0.992,0.875
16,0.1890695130646122,0.2283,92.43,0.997,0.922,0.3788,87.37,0.989,0.817
17,0.18134137202307957,0.1096,96.66,0.998,0.967,0.321,88.76,0.988,0.846
18,0.17615813400102345,0.1079,96.54,0.999,0.965,0.2849,90.37,0.989,0.874
19,0.17513661193377655,0.0979,96.86,0.999,0.969,0.2364,91.41,0.993,0.885
20,0.1694399446556111,0.1079,96.59,0.999,0.966,0.2882,89.22,0.991,0.868
21,0.16508638968283984,0.0821,97.36,0.999,0.974,0.2594,91.0,0.992,0.884
22,0.16197075309585712,0.0936,97.06,0.999,0.97,0.3323,87.67,0.989,0.837
23,0.1532279659783648,0.0868,97.33,0.999,0.973,0.2962,90.56,0.989,0.88
24,0.15023444718464302,0.0863,97.31,0.999,0.973,0.2881,90.49,0.99,0.876
25,0.14490285910345535,0.0699,97.85,0.999,0.978,0.2523,92.26,0.991,0.897
26,0.14357991961889155,0.0751,97.75,0.999,0.977,0.2783,90.97,0.99,0.879
27,0.13957690014954535,0.0741,97.7,0.999,0.977,0.2342,91.76,0.992,0.882
28,0.12962952184100304,0.0678,97.87,0.999,0.978,0.2129,92.39,0.994,0.899
29,0.12930717845330528,0.0611,98.07,1.0,0.98,0.2337,92.2,0.993,0.892
30,0.12668424781318421,0.0636,98.01,0.999,0.98,0.2998,91.93,0.989,0.893
31,0.12195699657296835,0.0649,97.97,0.999,0.98,0.3251,88.87,0.989,0.862
32,0.11595248324148971,0.0619,98.07,1.0,0.981,0.2963,90.67,0.99,0.876
33,0.11109704138063509,0.0584,98.17,1.0,0.982,0.2043,93.32,0.994,0.91
34,0.10884273097947186,0.0526,98.37,1.0,0.984,0.2468,91.99,0.992,0.885
35,0.10419076057251102,0.0526,98.51,0.999,0.985,0.28,90.97,0.991,0.876
36,0.10042983116281609,0.0593,98.24,0.999,0.982,0.2705,90.57,0.991,0.876
37,0.09603201431692929,0.0455,98.6,1.0,0.986,0.2488,92.59,0.992,0.898
38,0.09255468299926183,0.0442,98.57,1.0,0.986,0.2451,92.67,0.991,0.901
39,0.08889109936733079,0.043,98.61,1.0,0.986,0.2118,93.19,0.994,0.911
40,0.0854910239827649,0.0448,98.74,1.0,0.987,0.2301,93.26,0.992,0.91
41,0.07963332599596418,0.0466,98.65,1.0,0.986,0.2172,93.08,0.993,0.908
42,0.08077378611257266,0.0411,98.75,1.0,0.987,0.2389,91.98,0.993,0.889
43,0.07570613205005619,0.0426,98.8,1.0,0.988,0.2425,92.28,0.992,0.896
44,0.07349255794365507,0.0406,98.82,1.0,0.988,0.2789,91.85,0.991,0.891
45,0.0701721435209142,0.0379,98.9,1.0,0.989,0.2413,92.61,0.993,0.9
46,0.07062158417657659,0.0393,98.86,1.0,0.988,0.2246,92.64,0.993,0.9
47,0.06769409106617066,0.0393,98.89,1.0,0.989,0.2288,92.85,0.993,0.905
48,0.0673893711840113,0.0391,98.89,1.0,0.989,0.2308,92.52,0.993,0.901
49,0.06856157669737455,0.039,98.89,1.0,0.989,0.2286,92.74,0.993,0.904
