epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.5769992994151236,1.8809,27.4,0.729,0.17,1.9597,26.28,0.69,0.16
1,2.1461792485688322,1.8045,32.0,0.716,0.224,1.8323,39.73,0.703,0.259
2,1.536601084000748,1.041,60.48,0.93,0.592,1.0333,61.2,0.927,0.525
3,0.899445361133972,0.5545,80.26,0.973,0.801,0.5348,80.64,0.969,0.765
4,0.5912524957917498,0.3443,87.54,0.989,0.875,0.4107,84.07,0.984,0.799
5,0.47668759150957973,0.366,86.24,0.99,0.853,0.5383,80.21,0.978,0.748
6,0.4162106808528678,0.3246,88.75,0.99,0.885,0.6299,77.12,0.972,0.731
7,0.37743945510583965,0.2607,91.37,0.994,0.913,0.4168,84.24,0.982,0.803
8,0.3398294747142809,0.2045,93.14,0.996,0.931,0.3817,85.39,0.981,0.803
9,0.3180649425554019,0.2415,91.33,0.995,0.913,0.3739,85.99,0.984,0.804
10,0.2953486394898225,0.1624,95.03,0.997,0.951,0.3344,88.0,0.988,0.829
11,0.2799673006072053,0.1621,94.84,0.997,0.949,0.3805,86.4,0.984,0.815
12,0.2721542597992019,0.1713,94.67,0.997,0.946,0.4035,85.73,0.985,0.824
13,0.2562370639574784,0.1628,94.96,0.997,0.949,0.3274,88.27,0.988,0.837
14,0.2527796563068171,0.1555,94.98,0.997,0.95,0.3542,87.98,0.991,0.833
15,0.24262067993375136,0.1532,95.19,0.998,0.951,0.3908,86.86,0.987,0.834
16,0.2368175757908693,0.1607,94.63,0.997,0.947,0.3879,85.58,0.982,0.806
17,0.224546932445098,0.1374,95.84,0.998,0.959,0.2779,89.69,0.992,0.858
18,0.22262981583407704,0.1251,95.95,0.998,0.959,0.291,90.15,0.989,0.87
19,0.21418903642551018,0.1728,94.16,0.997,0.941,0.3954,85.06,0.987,0.807
20,0.21221410045166597,0.1205,96.17,0.998,0.96,0.3291,87.86,0.988,0.84
21,0.2033824497386546,0.1165,96.43,0.998,0.964,0.2806,89.55,0.992,0.853
22,0.20058637577706553,0.1175,96.28,0.998,0.963,0.3246,88.28,0.989,0.85
23,0.19314352466347612,0.1049,96.75,0.999,0.967,0.2686,90.27,0.989,0.869
24,0.1867776825276327,0.123,96.08,0.998,0.96,0.3155,88.65,0.99,0.848
25,0.18233928062342186,0.1063,96.71,0.999,0.966,0.3088,89.56,0.992,0.856
26,0.17828805181181132,0.1031,96.72,0.999,0.967,0.2756,90.83,0.991,0.879
27,0.17235461119095058,0.1025,96.73,0.999,0.968,0.2942,88.99,0.991,0.854
28,0.16503034336459038,0.0983,96.85,0.999,0.968,0.2862,90.76,0.99,0.88
29,0.16020030990963982,0.0872,97.1,0.999,0.971,0.2147,92.2,0.993,0.892
30,0.15939103412745673,0.0859,97.22,0.999,0.972,0.326,89.33,0.987,0.854
31,0.1486868301146133,0.0842,97.23,0.999,0.972,0.2905,90.16,0.99,0.87
32,0.14247474040982971,0.0739,97.63,0.999,0.976,0.2726,91.54,0.99,0.888
33,0.14159649581811976,0.0762,97.59,0.999,0.976,0.2677,91.98,0.989,0.892
34,0.13659573409132206,0.0711,97.7,0.999,0.977,0.2534,91.13,0.991,0.88
35,0.13077345235426793,0.0704,97.84,0.999,0.978,0.2594,90.98,0.991,0.873
36,0.12542402346394824,0.0652,97.94,0.999,0.979,0.2176,92.89,0.992,0.903
37,0.12162381957375235,0.069,97.75,0.999,0.977,0.2142,92.18,0.993,0.894
38,0.1178173741732981,0.0657,97.93,0.999,0.979,0.2193,92.58,0.993,0.899
39,0.11316480641804075,0.0622,97.97,1.0,0.98,0.245,92.78,0.992,0.901
40,0.10827376521576369,0.0612,98.03,1.0,0.98,0.2588,92.06,0.99,0.892
41,0.10554192119401522,0.0573,98.19,1.0,0.982,0.2581,92.42,0.991,0.895
42,0.1033498670932533,0.057,98.17,1.0,0.982,0.2297,92.4,0.992,0.892
43,0.09776834746669164,0.0533,98.32,1.0,0.983,0.2372,92.07,0.992,0.891
44,0.09423419930655041,0.0545,98.28,1.0,0.983,0.2459,92.23,0.992,0.894
45,0.0906371153276881,0.0523,98.31,1.0,0.983,0.2243,92.45,0.993,0.896
46,0.09067905681561612,0.0528,98.36,1.0,0.984,0.2159,92.83,0.993,0.902
47,0.08832721572743202,0.0521,98.37,1.0,0.984,0.2272,92.42,0.992,0.896
48,0.08834839308814656,0.0523,98.38,1.0,0.984,0.2334,92.29,0.992,0.895
49,0.08741651596267805,0.0516,98.41,1.0,0.984,0.2267,92.45,0.993,0.896
