epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7878931752242495,1.4434,45.43,0.821,0.432,1.4913,44.12,0.795,0.374
1,1.9539316332895695,1.5547,41.22,0.805,0.341,1.6743,34.66,0.777,0.277
2,1.579961886756309,1.2296,54.39,0.872,0.527,1.2085,55.98,0.867,0.49
3,1.3565136645002605,1.0516,60.41,0.922,0.595,1.2437,52.11,0.887,0.47
4,1.1459956600674592,0.7952,70.19,0.953,0.7,0.8319,67.6,0.944,0.65
5,0.9644343420382469,0.604,76.76,0.975,0.765,0.8323,70.96,0.952,0.644
6,0.8480734413883592,0.563,78.6,0.977,0.771,0.7028,75.19,0.958,0.736
7,0.7779929532158759,0.4235,84.8,0.985,0.84,0.5757,80.26,0.97,0.769
8,0.7392751808448504,0.404,86.02,0.987,0.853,0.6112,78.87,0.974,0.758
9,0.690650453009913,0.4439,83.96,0.985,0.838,0.8255,73.77,0.956,0.706
10,0.6570255438059461,0.3703,86.46,0.989,0.857,0.6123,79.69,0.971,0.764
11,0.6346684727403853,0.3361,88.35,0.99,0.881,0.5186,82.55,0.978,0.795
12,0.6057759075288704,0.324,87.86,0.992,0.872,0.5071,83.14,0.979,0.802
13,0.5966937071960887,0.3554,87.1,0.99,0.864,0.5809,80.99,0.975,0.78
14,0.5784712421530891,0.3269,88.43,0.992,0.88,0.4897,81.95,0.981,0.786
15,0.5583487972350103,0.259,91.33,0.994,0.911,0.5263,81.81,0.978,0.798
16,0.5423653813673177,0.2628,91.09,0.994,0.908,0.3952,86.17,0.984,0.842
17,0.5368826342312666,0.2701,90.91,0.993,0.907,0.6078,79.54,0.97,0.775
18,0.5184790429034968,0.2696,90.75,0.994,0.903,0.4011,85.76,0.985,0.83
19,0.5089701052528128,0.2751,90.3,0.994,0.899,0.4914,83.01,0.982,0.808
20,0.5038519582333958,0.236,91.97,0.995,0.917,0.4428,85.05,0.983,0.826
21,0.486235372001125,0.2338,92.06,0.995,0.917,0.5439,82.52,0.98,0.805
22,0.47642361818675927,0.235,92.03,0.995,0.918,0.429,84.81,0.986,0.823
23,0.46819746729293604,0.2424,91.94,0.995,0.917,0.5184,81.64,0.981,0.788
24,0.4614235334712545,0.1998,93.49,0.996,0.933,0.3947,86.69,0.985,0.846
25,0.451521936977636,0.2046,93.15,0.996,0.93,0.4089,85.27,0.985,0.821
26,0.44296057626444807,0.2031,93.23,0.996,0.93,0.4006,85.49,0.984,0.828
27,0.42915556016361417,0.2388,91.84,0.995,0.918,0.5846,80.1,0.98,0.772
28,0.42452110894905626,0.1929,93.61,0.996,0.934,0.4295,84.92,0.985,0.816
29,0.41108745622271703,0.1846,93.89,0.997,0.937,0.3654,86.91,0.989,0.847
30,0.4068594098518399,0.1716,94.62,0.997,0.945,0.4209,85.99,0.986,0.827
31,0.39384184585463616,0.184,94.09,0.996,0.939,0.5147,82.39,0.979,0.808
32,0.3880932926063469,0.1744,94.25,0.997,0.941,0.3827,86.59,0.987,0.846
33,0.3830643617765023,0.1679,94.35,0.997,0.942,0.3644,87.29,0.989,0.846
34,0.37446969715497824,0.1679,94.68,0.997,0.945,0.4258,85.3,0.986,0.838
35,0.36620560355190734,0.1797,94.22,0.997,0.941,0.3893,85.71,0.989,0.838
36,0.35491707085174473,0.1624,94.78,0.997,0.946,0.3658,87.35,0.989,0.853
37,0.3524534937568463,0.1561,95.12,0.997,0.95,0.3676,88.03,0.989,0.855
38,0.34139472481170435,0.1472,95.32,0.998,0.952,0.3654,87.59,0.989,0.854
39,0.33537387751763864,0.142,95.61,0.998,0.955,0.4139,87.08,0.986,0.851
40,0.33071830131674324,0.1431,95.59,0.998,0.955,0.3595,87.95,0.989,0.857
41,0.319689940167157,0.1513,95.2,0.998,0.951,0.4265,86.06,0.988,0.832
42,0.31603279939475454,0.1427,95.39,0.998,0.953,0.3549,88.55,0.989,0.864
43,0.30973045805662763,0.1355,95.7,0.998,0.956,0.3298,89.44,0.99,0.874
44,0.30661468141074677,0.132,95.83,0.998,0.957,0.3548,88.22,0.99,0.853
45,0.30410847070503405,0.1329,95.85,0.998,0.957,0.3371,88.68,0.99,0.86
46,0.3040833406444092,0.1341,95.69,0.998,0.956,0.3621,88.14,0.989,0.855
47,0.29871040278224537,0.1329,95.79,0.998,0.957,0.3387,88.65,0.99,0.86
48,0.2973652891948232,0.1318,95.86,0.998,0.958,0.3615,88.03,0.989,0.853
49,0.29402927616377456,0.1316,95.88,0.998,0.958,0.3614,88.0,0.989,0.853
