epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.4705526965985196,1.2237,54.92,0.899,0.488,2.2194,12.49,0.743,0.095
1,1.2559952195599782,0.8316,67.55,0.95,0.66,1.3842,51.26,0.904,0.457
2,0.8790269361125479,0.5971,77.53,0.973,0.771,1.0409,64.6,0.931,0.602
3,0.6411535759195149,0.3998,86.11,0.986,0.857,0.9117,69.07,0.956,0.623
4,0.490369788391127,0.3868,85.83,0.988,0.854,0.926,67.82,0.96,0.595
5,0.40453835249804765,0.2884,90.37,0.993,0.901,1.229,61.19,0.923,0.546
6,0.3547603162072545,0.2499,91.72,0.994,0.916,0.854,70.16,0.964,0.663
7,0.31105182089393946,0.211,92.99,0.996,0.928,0.9157,69.65,0.958,0.638
8,0.27533739815941816,0.1962,93.15,0.997,0.929,0.8468,72.6,0.962,0.658
9,0.25393903534189405,0.221,92.41,0.996,0.922,0.8012,77.25,0.97,0.713
10,0.2295992658507052,0.1758,93.99,0.998,0.938,0.5443,83.07,0.983,0.792
11,0.2122336021430201,0.1608,94.64,0.998,0.945,1.2478,64.5,0.958,0.629
12,0.19280110010140233,0.135,95.76,0.998,0.957,1.1135,66.1,0.966,0.649
13,0.18471596170243598,0.1501,95.05,0.998,0.949,1.0278,69.41,0.952,0.662
14,0.17054545761441156,0.128,95.97,0.998,0.959,0.8367,73.61,0.973,0.682
15,0.16549619919747757,0.1098,96.36,0.999,0.963,0.9242,73.05,0.964,0.688
16,0.15317531348132402,0.1266,95.71,0.999,0.956,0.8751,72.98,0.962,0.679
17,0.1478896296496014,0.1072,96.67,0.999,0.966,0.8383,74.1,0.968,0.707
18,0.14344134519426086,0.0975,96.88,0.999,0.968,0.7535,77.8,0.961,0.718
19,0.13452034754504402,0.1194,96.03,0.999,0.958,0.8017,75.6,0.965,0.717
20,0.12532395199477245,0.0841,97.18,0.999,0.972,0.9249,73.19,0.966,0.671
21,0.12198749892145609,0.0945,96.93,0.999,0.969,0.9672,71.51,0.964,0.674
22,0.11286979275856086,0.0785,97.53,0.999,0.975,0.946,72.4,0.964,0.687
23,0.11624811895245271,0.0769,97.59,0.999,0.976,0.8831,73.2,0.962,0.689
24,0.10803532243954192,0.074,97.58,0.999,0.975,1.0247,70.95,0.954,0.667
25,0.0984373288564116,0.0751,97.61,0.999,0.976,0.8667,75.94,0.974,0.72
26,0.09916650849602206,0.0693,97.83,0.999,0.978,1.2252,70.0,0.959,0.655
27,0.09080646830282622,0.0757,97.43,0.999,0.974,1.084,70.27,0.948,0.652
28,0.08822703961845782,0.0656,97.82,0.999,0.978,0.9683,73.55,0.963,0.687
29,0.0837890318722176,0.0718,97.56,0.999,0.975,0.8951,74.88,0.965,0.692
30,0.08029518635581723,0.0611,98.06,1.0,0.98,1.0522,71.29,0.958,0.68
31,0.07753569450524213,0.0612,98.02,1.0,0.98,1.0219,71.66,0.963,0.668
32,0.07336883126295728,0.0589,98.07,1.0,0.98,1.0654,71.12,0.959,0.668
33,0.07222155280572047,0.051,98.33,1.0,0.983,0.9887,72.98,0.96,0.678
34,0.06479881083418568,0.0553,98.24,1.0,0.982,0.8262,76.44,0.972,0.725
35,0.0616495988780646,0.0509,98.35,1.0,0.983,1.2821,70.68,0.951,0.658
36,0.058880104341631316,0.0484,98.48,1.0,0.985,0.8972,75.81,0.964,0.718
37,0.05608262988678414,0.0493,98.38,1.0,0.984,1.5623,65.18,0.937,0.616
38,0.0508336856452038,0.0491,98.42,1.0,0.984,1.3406,69.26,0.95,0.655
39,0.05119421601081066,0.0429,98.62,1.0,0.986,1.4421,68.97,0.946,0.652
40,0.047301261531684895,0.0408,98.72,1.0,0.987,1.3433,70.57,0.949,0.662
41,0.04476044708929902,0.0438,98.64,1.0,0.986,1.0207,76.65,0.964,0.727
42,0.04461851799123579,0.0431,98.64,1.0,0.986,1.2229,73.42,0.956,0.694
43,0.04108009362767497,0.042,98.76,1.0,0.987,1.3407,71.61,0.949,0.671
44,0.037588745409207376,0.0406,98.75,1.0,0.987,1.3437,71.67,0.951,0.675
45,0.03766664387591237,0.0389,98.74,1.0,0.987,1.2867,72.48,0.953,0.684
46,0.03704505846601167,0.038,98.78,1.0,0.988,1.386,71.59,0.949,0.675
47,0.03632005643126347,0.0376,98.84,1.0,0.988,1.3832,71.4,0.95,0.676
48,0.035530756247772584,0.0375,98.82,1.0,0.988,1.3514,72.0,0.951,0.68
49,0.0345260446904589,0.0374,98.81,1.0,0.988,1.3751,71.72,0.949,0.678
