epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.6418325300696943,1.3888,47.35,0.854,0.411,1.8512,23.67,0.815,0.158
1,1.409473192777565,1.0607,59.79,0.913,0.581,1.3553,49.17,0.888,0.459
2,1.0876127069802592,0.8437,66.92,0.953,0.636,1.151,54.03,0.946,0.501
3,0.8269618518060917,0.7408,70.85,0.964,0.685,1.5956,49.2,0.925,0.444
4,0.6083057123980076,0.413,85.08,0.986,0.845,0.6859,75.35,0.969,0.697
5,0.4860277576841039,0.4041,85.26,0.989,0.849,0.6763,75.7,0.974,0.725
6,0.43133588531892075,0.3354,87.96,0.992,0.875,0.8172,69.84,0.978,0.678
7,0.3654599372002718,0.2438,91.65,0.994,0.916,0.7042,76.96,0.977,0.736
8,0.3273237722811939,0.2137,92.79,0.996,0.926,0.5071,81.34,0.986,0.776
9,0.29483860055748506,0.2372,91.85,0.995,0.917,0.6363,77.56,0.977,0.748
10,0.26664578689516877,0.1803,94.1,0.997,0.94,0.6124,81.1,0.982,0.77
11,0.2517515302990838,0.1534,95.07,0.997,0.95,0.6782,78.15,0.979,0.737
12,0.2298343725127282,0.1734,94.39,0.997,0.943,0.7999,74.12,0.976,0.716
13,0.2160233610825573,0.1641,94.39,0.997,0.943,0.6996,79.19,0.975,0.742
14,0.20965027005123577,0.1414,95.36,0.998,0.953,0.8246,70.95,0.973,0.687
15,0.19950201314130275,0.1338,95.57,0.998,0.955,0.8077,72.16,0.972,0.695
16,0.19245587337574513,0.143,95.24,0.998,0.951,0.6549,76.84,0.974,0.724
17,0.17924930509045828,0.1126,96.27,0.999,0.962,0.5538,80.25,0.982,0.768
18,0.17582652181815758,0.1119,96.35,0.999,0.963,0.6451,81.38,0.98,0.773
19,0.1629958013943631,0.1088,96.48,0.999,0.964,0.6729,80.36,0.979,0.765
20,0.15968383923708965,0.1054,96.54,0.999,0.965,0.6558,78.73,0.973,0.732
21,0.14983765453957826,0.1014,96.8,0.999,0.968,0.5651,81.71,0.983,0.783
22,0.14324326411211233,0.1067,96.54,0.999,0.965,0.5929,83.36,0.982,0.797
23,0.14337884950980867,0.0914,97.09,0.999,0.97,0.6084,79.5,0.983,0.762
24,0.13429931213529847,0.0876,97.11,0.999,0.971,0.565,81.48,0.984,0.78
25,0.12531304439837984,0.0839,97.32,0.999,0.973,0.7566,77.06,0.976,0.731
26,0.12293282183383009,0.0989,96.75,0.999,0.967,0.5508,83.51,0.985,0.809
27,0.11847281552475991,0.0858,97.18,0.999,0.971,0.7716,74.36,0.975,0.714
28,0.10999666234786562,0.0803,97.36,0.999,0.973,0.5883,81.11,0.974,0.773
29,0.10803015130779726,0.0793,97.45,0.999,0.974,0.7187,77.69,0.971,0.743
30,0.1018971601407305,0.0751,97.54,0.999,0.975,0.6405,78.84,0.978,0.76
31,0.09960434215960742,0.0832,97.29,0.999,0.973,1.0236,69.13,0.964,0.66
32,0.09302846251203002,0.0727,97.67,0.999,0.976,0.8062,76.13,0.972,0.733
33,0.09257707905640705,0.0667,98.04,0.999,0.98,0.6624,81.38,0.981,0.785
34,0.08482434753355363,0.0673,97.89,1.0,0.979,0.6558,78.49,0.977,0.751
35,0.08046665353526314,0.065,98.03,0.999,0.98,0.865,76.14,0.97,0.72
36,0.07627721468536117,0.0582,98.15,1.0,0.981,0.8584,76.03,0.968,0.716
37,0.07630764494696968,0.0597,98.15,1.0,0.981,1.018,73.09,0.969,0.69
38,0.06906891654399659,0.0581,98.11,1.0,0.981,0.7639,77.47,0.974,0.737
39,0.06863336133763945,0.0533,98.31,1.0,0.983,0.8788,76.36,0.971,0.727
40,0.06597948350387511,0.0532,98.36,1.0,0.983,0.8211,76.49,0.973,0.723
41,0.06214646260729797,0.0551,98.29,1.0,0.983,0.615,81.04,0.982,0.78
42,0.059518634817368694,0.0535,98.37,1.0,0.984,0.7483,77.66,0.975,0.744
43,0.057272723239424415,0.0514,98.5,1.0,0.985,0.8878,75.38,0.969,0.718
44,0.05520558156233897,0.0522,98.37,1.0,0.984,0.7778,77.21,0.972,0.732
45,0.053932447790456334,0.0504,98.37,1.0,0.984,0.8211,76.17,0.971,0.722
46,0.052141652335312295,0.0494,98.45,1.0,0.984,0.8427,76.52,0.971,0.727
47,0.05109518996888785,0.049,98.45,1.0,0.984,0.8622,76.41,0.97,0.725
48,0.05077934452741266,0.0492,98.43,1.0,0.984,0.8295,76.73,0.971,0.729
49,0.04824301478513282,0.0491,98.44,1.0,0.984,0.8415,76.55,0.971,0.727
