epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0331964561407516,1.9477,25.15,0.639,0.165,1.9869,36.85,0.647,0.179
1,1.8398567429549402,1.6156,37.13,0.763,0.319,1.7127,34.36,0.729,0.238
2,1.65090102857823,1.344,51.59,0.859,0.475,1.3231,51.57,0.835,0.392
3,1.5467417068618665,1.2745,54.28,0.865,0.524,1.3414,53.23,0.837,0.457
4,1.4088339934246146,1.1961,54.33,0.886,0.522,1.3944,47.42,0.832,0.4
5,1.281060814857483,0.9737,63.21,0.927,0.62,1.1169,57.7,0.895,0.515
6,1.1938533868721064,0.8859,67.95,0.941,0.668,1.1013,59.2,0.905,0.531
7,1.123402692859979,0.8617,67.64,0.947,0.672,0.9556,61.6,0.931,0.577
8,1.0739400639808436,0.8115,69.46,0.954,0.685,1.0283,62.92,0.922,0.579
9,1.0424362095139867,0.7149,73.23,0.96,0.722,0.909,66.43,0.936,0.619
10,1.0040540360718322,0.697,74.7,0.962,0.739,0.9095,67.39,0.935,0.647
11,0.9677425275603644,0.6828,74.41,0.966,0.735,0.8449,69.6,0.946,0.651
12,0.9394970373284045,0.6684,75.97,0.965,0.752,0.8376,70.19,0.947,0.65
13,0.9111076318960396,0.5802,79.11,0.973,0.788,0.7628,71.44,0.956,0.679
14,0.8843827080383575,0.5455,79.86,0.976,0.794,0.7656,71.67,0.959,0.689
15,0.8590063980157426,0.4854,82.76,0.981,0.823,0.6835,74.97,0.961,0.718
16,0.8373264408797669,0.5011,81.76,0.98,0.812,0.6916,75.53,0.963,0.729
17,0.8118849400993732,0.4769,82.64,0.982,0.822,0.7147,74.14,0.965,0.72
18,0.7859535380233106,0.5265,81.03,0.98,0.805,0.7278,73.11,0.966,0.696
19,0.7699573636054993,0.425,84.75,0.985,0.845,0.7512,73.38,0.958,0.714
20,0.743531659781504,0.3918,86.2,0.987,0.859,0.6754,76.36,0.968,0.737
21,0.7268828934045146,0.3707,86.96,0.989,0.869,0.5574,80.61,0.975,0.78
22,0.7034283537658856,0.3411,88.35,0.989,0.883,0.5631,79.68,0.975,0.772
23,0.6880402607883481,0.351,87.85,0.989,0.877,0.6093,78.6,0.972,0.765
24,0.6683976037039173,0.3296,88.78,0.991,0.887,0.6948,74.89,0.968,0.723
25,0.6437069422049488,0.3241,88.55,0.991,0.885,0.6515,77.03,0.97,0.745
26,0.6272782383205222,0.3371,88.09,0.99,0.879,0.7016,76.9,0.965,0.741
27,0.6155864832212599,0.3093,89.15,0.992,0.89,0.6505,77.93,0.971,0.76
28,0.5976705075167924,0.2994,89.38,0.992,0.891,0.5804,78.73,0.976,0.755
29,0.5826945930933781,0.2822,90.09,0.993,0.899,0.5578,80.42,0.974,0.776
30,0.5698586567271527,0.2822,89.99,0.993,0.899,0.5695,79.01,0.976,0.765
31,0.5548214890974031,0.2463,91.69,0.994,0.916,0.4913,82.5,0.98,0.799
32,0.5340853472836584,0.2403,91.78,0.995,0.917,0.5024,82.95,0.978,0.8
33,0.5263914946171877,0.2452,91.56,0.994,0.915,0.5933,79.19,0.974,0.766
34,0.5160650917523198,0.2387,91.69,0.995,0.916,0.5337,81.51,0.977,0.786
35,0.496815533946744,0.2214,92.59,0.995,0.925,0.5601,81.29,0.978,0.789
36,0.49338234435740136,0.2124,93.01,0.996,0.93,0.5209,81.41,0.98,0.786
37,0.47983532329257444,0.2141,92.82,0.995,0.927,0.5727,80.1,0.975,0.775
38,0.47668653340648404,0.206,93.3,0.996,0.932,0.5185,82.36,0.981,0.797
39,0.46397582875738896,0.2133,92.9,0.996,0.928,0.5549,81.0,0.978,0.779
40,0.4569134647897679,0.2024,93.3,0.996,0.932,0.5956,79.73,0.977,0.775
41,0.4454557183835146,0.1894,93.79,0.996,0.937,0.4872,83.45,0.982,0.806
42,0.4437563912473994,0.1917,93.69,0.996,0.936,0.5205,82.61,0.981,0.798
43,0.4348450560363934,0.1959,93.43,0.996,0.934,0.5625,81.53,0.978,0.786
44,0.42713997132486575,0.185,93.96,0.996,0.939,0.5415,82.25,0.98,0.794
45,0.4245572145894277,0.1859,93.82,0.996,0.937,0.5171,82.9,0.981,0.799
46,0.4200847965779064,0.1857,93.92,0.996,0.939,0.5553,82.19,0.979,0.793
47,0.4154015567234094,0.1823,94.06,0.997,0.94,0.5117,83.25,0.981,0.803
48,0.41716345008328665,0.183,93.99,0.997,0.939,0.5301,82.57,0.98,0.796
49,0.41284035371361877,0.1815,94.07,0.997,0.94,0.5237,82.8,0.98,0.799
