epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3382454638858494,1.0691,58.99,0.918,0.541,2.1821,22.77,0.674,0.161
1,1.0223100348342238,0.5593,80.36,0.973,0.795,1.57,47.8,0.832,0.422
2,0.6261365119930652,0.4125,85.27,0.986,0.848,1.3715,59.04,0.853,0.535
3,0.5054286398904787,0.347,88.31,0.989,0.881,1.5965,53.77,0.869,0.466
4,0.3901698657934614,0.2921,89.79,0.993,0.894,1.3355,56.42,0.897,0.469
5,0.34002652485593615,0.262,90.48,0.994,0.905,1.7474,52.53,0.864,0.486
6,0.2888579470433777,0.2258,92.1,0.995,0.919,1.6968,51.86,0.872,0.493
7,0.2559720329243502,0.1581,94.91,0.997,0.948,1.2794,65.45,0.911,0.587
8,0.23006794907206254,0.2083,92.5,0.997,0.924,1.3318,65.12,0.897,0.571
9,0.20899689915797692,0.138,95.59,0.998,0.955,1.2366,64.69,0.906,0.613
10,0.1871514268380275,0.1371,95.63,0.998,0.956,0.9783,74.48,0.919,0.698
11,0.1777396596592965,0.1243,95.94,0.998,0.959,1.406,63.6,0.9,0.59
12,0.16161877008007586,0.1139,96.33,0.998,0.963,1.1867,69.79,0.907,0.644
13,0.15410597413349494,0.1209,95.97,0.999,0.958,1.5554,64.23,0.906,0.582
14,0.14160592259048557,0.0962,96.89,0.999,0.968,1.1543,70.63,0.916,0.651
15,0.13413979193503908,0.0971,96.86,0.999,0.968,1.3437,66.52,0.905,0.61
16,0.1250151781727084,0.1198,95.92,0.999,0.958,1.5058,59.69,0.901,0.56
17,0.12360962432065456,0.0966,96.81,0.999,0.968,1.5665,60.08,0.911,0.544
18,0.11479874191095503,0.0824,97.27,0.999,0.972,1.2409,67.68,0.911,0.633
19,0.11194506231293404,0.0943,96.92,0.999,0.968,1.0515,74.04,0.933,0.689
20,0.1047562313862413,0.072,97.69,0.999,0.977,1.4172,67.5,0.912,0.588
21,0.1000356849738591,0.0798,97.31,0.999,0.973,1.0887,72.57,0.926,0.667
22,0.09533317421944879,0.0668,97.89,0.999,0.979,1.1642,70.85,0.924,0.653
23,0.09291980420942787,0.0661,97.88,1.0,0.979,1.1735,69.65,0.935,0.642
24,0.08515257843964391,0.0643,97.99,0.999,0.98,1.3603,67.01,0.92,0.582
25,0.07989922811766323,0.0636,97.98,1.0,0.979,1.7288,61.28,0.915,0.517
26,0.076697916650086,0.0554,98.22,1.0,0.982,1.3487,67.77,0.93,0.63
27,0.07348706833214211,0.0553,98.26,1.0,0.982,1.6181,65.5,0.905,0.601
28,0.07038043576071588,0.0654,97.81,1.0,0.978,1.8003,62.77,0.91,0.547
29,0.06413363099848624,0.0548,98.28,1.0,0.983,1.5875,63.15,0.905,0.566
30,0.06467610424746284,0.0496,98.31,1.0,0.983,1.4475,65.62,0.929,0.602
31,0.05851780448993333,0.0501,98.34,1.0,0.983,1.5111,65.37,0.925,0.581
32,0.05659504860585971,0.049,98.47,1.0,0.985,1.544,67.25,0.924,0.617
33,0.05079728720053066,0.0432,98.62,1.0,0.986,1.5719,63.97,0.908,0.587
34,0.05152651482670427,0.0468,98.5,1.0,0.985,1.4705,66.04,0.927,0.615
35,0.0469655875625799,0.0429,98.55,1.0,0.985,1.5612,64.79,0.921,0.598
36,0.04378355792958102,0.0416,98.68,1.0,0.987,1.8156,63.3,0.91,0.587
37,0.04042171124744115,0.0394,98.79,1.0,0.988,1.7926,65.17,0.917,0.593
38,0.03805952726883425,0.0405,98.68,1.0,0.987,1.6559,66.38,0.915,0.616
39,0.036449824613954525,0.035,98.83,1.0,0.988,1.6156,67.31,0.923,0.615
40,0.0340818110250419,0.0363,98.9,1.0,0.989,1.8979,62.45,0.901,0.579
41,0.03255742786974787,0.0372,98.84,1.0,0.988,1.6678,68.04,0.918,0.61
42,0.030265548031964747,0.0359,98.85,1.0,0.988,1.8332,64.6,0.91,0.58
43,0.028690953537982573,0.0339,98.95,1.0,0.989,1.7842,65.75,0.915,0.601
44,0.02579640537473581,0.0344,98.94,1.0,0.989,1.8695,64.46,0.91,0.587
45,0.026172183661741746,0.0331,98.99,1.0,0.99,1.7803,65.83,0.916,0.599
46,0.024322440060485395,0.0327,99.04,1.0,0.99,1.8201,64.93,0.916,0.591
47,0.024670624442184142,0.032,99.0,1.0,0.99,1.8216,64.88,0.915,0.589
48,0.022946076186226426,0.032,98.98,1.0,0.99,1.8572,64.42,0.912,0.584
49,0.023264089538950285,0.0319,99.01,1.0,0.99,1.8563,64.68,0.912,0.586
