epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3938945231677817,1.069,60.05,0.919,0.55,2.0415,22.0,0.703,0.185
1,1.0753280228848079,0.6082,77.77,0.97,0.763,1.4684,45.56,0.845,0.427
2,0.703844512966897,0.4632,83.44,0.984,0.835,1.0984,63.73,0.881,0.58
3,0.5946835067203576,0.3303,88.52,0.99,0.881,0.9849,68.88,0.906,0.615
4,0.4531779117721448,0.3484,87.67,0.991,0.878,0.9765,69.11,0.924,0.627
5,0.40874439435039495,0.2941,89.48,0.994,0.893,0.9212,70.12,0.933,0.638
6,0.35493161609704543,0.2069,93.01,0.996,0.929,0.9243,72.41,0.927,0.646
7,0.3062341184281617,0.1947,93.25,0.996,0.932,1.0601,70.76,0.937,0.661
8,0.2759585613183838,0.1694,94.51,0.997,0.943,1.2109,63.81,0.93,0.581
9,0.25706617587761915,0.1818,93.65,0.997,0.935,0.8033,79.13,0.948,0.744
10,0.22627743092372263,0.1374,95.36,0.998,0.952,0.8302,74.66,0.958,0.696
11,0.21381951214598238,0.1331,95.74,0.998,0.956,0.9225,74.09,0.944,0.698
12,0.19584076288792726,0.129,95.75,0.998,0.957,0.6773,79.63,0.963,0.749
13,0.18285601720106687,0.1131,96.39,0.999,0.963,0.9085,72.75,0.954,0.682
14,0.17162112773751184,0.1,96.79,0.999,0.967,0.6999,78.62,0.959,0.733
15,0.16065751423509858,0.1009,96.84,0.999,0.968,0.741,78.41,0.96,0.73
16,0.15383176414443434,0.115,96.15,0.999,0.96,0.7892,75.86,0.965,0.708
17,0.14773143667111294,0.0974,96.92,0.999,0.969,0.6152,81.3,0.975,0.757
18,0.14285713954151963,0.0958,96.98,0.999,0.97,0.5722,84.83,0.967,0.799
19,0.13445070648579288,0.0985,96.73,0.999,0.967,0.6107,82.03,0.969,0.753
20,0.12957704919490884,0.0849,97.18,0.999,0.971,0.7932,76.9,0.963,0.712
21,0.12436916437938059,0.0743,97.6,0.999,0.976,0.5862,81.78,0.976,0.762
22,0.11462729300955217,0.0775,97.46,0.999,0.974,0.6257,82.22,0.97,0.759
23,0.11112656969603875,0.0729,97.62,0.999,0.976,0.726,80.94,0.972,0.749
24,0.10642636272547057,0.0768,97.48,0.999,0.974,0.5699,85.38,0.972,0.802
25,0.10335409365219178,0.0727,97.52,0.999,0.975,0.8376,76.27,0.955,0.715
26,0.09839291409622851,0.0663,97.81,1.0,0.978,0.8902,77.44,0.961,0.711
27,0.09293376627585871,0.0611,98.12,1.0,0.981,0.9479,79.84,0.95,0.736
28,0.08889342871286886,0.065,97.79,1.0,0.978,0.7782,78.87,0.956,0.725
29,0.0867183261798869,0.0617,98.04,1.0,0.98,0.7616,81.24,0.963,0.761
30,0.08190838625426773,0.053,98.37,1.0,0.983,0.6218,83.8,0.966,0.774
31,0.07894205687929401,0.0515,98.35,1.0,0.983,0.6796,80.45,0.966,0.749
32,0.07546643274936744,0.0531,98.38,1.0,0.984,0.7312,81.92,0.969,0.762
33,0.06987216663982371,0.0486,98.5,1.0,0.985,0.6334,83.47,0.971,0.779
34,0.06695861790141613,0.048,98.4,1.0,0.984,0.8706,78.83,0.957,0.728
35,0.06517333984911013,0.0466,98.46,1.0,0.984,0.6875,83.01,0.966,0.766
36,0.06314702243577662,0.0422,98.64,1.0,0.986,0.8094,80.69,0.962,0.747
37,0.057501907493892335,0.0435,98.56,1.0,0.985,0.8254,80.03,0.96,0.742
38,0.05480997391688309,0.0421,98.64,1.0,0.986,0.6914,82.79,0.967,0.771
39,0.053591103942917405,0.0386,98.73,1.0,0.987,0.7342,80.96,0.97,0.746
40,0.05007456827292339,0.0395,98.74,1.0,0.987,0.7322,80.21,0.968,0.744
41,0.04805051018115428,0.0394,98.71,1.0,0.987,0.707,82.5,0.968,0.766
42,0.04500173502635184,0.0373,98.78,1.0,0.988,0.8299,80.07,0.964,0.742
43,0.043584753524699656,0.0364,98.84,1.0,0.988,0.7316,81.65,0.967,0.757
44,0.04115774300244215,0.0357,98.89,1.0,0.989,0.8413,79.73,0.963,0.739
45,0.03981713918473223,0.0359,98.86,1.0,0.989,0.7288,81.98,0.969,0.761
46,0.038824165172928526,0.0364,98.83,1.0,0.988,0.7606,81.56,0.967,0.759
47,0.039489625343423096,0.0354,98.9,1.0,0.989,0.7642,80.91,0.967,0.749
48,0.036970801658177975,0.0353,98.88,1.0,0.989,0.7602,81.08,0.967,0.751
49,0.03611581113269861,0.0354,98.88,1.0,0.989,0.7524,81.54,0.968,0.757
