epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3878913020788555,0.9298,63.77,0.936,0.606,1.055,64.03,0.9,0.541
1,1.5836706558863323,0.7675,70.07,0.952,0.669,0.9269,67.33,0.928,0.591
2,0.7962619836932869,0.5162,81.44,0.976,0.806,0.6329,79.39,0.959,0.717
3,0.592634391453531,0.4212,84.99,0.984,0.847,0.7076,75.4,0.955,0.701
4,0.47466277168215815,0.3751,87.04,0.988,0.863,0.7336,77.47,0.957,0.698
5,0.4015997596966323,0.2965,90.04,0.992,0.899,0.4761,84.27,0.981,0.796
6,0.35764447177716907,0.2612,91.24,0.993,0.911,0.5904,81.49,0.968,0.771
7,0.317682486655037,0.2488,91.29,0.994,0.911,0.5661,80.8,0.969,0.753
8,0.2838587340328001,0.2372,92.29,0.995,0.921,0.6382,78.95,0.971,0.756
9,0.2679691197063547,0.1966,93.65,0.996,0.935,0.3866,88.49,0.984,0.847
10,0.24319233817438926,0.1819,94.11,0.997,0.94,0.4554,85.82,0.98,0.815
11,0.23813897454076344,0.1833,93.92,0.997,0.938,0.4998,83.55,0.976,0.792
12,0.22398530288622798,0.2431,91.41,0.996,0.91,0.7307,76.35,0.975,0.727
13,0.21682864167196778,0.2242,92.42,0.996,0.923,0.4951,82.74,0.982,0.796
14,0.20404387520472636,0.1589,94.93,0.997,0.949,0.3866,86.63,0.985,0.824
15,0.19860022470995944,0.1505,95.06,0.998,0.95,0.3373,89.12,0.988,0.866
16,0.1944537142885842,0.1508,95.0,0.998,0.949,0.3148,89.75,0.989,0.862
17,0.1851937956707452,0.1494,95.26,0.998,0.952,0.3908,86.56,0.986,0.836
18,0.18291170956520197,0.1507,95.04,0.998,0.949,0.4344,85.63,0.984,0.827
19,0.17585788884844403,0.1531,94.99,0.998,0.949,0.4217,85.54,0.985,0.831
20,0.17216240003117525,0.1281,95.8,0.998,0.957,0.4024,87.43,0.987,0.843
21,0.16649212474570907,0.1337,95.78,0.998,0.957,0.4459,84.32,0.982,0.809
22,0.16359963633894492,0.136,95.68,0.998,0.957,0.5287,82.09,0.98,0.794
23,0.15572187847267555,0.1196,96.23,0.998,0.962,0.3953,86.74,0.986,0.839
24,0.15605814019919081,0.1125,96.44,0.998,0.964,0.4095,85.66,0.985,0.831
25,0.14725008459367847,0.1255,95.87,0.998,0.958,0.3708,87.12,0.986,0.83
26,0.14092396201038446,0.1136,96.33,0.998,0.963,0.4447,84.7,0.986,0.827
27,0.13814113292455887,0.113,96.39,0.999,0.964,0.3301,88.63,0.991,0.867
28,0.1339282644345128,0.1109,96.45,0.999,0.964,0.3283,88.74,0.99,0.869
29,0.13220132469436602,0.1141,96.32,0.999,0.963,0.3276,88.84,0.989,0.868
30,0.1272414043999701,0.0979,96.95,0.999,0.969,0.3256,88.32,0.989,0.859
31,0.12320963112724191,0.1081,96.6,0.999,0.965,0.4346,84.9,0.985,0.828
32,0.1196088082587687,0.1033,96.63,0.999,0.966,0.3744,87.43,0.986,0.844
33,0.11370155792750125,0.0949,96.97,0.999,0.969,0.4508,84.29,0.984,0.816
34,0.10918213062882957,0.0858,97.23,0.999,0.972,0.331,88.76,0.989,0.865
35,0.10600519543146468,0.0864,97.23,0.999,0.972,0.3416,88.2,0.989,0.859
36,0.10243382201593462,0.085,97.39,0.999,0.974,0.4146,86.28,0.985,0.836
37,0.09992622879524064,0.0829,97.34,0.999,0.973,0.4395,85.19,0.983,0.823
38,0.09529477718042537,0.083,97.46,0.999,0.974,0.4837,83.39,0.983,0.812
39,0.09326676452886247,0.0758,97.69,0.999,0.977,0.3751,87.12,0.989,0.852
40,0.08896278482477939,0.0729,97.77,0.999,0.977,0.3624,87.92,0.99,0.86
41,0.08635262758421,0.0741,97.76,0.999,0.977,0.4419,84.83,0.985,0.825
42,0.08039284909083959,0.0745,97.71,0.999,0.977,0.4432,85.47,0.985,0.833
43,0.08030490666848197,0.0698,97.82,0.999,0.978,0.4034,86.45,0.987,0.843
44,0.07608514017589044,0.0699,97.85,0.999,0.978,0.4139,86.39,0.986,0.841
45,0.07628689422756166,0.0674,97.92,0.999,0.979,0.4098,86.48,0.986,0.837
46,0.07338179999755488,0.0677,97.98,0.999,0.979,0.4125,86.42,0.987,0.841
47,0.07268769460760298,0.0673,97.96,0.999,0.979,0.4008,86.8,0.987,0.844
48,0.07108970843989897,0.0661,98.01,0.999,0.98,0.399,86.89,0.987,0.847
49,0.07223559849257964,0.0663,98.0,0.999,0.98,0.4076,86.55,0.987,0.844
