epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.822969714514643,1.6236,37.58,0.843,0.313,1.6216,45.18,0.831,0.353
1,1.3669124520082268,0.9993,63.18,0.937,0.628,1.1067,61.57,0.899,0.505
2,0.879678351844815,0.5742,78.27,0.976,0.768,1.0292,63.49,0.918,0.563
3,0.6590739782336804,0.4534,83.6,0.983,0.83,0.6654,77.7,0.94,0.702
4,0.4999477413060854,0.3919,85.9,0.987,0.858,0.5916,79.49,0.955,0.736
5,0.40728595402600953,0.3329,88.41,0.992,0.878,0.645,80.96,0.941,0.743
6,0.33758053987575093,0.2771,90.52,0.994,0.901,0.7556,77.05,0.939,0.719
7,0.29710005513198084,0.2299,92.09,0.995,0.918,0.6331,81.12,0.949,0.764
8,0.27148116363895886,0.1966,93.61,0.996,0.935,0.5637,82.27,0.961,0.779
9,0.2402583793770495,0.1967,93.4,0.996,0.933,0.7779,77.77,0.949,0.728
10,0.22329096217378439,0.195,93.38,0.996,0.933,0.564,86.33,0.947,0.814
11,0.20507439670802877,0.1595,94.75,0.998,0.947,0.5728,84.79,0.954,0.789
12,0.1934286563945331,0.1464,94.96,0.998,0.948,0.6928,79.21,0.95,0.752
13,0.17612080613700606,0.1403,95.35,0.998,0.952,0.7554,80.11,0.934,0.759
14,0.16821716822308602,0.1257,96.06,0.998,0.96,0.6732,83.5,0.943,0.788
15,0.15817728027594175,0.1329,95.58,0.998,0.954,0.7848,79.54,0.944,0.753
16,0.14434617055620222,0.1268,95.82,0.998,0.958,0.5962,85.31,0.957,0.803
17,0.14141375619730503,0.1122,96.48,0.999,0.964,0.5963,84.87,0.951,0.795
18,0.13288161512330282,0.111,96.3,0.999,0.962,0.7527,79.63,0.954,0.766
19,0.1230134807473464,0.1002,96.81,0.999,0.968,0.4487,89.17,0.968,0.849
20,0.12362900218196052,0.0868,97.26,0.999,0.972,0.6925,82.39,0.946,0.777
21,0.11301744616717743,0.1116,96.3,0.999,0.962,0.7484,82.6,0.946,0.79
22,0.11311428784895286,0.092,97.01,0.999,0.97,0.6434,82.65,0.954,0.775
23,0.10550454626087662,0.1028,96.61,0.999,0.966,0.6905,83.51,0.955,0.779
24,0.0996577745611719,0.084,97.19,0.999,0.971,0.7175,81.67,0.952,0.774
25,0.09744085518897866,0.0762,97.63,0.999,0.976,0.6543,84.55,0.955,0.793
26,0.09147735711910741,0.0717,97.72,0.999,0.977,0.7201,82.65,0.95,0.781
27,0.08455913216411638,0.0712,97.77,0.999,0.977,0.6691,86.49,0.945,0.809
28,0.0788367778706036,0.0711,97.63,0.999,0.976,0.8594,78.83,0.946,0.746
29,0.07600955177339719,0.0639,97.99,1.0,0.98,0.6761,83.73,0.953,0.793
30,0.07346319688631477,0.061,98.12,1.0,0.981,0.6133,86.54,0.959,0.814
31,0.06800573949011968,0.0642,97.93,1.0,0.979,0.65,86.44,0.952,0.812
32,0.06372963138621487,0.06,98.01,1.0,0.98,0.6614,85.07,0.957,0.802
33,0.062279701232910156,0.0606,98.0,1.0,0.98,0.5978,85.51,0.965,0.808
34,0.05637665575356792,0.0612,98.09,1.0,0.981,0.7594,83.92,0.948,0.787
35,0.05298843265598198,0.0529,98.35,1.0,0.983,0.8024,83.34,0.948,0.785
36,0.0482763219222748,0.0538,98.29,1.0,0.983,0.7215,82.38,0.962,0.777
37,0.04836293397029098,0.0551,98.27,1.0,0.982,0.7718,83.81,0.952,0.789
38,0.04466108546304188,0.0525,98.34,1.0,0.983,0.6996,86.62,0.951,0.814
39,0.041378623571434466,0.0524,98.29,1.0,0.983,0.7197,86.05,0.948,0.809
40,0.038591470455469415,0.0474,98.56,1.0,0.986,0.7089,85.75,0.951,0.808
41,0.035725212743063624,0.0486,98.47,1.0,0.984,0.8779,81.87,0.945,0.769
42,0.033801012772986354,0.047,98.45,1.0,0.984,0.8048,83.4,0.948,0.785
43,0.031148247313585214,0.0439,98.65,1.0,0.986,0.7988,84.11,0.949,0.79
44,0.030492544281396933,0.0447,98.61,1.0,0.986,0.787,85.04,0.949,0.8
45,0.029239746614647427,0.0439,98.58,1.0,0.986,0.8009,84.0,0.949,0.791
46,0.02816088688593331,0.0428,98.66,1.0,0.986,0.8147,83.83,0.949,0.788
47,0.02772311989566405,0.0428,98.68,1.0,0.987,0.8244,83.59,0.949,0.786
48,0.027375099932600698,0.0424,98.69,1.0,0.987,0.8096,84.03,0.949,0.79
49,0.026096158533645192,0.0424,98.7,1.0,0.987,0.8012,84.16,0.95,0.791
