epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8423700195422275,1.4048,50.29,0.873,0.458,1.5133,44.88,0.811,0.333
1,1.3348746115355183,0.9158,64.61,0.942,0.605,1.1095,61.39,0.92,0.507
2,0.8749074206935415,0.512,81.25,0.979,0.806,0.6175,77.34,0.965,0.696
3,0.637413841357334,0.4616,83.69,0.984,0.839,0.5879,77.33,0.971,0.702
4,0.4599162365892808,0.3562,87.76,0.989,0.875,0.4516,84.9,0.977,0.791
5,0.3809742979008517,0.2534,91.32,0.994,0.911,0.4405,84.37,0.981,0.788
6,0.3242200742736995,0.2509,91.49,0.994,0.912,0.4458,84.23,0.975,0.788
7,0.28960059358061646,0.2014,93.18,0.996,0.93,0.3834,87.92,0.978,0.829
8,0.25621173450415086,0.2206,92.29,0.996,0.921,0.4368,85.99,0.98,0.815
9,0.24108859392807638,0.1937,93.45,0.997,0.933,0.4293,85.74,0.981,0.811
10,0.2097684708859423,0.1556,94.71,0.998,0.946,0.3689,88.84,0.98,0.843
11,0.20127966120946322,0.1521,95.08,0.998,0.949,0.4283,86.61,0.977,0.816
12,0.18369765177690725,0.1626,94.61,0.997,0.945,0.4443,85.54,0.979,0.806
13,0.1765938404438307,0.1608,94.7,0.998,0.945,0.4929,84.48,0.979,0.79
14,0.166994783035714,0.1563,94.83,0.998,0.949,0.4301,86.59,0.98,0.804
15,0.15557008863781854,0.1317,95.82,0.998,0.957,0.3562,88.38,0.984,0.836
16,0.1445398441107153,0.1077,96.48,0.999,0.964,0.3576,87.86,0.984,0.827
17,0.13718002353855174,0.1008,96.68,0.999,0.966,0.326,88.71,0.989,0.843
18,0.1317983882890331,0.0984,96.8,0.999,0.967,0.4013,86.23,0.984,0.818
19,0.12622735729749254,0.1004,96.61,0.999,0.965,0.3369,89.89,0.985,0.856
20,0.11641647548769875,0.095,96.97,0.999,0.969,0.4486,88.74,0.974,0.838
21,0.1130996231498907,0.0916,97.01,0.999,0.97,0.4389,84.87,0.982,0.803
22,0.10588227609078661,0.1037,96.51,0.999,0.965,0.3572,88.44,0.985,0.84
23,0.10787157215874829,0.0885,97.11,0.999,0.971,0.5057,85.62,0.973,0.801
24,0.09900314451979218,0.0875,97.1,0.999,0.971,0.3998,87.89,0.979,0.827
25,0.09172898067308845,0.0875,97.12,0.999,0.97,0.4146,87.94,0.98,0.829
26,0.09261607365320912,0.0767,97.55,0.999,0.975,0.4433,87.23,0.979,0.827
27,0.08473746867167006,0.0809,97.61,0.999,0.975,0.4093,88.13,0.984,0.832
28,0.08102294727623892,0.07,97.71,0.999,0.977,0.3706,88.46,0.984,0.834
29,0.07774654470330519,0.0669,97.8,1.0,0.978,0.3505,89.69,0.986,0.854
30,0.07302355326765733,0.0757,97.49,0.999,0.975,0.3865,89.04,0.985,0.845
31,0.06827426252873253,0.0616,98.03,1.0,0.98,0.4567,86.97,0.98,0.831
32,0.065499320385053,0.0692,97.86,1.0,0.978,0.4407,89.04,0.981,0.846
33,0.06104558349834929,0.0622,98.04,1.0,0.98,0.4116,88.55,0.982,0.845
34,0.05815435917847019,0.0591,98.14,1.0,0.981,0.4733,86.86,0.976,0.817
35,0.053932654932677314,0.0543,98.31,1.0,0.983,0.4869,89.23,0.97,0.848
36,0.05181517151834296,0.0497,98.43,1.0,0.984,0.4324,88.66,0.98,0.84
37,0.047597246726961445,0.0508,98.32,1.0,0.983,0.4203,88.65,0.982,0.836
38,0.045053134256933663,0.0495,98.47,1.0,0.984,0.4321,88.52,0.981,0.838
39,0.0425856175075332,0.0545,98.23,1.0,0.982,0.4752,88.66,0.978,0.842
40,0.03905341372215491,0.047,98.57,1.0,0.985,0.4385,88.74,0.982,0.841
41,0.038093177280087265,0.0502,98.55,1.0,0.985,0.4885,88.62,0.978,0.838
42,0.03550273582687695,0.0449,98.62,1.0,0.986,0.443,88.68,0.983,0.84
43,0.03194463284512004,0.0438,98.65,1.0,0.986,0.4553,88.98,0.982,0.843
44,0.03141095941524497,0.0456,98.56,1.0,0.985,0.4811,88.58,0.979,0.839
45,0.029825023824362445,0.0438,98.6,1.0,0.986,0.4807,88.71,0.981,0.841
46,0.029285016483057747,0.0432,98.62,1.0,0.986,0.474,88.38,0.981,0.837
47,0.02889724571606238,0.0436,98.64,1.0,0.986,0.4707,88.82,0.981,0.841
48,0.028546952850205434,0.0444,98.61,1.0,0.986,0.4662,88.52,0.982,0.838
49,0.027255909309702384,0.0439,98.65,1.0,0.986,0.4695,88.55,0.982,0.839
