epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7743030983767063,1.2196,58.78,0.91,0.524,1.742,31.86,0.761,0.267
1,1.246577902663526,0.6951,76.2,0.965,0.754,0.8873,67.19,0.91,0.615
2,0.8450218319035262,0.495,83.5,0.983,0.831,0.8991,65.83,0.93,0.605
3,0.636807249389964,0.3719,87.69,0.989,0.875,0.7039,74.25,0.948,0.664
4,0.494946543690112,0.3006,89.65,0.992,0.896,0.6016,78.02,0.962,0.725
5,0.42459667114902744,0.2525,91.46,0.995,0.913,0.6252,77.74,0.962,0.723
6,0.3694307205917166,0.2447,91.77,0.995,0.915,0.5841,81.46,0.975,0.732
7,0.3258538334060916,0.1907,93.49,0.997,0.932,0.3945,85.85,0.983,0.794
8,0.293230656025221,0.1973,93.48,0.997,0.933,0.4486,82.96,0.984,0.79
9,0.2744462063415445,0.1664,94.61,0.997,0.945,0.3664,87.56,0.989,0.841
10,0.25310459368520505,0.1594,94.78,0.998,0.946,0.4388,85.09,0.983,0.793
11,0.2377691662354435,0.1428,95.25,0.998,0.951,0.4342,84.87,0.982,0.786
12,0.22033351155922568,0.1476,95.3,0.998,0.952,0.4599,85.41,0.98,0.799
13,0.20337364892307802,0.1215,96.06,0.998,0.959,0.4252,84.87,0.985,0.803
14,0.19302875811247516,0.1299,95.81,0.999,0.958,0.4021,86.22,0.987,0.823
15,0.1857967903073743,0.1112,96.3,0.999,0.962,0.3627,87.89,0.988,0.83
16,0.18054194689440212,0.1178,96.26,0.999,0.961,0.4812,83.2,0.979,0.782
17,0.16668032157978566,0.1126,96.41,0.999,0.964,0.3671,87.4,0.989,0.842
18,0.166022607212444,0.0955,97.0,0.999,0.969,0.3631,87.81,0.988,0.835
19,0.1540917674843356,0.1008,96.68,0.999,0.966,0.3388,88.87,0.989,0.837
20,0.14498983511178615,0.0947,96.94,0.999,0.969,0.4566,85.76,0.981,0.81
21,0.14204064542226655,0.0851,97.29,0.999,0.972,0.3019,89.33,0.991,0.853
22,0.13196271454258787,0.0807,97.41,0.999,0.974,0.3711,86.97,0.988,0.833
23,0.12917293415223952,0.0864,97.25,0.999,0.972,0.331,88.27,0.989,0.844
24,0.12546123006789806,0.0764,97.6,0.999,0.975,0.3115,89.26,0.991,0.858
25,0.12267112833776063,0.0683,97.8,0.999,0.978,0.3472,88.2,0.987,0.835
26,0.1103000113432356,0.0727,97.7,0.999,0.977,0.3374,88.52,0.989,0.841
27,0.10497629012671306,0.0668,97.96,0.999,0.979,0.3813,87.46,0.987,0.83
28,0.10263945550905715,0.0646,98.06,1.0,0.98,0.4395,86.39,0.985,0.81
29,0.10182741970467053,0.0683,97.86,0.999,0.978,0.3605,87.48,0.987,0.826
30,0.09507878060392339,0.0652,97.97,1.0,0.98,0.3527,88.05,0.989,0.836
31,0.0925040920968536,0.0638,97.95,1.0,0.979,0.3211,89.2,0.99,0.855
32,0.08845101200419364,0.0624,97.94,1.0,0.979,0.4269,86.59,0.986,0.825
33,0.08464301881387079,0.0538,98.32,1.0,0.983,0.4183,86.61,0.986,0.824
34,0.07911238256547092,0.0521,98.32,1.0,0.983,0.4199,86.52,0.986,0.821
35,0.07610539379094144,0.0541,98.32,1.0,0.983,0.4072,86.52,0.987,0.827
36,0.07151335697594306,0.0467,98.57,1.0,0.985,0.306,89.4,0.992,0.868
37,0.06921208826758021,0.0499,98.43,1.0,0.984,0.362,87.75,0.99,0.841
38,0.0671665372072364,0.0476,98.48,1.0,0.985,0.3563,88.43,0.99,0.843
39,0.06273249681476209,0.0444,98.58,1.0,0.986,0.3813,87.62,0.988,0.838
40,0.06035453576942999,0.0461,98.56,1.0,0.985,0.3717,87.86,0.99,0.845
41,0.05637108967405,0.0418,98.7,1.0,0.987,0.3535,88.22,0.99,0.849
42,0.05440254887338165,0.0419,98.67,1.0,0.987,0.4305,86.58,0.987,0.828
43,0.05246951357334209,0.0396,98.75,1.0,0.987,0.3915,87.37,0.989,0.837
44,0.048848889754723304,0.0411,98.73,1.0,0.987,0.3845,87.79,0.989,0.839
45,0.050519602802052775,0.0405,98.73,1.0,0.987,0.3724,88.3,0.99,0.845
46,0.04754863733010326,0.0394,98.74,1.0,0.987,0.3608,88.54,0.99,0.85
47,0.04824241916749546,0.0388,98.78,1.0,0.988,0.3747,88.24,0.99,0.846
48,0.046971958706812034,0.0391,98.79,1.0,0.988,0.3823,88.19,0.99,0.844
49,0.045709302340694466,0.0391,98.79,1.0,0.988,0.3888,88.09,0.989,0.844
