epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0449513428502804,1.9934,21.64,0.642,0.145,2.0144,15.33,0.669,0.115
1,1.929762456056883,1.7486,36.79,0.752,0.259,1.6506,48.24,0.763,0.296
2,1.7660388766432837,1.4926,46.3,0.834,0.383,1.4439,51.0,0.796,0.375
3,1.6368018122885724,1.5294,46.88,0.835,0.425,1.6012,50.81,0.786,0.42
4,1.5487281701547637,1.5398,39.7,0.843,0.349,1.5934,41.56,0.781,0.352
5,1.4910263337677332,1.2994,55.53,0.88,0.543,1.3071,55.27,0.842,0.501
6,1.4234022150794379,1.3661,50.58,0.902,0.432,1.3151,55.17,0.885,0.523
7,1.343945552976869,1.1585,61.65,0.913,0.604,1.0538,62.85,0.896,0.571
8,1.2969976637860854,1.1736,57.03,0.921,0.535,1.1141,61.91,0.899,0.591
9,1.2438406515464508,1.0925,60.63,0.919,0.6,1.0413,62.42,0.9,0.586
10,1.1927638354061318,1.017,65.23,0.925,0.628,0.9436,66.75,0.914,0.604
11,1.1627360650961347,0.9732,66.87,0.931,0.656,0.9503,63.38,0.917,0.595
12,1.1296206862806417,1.0097,64.81,0.924,0.635,0.9085,65.5,0.928,0.611
13,1.1191442240056375,0.8666,70.01,0.95,0.676,0.8204,68.99,0.935,0.639
14,1.0969734449180768,0.9527,65.39,0.941,0.645,0.9013,65.25,0.93,0.602
15,1.070270097512993,0.8524,70.65,0.951,0.697,0.8964,65.96,0.93,0.619
16,1.0593996571122313,0.8362,71.22,0.949,0.695,0.8384,68.72,0.932,0.637
17,1.0385123941538146,0.8704,70.19,0.945,0.694,0.8705,66.54,0.933,0.626
18,1.0249919518292379,0.8996,67.27,0.945,0.662,0.8243,67.98,0.933,0.65
19,1.0222265197218752,0.8671,69.66,0.949,0.686,0.8751,68.66,0.929,0.658
20,0.997991233849697,0.8367,69.69,0.951,0.684,0.7896,71.07,0.939,0.671
21,0.9810237164120023,0.7589,73.57,0.958,0.721,0.7772,69.45,0.94,0.65
22,0.9718950077784148,0.7458,74.24,0.957,0.736,0.7963,69.0,0.943,0.671
23,0.972807089201838,0.7065,75.29,0.961,0.745,0.8148,68.17,0.941,0.647
24,0.9520899966466341,0.834,69.11,0.956,0.672,0.8107,71.37,0.938,0.683
25,0.9381182373856469,0.8281,69.1,0.954,0.681,0.7911,72.07,0.939,0.684
26,0.9385916586402508,0.7562,73.31,0.959,0.719,0.8035,69.27,0.939,0.664
27,0.9279674900521477,0.6644,76.42,0.966,0.751,0.8006,69.0,0.94,0.658
28,0.9143144033795638,0.6631,76.32,0.964,0.752,0.8038,69.79,0.936,0.665
29,0.905820049827905,0.6969,74.41,0.963,0.735,0.8155,70.05,0.941,0.664
30,0.9010408936644629,0.6714,76.44,0.967,0.754,0.8196,68.72,0.941,0.652
31,0.8914959902386014,0.697,74.9,0.965,0.736,0.7919,69.32,0.939,0.662
32,0.8822748395178815,0.674,75.8,0.969,0.747,0.7653,70.63,0.945,0.674
33,0.8770844559017703,0.6683,76.72,0.967,0.759,0.7363,71.12,0.948,0.678
34,0.8606574102271375,0.6727,76.84,0.967,0.763,0.7276,72.21,0.949,0.689
35,0.8562304403284471,0.6324,77.67,0.97,0.768,0.73,72.97,0.946,0.696
36,0.8557006296494024,0.6006,79.16,0.972,0.787,0.7799,69.34,0.944,0.669
37,0.8503432664082204,0.6005,78.57,0.972,0.778,0.7461,72.22,0.945,0.684
38,0.8405676398345893,0.6401,77.48,0.97,0.767,0.7329,72.1,0.945,0.687
39,0.8366486953316833,0.5871,79.68,0.972,0.79,0.7168,72.78,0.949,0.694
40,0.8307157304647158,0.5782,79.4,0.973,0.785,0.7082,73.36,0.949,0.696
41,0.8228710379531915,0.5975,79.12,0.971,0.784,0.7487,72.82,0.946,0.689
42,0.8180561352976792,0.5793,79.35,0.973,0.786,0.7584,71.29,0.945,0.679
43,0.8155134877712606,0.584,79.73,0.973,0.791,0.7343,72.64,0.946,0.694
44,0.8096632605833973,0.5708,79.62,0.973,0.788,0.7296,73.22,0.945,0.691
45,0.8061608093247997,0.5826,79.36,0.973,0.785,0.7287,73.25,0.947,0.695
46,0.8041635665962165,0.5661,79.83,0.974,0.789,0.7074,73.9,0.949,0.701
47,0.8006903083204365,0.5718,79.62,0.974,0.788,0.7138,73.52,0.948,0.699
48,0.8031930679039989,0.5641,80.02,0.974,0.792,0.7163,73.2,0.948,0.696
49,0.7978948860717334,0.5662,79.98,0.974,0.792,0.7135,73.5,0.948,0.7
