epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8094915983488233,1.247,58.86,0.913,0.513,1.9029,23.01,0.728,0.201
1,1.4459330435279463,0.8458,71.84,0.953,0.711,0.925,67.42,0.93,0.588
2,1.078149990640956,0.5687,80.68,0.977,0.795,0.651,79.6,0.968,0.712
3,0.8302673757505074,0.4814,82.84,0.983,0.823,0.7311,73.72,0.962,0.651
4,0.6387340274217318,0.3311,89.01,0.991,0.886,0.5063,82.58,0.978,0.769
5,0.5359641045546361,0.2968,89.83,0.993,0.895,0.4784,82.01,0.985,0.784
6,0.45779124202488136,0.2229,92.84,0.995,0.926,0.4154,85.46,0.986,0.817
7,0.41724429049080225,0.2716,90.36,0.995,0.902,0.333,87.26,0.99,0.834
8,0.38044515916769456,0.2079,93.15,0.996,0.928,0.3932,85.06,0.985,0.812
9,0.3513550554676879,0.2091,93.06,0.996,0.929,0.3819,85.95,0.988,0.826
10,0.3283376634764157,0.1683,94.44,0.997,0.943,0.3546,87.62,0.989,0.847
11,0.3154599146662856,0.1546,95.03,0.998,0.95,0.3434,87.37,0.988,0.826
12,0.2897641686655635,0.1366,95.54,0.998,0.954,0.3731,85.98,0.987,0.822
13,0.2713672796384894,0.1319,95.72,0.998,0.956,0.3177,89.12,0.99,0.86
14,0.2632586603327621,0.1368,95.72,0.998,0.956,0.3853,86.93,0.988,0.834
15,0.2515601508265777,0.1214,96.08,0.999,0.96,0.3854,85.77,0.988,0.825
16,0.24161929771196927,0.1314,95.72,0.998,0.956,0.3215,89.34,0.99,0.856
17,0.22834812801518886,0.1084,96.49,0.999,0.964,0.3185,89.99,0.99,0.872
18,0.219539610923623,0.1185,96.09,0.999,0.96,0.3735,86.8,0.989,0.834
19,0.21375572477742064,0.1221,95.85,0.999,0.957,0.2896,89.69,0.99,0.86
20,0.20248347445786427,0.097,96.88,0.999,0.968,0.2528,91.46,0.993,0.892
21,0.1985058376042963,0.096,96.75,0.999,0.967,0.2684,90.72,0.993,0.884
22,0.1853805450762776,0.0997,96.81,0.999,0.967,0.3217,89.06,0.992,0.861
23,0.1861736625968981,0.0944,97.0,0.999,0.969,0.3183,89.18,0.992,0.864
24,0.17658194642272784,0.0809,97.26,0.999,0.972,0.3668,88.11,0.989,0.846
25,0.17280138718138496,0.0784,97.5,0.999,0.974,0.3364,89.17,0.991,0.863
26,0.16107719413024915,0.0826,97.32,0.999,0.973,0.2591,91.43,0.993,0.888
27,0.15709031625188513,0.075,97.72,0.999,0.977,0.2788,90.3,0.994,0.877
28,0.14995109370286516,0.0739,97.62,0.999,0.976,0.3526,88.43,0.991,0.855
29,0.14839273862701527,0.0718,97.73,0.999,0.977,0.3137,89.2,0.992,0.861
30,0.13957002415931483,0.0652,97.95,1.0,0.979,0.3092,89.99,0.993,0.872
31,0.13378594311878836,0.0657,97.79,1.0,0.977,0.3635,87.56,0.992,0.852
32,0.1287801531042984,0.0646,97.95,1.0,0.979,0.2594,91.92,0.993,0.891
33,0.1242821678358445,0.0588,98.09,1.0,0.981,0.2936,90.51,0.993,0.879
34,0.12170394049059573,0.0584,98.15,1.0,0.981,0.3543,88.77,0.991,0.859
35,0.11571252790929602,0.0556,98.26,1.0,0.982,0.3302,89.44,0.993,0.868
36,0.11020617170942773,0.0546,98.27,1.0,0.982,0.2641,92.12,0.994,0.896
37,0.10666285503468068,0.0525,98.41,1.0,0.984,0.2684,91.62,0.994,0.897
38,0.10192485721848851,0.0527,98.3,1.0,0.983,0.372,89.39,0.991,0.867
39,0.09858284443080854,0.0485,98.39,1.0,0.984,0.3622,89.15,0.992,0.865
40,0.09526984326595025,0.0487,98.48,1.0,0.984,0.2896,91.36,0.993,0.889
41,0.09022443580756084,0.0453,98.62,1.0,0.986,0.2583,92.15,0.995,0.898
42,0.08999471492368541,0.0459,98.56,1.0,0.986,0.3017,90.79,0.993,0.885
43,0.08446770335594528,0.046,98.54,1.0,0.985,0.3133,90.81,0.992,0.884
44,0.08352721042984682,0.0452,98.55,1.0,0.985,0.3191,90.32,0.993,0.879
45,0.08447114967828175,0.0443,98.61,1.0,0.986,0.3123,90.46,0.993,0.879
46,0.08378382801687975,0.0433,98.64,1.0,0.986,0.3055,90.76,0.993,0.883
47,0.08242224140776147,0.0428,98.67,1.0,0.987,0.3177,90.48,0.993,0.88
48,0.08084173387975144,0.0428,98.62,1.0,0.986,0.3237,90.51,0.992,0.881
49,0.0801124841564422,0.0426,98.64,1.0,0.986,0.3097,90.83,0.993,0.885
