epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.755354910445728,1.2291,55.14,0.911,0.497,2.0135,19.74,0.717,0.159
1,1.2467958755630384,0.7567,69.49,0.958,0.67,1.2767,56.91,0.877,0.493
2,0.7610433024468182,0.544,80.01,0.981,0.782,0.8226,71.83,0.955,0.641
3,0.6153952159898745,0.3481,88.31,0.989,0.881,0.6036,78.13,0.97,0.718
4,0.498963662403093,0.2847,90.25,0.993,0.9,0.6393,77.48,0.968,0.704
5,0.42771371298556704,0.2487,91.62,0.995,0.914,0.5744,79.46,0.975,0.745
6,0.36820922759797076,0.2165,92.82,0.996,0.926,0.479,82.57,0.981,0.771
7,0.31922832871083734,0.1902,93.71,0.996,0.936,0.4811,81.76,0.974,0.764
8,0.29326635620576874,0.1846,93.55,0.997,0.934,0.4969,82.55,0.983,0.769
9,0.261823921109275,0.1753,94.34,0.997,0.942,0.3302,87.95,0.991,0.84
10,0.2408975557886439,0.1701,94.49,0.997,0.943,0.3523,87.53,0.989,0.848
11,0.22454565152418698,0.1336,95.77,0.998,0.957,0.4105,84.7,0.988,0.808
12,0.21364339296337512,0.1295,95.81,0.998,0.957,0.3279,87.53,0.991,0.846
13,0.1989549850817207,0.1283,95.98,0.998,0.959,0.387,85.27,0.989,0.804
14,0.19432742791853364,0.1255,95.91,0.998,0.958,0.3084,88.71,0.991,0.854
15,0.18130407482385635,0.1163,96.19,0.999,0.961,0.3685,86.94,0.989,0.834
16,0.17318503242388045,0.1003,96.68,0.999,0.966,0.523,82.08,0.985,0.764
17,0.16127200269227404,0.1136,96.45,0.999,0.964,0.3356,88.24,0.991,0.853
18,0.15548844930293748,0.1073,96.44,0.999,0.963,0.4259,84.11,0.99,0.797
19,0.14890763474454125,0.0949,96.94,0.999,0.969,0.4014,84.83,0.986,0.799
20,0.14302988554076326,0.091,97.14,0.999,0.971,0.5587,79.95,0.983,0.748
21,0.13844905997351778,0.0888,97.09,0.999,0.97,0.3847,87.08,0.991,0.837
22,0.13185950400803587,0.09,97.07,0.999,0.97,0.3474,87.64,0.991,0.842
23,0.12869246261154146,0.0837,97.25,0.999,0.972,0.3371,87.72,0.99,0.847
24,0.12166340244438151,0.0833,97.36,0.999,0.973,0.3436,87.54,0.992,0.845
25,0.11594304013595307,0.0781,97.43,0.999,0.974,0.4425,84.41,0.989,0.81
26,0.10951793555625909,0.0679,97.84,0.999,0.978,0.3024,90.1,0.992,0.868
27,0.10353429682499213,0.0688,97.77,1.0,0.977,0.4185,85.06,0.987,0.812
28,0.09973040992300287,0.0691,97.58,1.0,0.976,0.3004,89.55,0.993,0.869
29,0.09371067251232888,0.0628,97.94,1.0,0.979,0.4115,85.93,0.988,0.826
30,0.08947463411328604,0.0592,98.09,1.0,0.981,0.3572,87.12,0.991,0.841
31,0.08587627445193503,0.0611,98.1,1.0,0.98,0.4442,84.64,0.988,0.825
32,0.08163050712226964,0.0559,98.15,1.0,0.981,0.39,87.62,0.988,0.852
33,0.0780675866299396,0.0498,98.43,1.0,0.984,0.2969,89.63,0.993,0.869
34,0.07508953274797192,0.0522,98.29,1.0,0.983,0.3563,87.95,0.99,0.849
35,0.07347260029624691,0.0483,98.38,1.0,0.983,0.3162,89.31,0.992,0.87
36,0.06581524669748845,0.0447,98.57,1.0,0.986,0.3431,88.43,0.991,0.856
37,0.06405750507984659,0.0442,98.47,1.0,0.984,0.3557,87.4,0.99,0.843
38,0.06179709571728603,0.0431,98.6,1.0,0.986,0.3188,89.15,0.991,0.862
39,0.057197726726960794,0.0426,98.58,1.0,0.985,0.3153,89.59,0.992,0.866
40,0.05485492020094995,0.0406,98.73,1.0,0.987,0.3325,89.1,0.992,0.866
41,0.05121112488907018,0.0378,98.8,1.0,0.988,0.2973,90.07,0.993,0.876
42,0.04855812915848742,0.0389,98.75,1.0,0.987,0.4314,85.93,0.988,0.827
43,0.04717660744895609,0.0366,98.88,1.0,0.989,0.3793,87.75,0.99,0.851
44,0.045560336356861984,0.038,98.74,1.0,0.987,0.3743,87.72,0.99,0.851
45,0.044979467029890995,0.0354,98.84,1.0,0.988,0.3458,88.71,0.991,0.861
46,0.04352791878066475,0.0349,98.93,1.0,0.989,0.3629,88.17,0.99,0.854
47,0.042058814692197084,0.035,98.88,1.0,0.989,0.3371,88.96,0.991,0.864
48,0.042296552588399365,0.0347,98.92,1.0,0.989,0.3382,88.93,0.991,0.863
49,0.04318396283461035,0.0344,98.93,1.0,0.989,0.333,88.99,0.991,0.864
