epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7915279676588318,1.2331,58.85,0.915,0.507,1.9907,19.42,0.719,0.16
1,1.3831649769981988,0.8431,71.64,0.955,0.713,1.0481,58.5,0.916,0.533
2,0.950756920756196,0.5462,81.36,0.978,0.811,0.8517,67.85,0.954,0.614
3,0.7578186371343599,0.3926,86.6,0.987,0.862,0.6749,75.65,0.964,0.673
4,0.5806450470745992,0.3406,88.47,0.99,0.882,0.4957,82.82,0.979,0.779
5,0.49647178860019436,0.3095,89.15,0.993,0.888,0.586,79.93,0.972,0.733
6,0.42469912467243004,0.221,92.69,0.995,0.925,0.503,82.76,0.977,0.777
7,0.3764396719366526,0.1859,93.94,0.997,0.938,0.353,88.14,0.989,0.842
8,0.3477245597101802,0.2355,92.11,0.996,0.919,0.4827,82.73,0.983,0.79
9,0.3141195408517508,0.2018,93.02,0.997,0.928,0.3185,89.1,0.99,0.859
10,0.28908467346386946,0.16,94.87,0.997,0.947,0.3427,87.79,0.989,0.85
11,0.27722211042754086,0.1449,95.39,0.998,0.952,0.2496,91.6,0.994,0.887
12,0.26196862103270113,0.1323,95.79,0.998,0.957,0.3008,89.56,0.991,0.866
13,0.24333893127149817,0.1549,94.88,0.998,0.948,0.3571,87.83,0.988,0.837
14,0.2308760238208359,0.1324,95.57,0.998,0.955,0.359,87.15,0.988,0.834
15,0.21802600146197587,0.114,96.11,0.999,0.96,0.3064,89.06,0.99,0.858
16,0.21441814935893463,0.1506,95.04,0.998,0.95,0.3581,87.67,0.989,0.84
17,0.20311320889339174,0.1158,96.27,0.999,0.962,0.247,91.2,0.994,0.89
18,0.18888072530142694,0.0995,96.72,0.999,0.966,0.3404,87.72,0.99,0.842
19,0.1830598655686104,0.1009,96.82,0.999,0.967,0.3125,88.93,0.99,0.866
20,0.17989157563705238,0.1016,96.68,0.999,0.966,0.344,87.9,0.99,0.851
21,0.1729322790885143,0.1009,96.62,0.999,0.965,0.2092,92.4,0.995,0.903
22,0.1613863054260933,0.1012,96.7,0.999,0.967,0.4554,84.87,0.988,0.818
23,0.16016889658334443,0.0837,97.18,0.999,0.971,0.1938,92.93,0.996,0.909
24,0.1541998157505509,0.0916,97.05,0.999,0.969,0.285,89.64,0.992,0.873
25,0.147681114860147,0.0816,97.28,0.999,0.973,0.3685,85.92,0.99,0.829
26,0.14047522901845494,0.0736,97.69,0.999,0.977,0.2848,89.94,0.992,0.868
27,0.1310080088835826,0.0708,97.7,0.999,0.977,0.3894,86.25,0.989,0.837
28,0.12951829070024354,0.0692,97.63,1.0,0.976,0.2976,89.23,0.992,0.864
29,0.1224598777915934,0.0673,97.87,1.0,0.978,0.2665,90.48,0.993,0.872
30,0.1142572206344536,0.0615,97.98,1.0,0.98,0.2296,92.26,0.995,0.904
31,0.11250936046993132,0.0641,97.86,1.0,0.978,0.2484,91.28,0.994,0.892
32,0.10698770214435008,0.0607,98.03,1.0,0.98,0.2691,90.65,0.993,0.877
33,0.10701734154558867,0.0562,98.19,1.0,0.981,0.2152,92.86,0.995,0.908
34,0.09921804290238044,0.0571,98.08,1.0,0.981,0.286,90.13,0.992,0.873
35,0.09624699733668951,0.0543,98.31,1.0,0.983,0.2405,91.6,0.994,0.896
36,0.0928152169255044,0.0469,98.55,1.0,0.985,0.2222,92.26,0.995,0.9
37,0.08656880744605613,0.0536,98.24,1.0,0.982,0.2568,91.25,0.993,0.892
38,0.08374178425656806,0.0477,98.44,1.0,0.984,0.2117,92.97,0.995,0.911
39,0.08032420778767668,0.0449,98.6,1.0,0.986,0.3185,89.8,0.991,0.872
40,0.079264208969238,0.044,98.56,1.0,0.985,0.2699,90.9,0.993,0.886
41,0.07191577315223303,0.0432,98.52,1.0,0.985,0.2701,91.13,0.993,0.893
42,0.07118181656483266,0.0427,98.66,1.0,0.986,0.3133,89.28,0.991,0.872
43,0.0683700697188326,0.0403,98.7,1.0,0.987,0.2987,90.4,0.992,0.881
44,0.06655384514400427,0.0395,98.71,1.0,0.987,0.2889,90.98,0.992,0.887
45,0.0659851012416452,0.0374,98.76,1.0,0.988,0.2815,91.05,0.993,0.886
46,0.06418171101551262,0.0372,98.83,1.0,0.988,0.2968,90.53,0.992,0.881
47,0.062151378369052636,0.0375,98.73,1.0,0.987,0.2536,91.82,0.993,0.897
48,0.0626775559252329,0.0371,98.7,1.0,0.987,0.2737,91.17,0.993,0.89
49,0.06375283793472558,0.0369,98.76,1.0,0.987,0.2791,90.9,0.993,0.887
