epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7598016004768207,1.1763,58.77,0.912,0.495,1.7289,38.37,0.733,0.303
1,1.2201084794758035,0.6247,76.91,0.971,0.752,1.0104,65.92,0.875,0.589
2,0.7850893302787122,0.4782,84.0,0.984,0.835,0.7632,74.86,0.921,0.686
3,0.6579360228648289,0.3577,87.82,0.989,0.876,0.8576,69.37,0.924,0.649
4,0.4899653989634068,0.3202,88.7,0.991,0.883,1.0169,68.17,0.916,0.61
5,0.42085791213049306,0.2642,90.83,0.994,0.906,0.7282,76.47,0.934,0.703
6,0.35456814675879994,0.214,92.8,0.996,0.927,0.5655,85.03,0.951,0.779
7,0.31553136509099455,0.1856,94.05,0.997,0.939,0.6147,83.37,0.946,0.775
8,0.27777910361187064,0.1828,94.03,0.997,0.939,0.6674,78.75,0.956,0.728
9,0.2538059304515235,0.1668,94.6,0.997,0.945,0.5808,83.63,0.955,0.776
10,0.23395460779718358,0.1588,94.77,0.998,0.946,0.5707,82.17,0.968,0.778
11,0.21949994864223674,0.1542,94.77,0.998,0.946,0.6174,82.68,0.957,0.757
12,0.19771282385579117,0.1325,95.62,0.998,0.955,0.5531,84.11,0.964,0.794
13,0.18521892659955744,0.1118,96.33,0.999,0.962,0.4764,86.17,0.97,0.81
14,0.17143429746087507,0.1099,96.44,0.999,0.964,0.4846,85.69,0.972,0.812
15,0.16364885652236802,0.1102,96.42,0.999,0.964,0.5201,85.79,0.973,0.815
16,0.16137806326150894,0.1026,96.57,0.999,0.965,0.6048,83.85,0.961,0.787
17,0.1560153507178636,0.1018,96.7,0.999,0.967,0.4635,86.42,0.975,0.816
18,0.1478942133111062,0.0945,96.88,0.999,0.968,0.4851,86.07,0.964,0.817
19,0.13848310215867682,0.0867,97.32,0.999,0.973,0.4726,87.0,0.973,0.822
20,0.1322453596609102,0.0817,97.26,0.999,0.972,0.4542,87.48,0.974,0.823
21,0.1293596169449014,0.0813,97.4,0.999,0.974,0.4808,86.18,0.973,0.819
22,0.11952001633618375,0.0762,97.62,0.999,0.976,0.39,88.93,0.979,0.842
23,0.11598255303051831,0.0805,97.3,0.999,0.972,0.4342,87.59,0.977,0.832
24,0.11115824093492768,0.0673,97.76,1.0,0.977,0.4831,87.62,0.969,0.829
25,0.1053814479022575,0.0686,97.71,0.999,0.977,0.5182,84.45,0.972,0.799
26,0.09945638625205849,0.0691,97.71,1.0,0.977,0.5189,85.41,0.977,0.808
27,0.09562724796559313,0.0638,97.9,1.0,0.979,0.5365,85.0,0.97,0.802
28,0.09130983333364665,0.0598,98.04,1.0,0.98,0.4213,89.53,0.98,0.854
29,0.08762772306263876,0.06,97.95,1.0,0.979,0.4954,86.15,0.975,0.812
30,0.08170113562465571,0.0632,97.96,1.0,0.979,0.4499,86.89,0.979,0.82
31,0.07713343741760838,0.0511,98.4,1.0,0.984,0.4241,88.11,0.981,0.836
32,0.07353366759987615,0.054,98.33,1.0,0.983,0.4688,87.21,0.979,0.826
33,0.07070490905492426,0.0506,98.34,1.0,0.983,0.465,88.43,0.976,0.839
34,0.06746513651107712,0.0471,98.48,1.0,0.985,0.443,88.39,0.979,0.838
35,0.06387764196708906,0.0492,98.46,1.0,0.984,0.4852,88.05,0.979,0.833
36,0.06163606599723692,0.0457,98.5,1.0,0.985,0.443,88.96,0.983,0.847
37,0.059739426997818534,0.046,98.52,1.0,0.985,0.4926,86.1,0.978,0.811
38,0.05396302520103163,0.0445,98.55,1.0,0.985,0.4473,88.84,0.981,0.84
39,0.05239470244097195,0.04,98.71,1.0,0.987,0.4687,88.66,0.98,0.838
40,0.048464933798896326,0.0409,98.72,1.0,0.987,0.4758,88.96,0.981,0.836
41,0.04695900425100498,0.0384,98.78,1.0,0.988,0.4672,88.73,0.982,0.84
42,0.04423258742384559,0.038,98.77,1.0,0.988,0.4851,88.19,0.981,0.836
43,0.042968730703532264,0.0378,98.72,1.0,0.987,0.4772,88.14,0.981,0.835
44,0.03983042647110687,0.0376,98.77,1.0,0.988,0.4566,88.93,0.983,0.842
45,0.038532072691608674,0.0364,98.8,1.0,0.988,0.4911,87.64,0.981,0.828
46,0.03652394158939878,0.0366,98.83,1.0,0.988,0.4633,88.35,0.983,0.837
47,0.037613812351612735,0.0358,98.9,1.0,0.989,0.4707,88.13,0.983,0.833
48,0.0357850138366008,0.0357,98.88,1.0,0.989,0.4707,88.38,0.983,0.836
49,0.035175523981988,0.0357,98.92,1.0,0.989,0.4715,88.32,0.983,0.835
