epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0561277677686953,1.998,20.59,0.533,0.148,2.0869,7.25,0.52,0.034
1,1.9446296743351779,1.5743,43.06,0.817,0.359,1.411,47.23,0.827,0.341
2,1.6678172898807113,1.1873,57.14,0.898,0.563,1.0664,62.37,0.905,0.532
3,1.4468007585127576,0.9271,67.01,0.934,0.664,0.9347,67.31,0.922,0.601
4,1.207033772262738,0.8133,69.32,0.951,0.679,1.0142,61.74,0.92,0.577
5,1.0463456052670377,0.6801,74.55,0.968,0.736,0.7456,74.36,0.954,0.692
6,0.932671128845901,0.5269,80.91,0.978,0.801,0.6216,76.66,0.966,0.72
7,0.8417354976530556,0.4348,84.64,0.985,0.839,0.5506,80.28,0.971,0.75
8,0.7832089585366009,0.4325,85.58,0.984,0.852,0.4611,83.42,0.978,0.799
9,0.7422473752241341,0.4339,84.76,0.985,0.842,0.6333,77.17,0.968,0.726
10,0.7043085677160633,0.3718,87.43,0.989,0.869,0.5572,79.55,0.975,0.781
11,0.6685778888867056,0.3144,89.25,0.992,0.889,0.4622,82.44,0.979,0.791
12,0.6461284593712512,0.3105,89.72,0.992,0.894,0.4269,83.5,0.982,0.801
13,0.6093727333082569,0.288,90.35,0.993,0.9,0.4779,81.87,0.979,0.784
14,0.5957422170707648,0.278,90.62,0.993,0.904,0.4883,82.82,0.977,0.789
15,0.5677494267336756,0.2866,90.37,0.994,0.902,0.4586,82.98,0.978,0.781
16,0.5592493382718066,0.2699,90.93,0.994,0.907,0.4646,82.44,0.98,0.782
17,0.5403301563623141,0.2648,91.04,0.994,0.908,0.47,81.71,0.981,0.781
18,0.5330706517473399,0.2232,92.63,0.995,0.925,0.3415,87.81,0.987,0.84
19,0.511210374694934,0.2377,92.3,0.995,0.921,0.4028,85.14,0.982,0.815
20,0.49812017370470996,0.2004,93.51,0.996,0.934,0.3584,86.56,0.987,0.831
21,0.48621504319657527,0.1951,93.63,0.996,0.935,0.3318,88.06,0.988,0.848
22,0.47239688832125215,0.1882,93.97,0.996,0.938,0.3069,88.57,0.989,0.853
23,0.4628251302156517,0.1896,93.72,0.996,0.936,0.3109,88.39,0.99,0.85
24,0.456996166448799,0.196,93.48,0.996,0.934,0.3621,86.7,0.989,0.831
25,0.44032620568927244,0.1773,94.31,0.997,0.942,0.3283,87.75,0.988,0.847
26,0.4330485456710239,0.1873,93.62,0.997,0.935,0.3601,86.47,0.988,0.837
27,0.42526001531443147,0.1633,94.69,0.997,0.945,0.2695,90.37,0.992,0.871
28,0.41260890416104157,0.1902,93.56,0.997,0.933,0.3313,87.21,0.99,0.853
29,0.40057774970857357,0.1621,94.83,0.997,0.947,0.2765,89.47,0.992,0.865
30,0.392329516385099,0.1605,94.69,0.997,0.946,0.3236,88.28,0.989,0.844
31,0.38415422928419046,0.1653,94.47,0.997,0.943,0.3381,87.42,0.99,0.846
32,0.3745909063078517,0.1742,94.18,0.997,0.941,0.3209,88.0,0.99,0.843
33,0.370791204327302,0.1391,95.57,0.998,0.955,0.2574,90.56,0.993,0.881
34,0.36291573930987353,0.1293,95.85,0.998,0.957,0.2762,90.34,0.992,0.874
35,0.35190367720109955,0.1422,95.41,0.998,0.953,0.2923,89.42,0.991,0.866
36,0.3500715266886375,0.1344,95.65,0.998,0.956,0.2704,89.69,0.993,0.864
37,0.341104279962375,0.124,96.0,0.998,0.959,0.308,89.03,0.991,0.867
38,0.33729425040509203,0.1303,95.8,0.998,0.957,0.2997,89.09,0.991,0.865
39,0.32646859142420104,0.1211,96.33,0.998,0.962,0.3373,87.87,0.991,0.853
40,0.32133636092968126,0.1212,96.17,0.998,0.961,0.296,89.42,0.992,0.867
41,0.3193973577279839,0.1148,96.34,0.999,0.963,0.2767,90.15,0.993,0.873
42,0.3121842855601002,0.119,96.24,0.998,0.962,0.3168,88.8,0.991,0.856
43,0.3083630299611057,0.1098,96.54,0.999,0.965,0.2943,89.82,0.992,0.869
44,0.30453834881027825,0.1118,96.48,0.999,0.964,0.2889,89.89,0.992,0.871
45,0.3057181781573261,0.1079,96.61,0.999,0.965,0.2895,90.02,0.992,0.872
46,0.303198541990287,0.1082,96.58,0.999,0.965,0.283,90.26,0.992,0.874
47,0.2985862594285457,0.1066,96.68,0.999,0.966,0.2775,90.29,0.992,0.875
48,0.2949190657559059,0.1064,96.66,0.999,0.966,0.2833,90.24,0.992,0.876
49,0.296998124757259,0.1069,96.63,0.999,0.966,0.2875,90.04,0.992,0.874
