epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0318703617123393,1.9111,26.78,0.652,0.177,1.9629,24.81,0.698,0.151
1,1.6701957038838229,1.2875,54.04,0.895,0.541,1.1909,55.46,0.902,0.497
2,1.2382453920172274,0.8954,67.56,0.95,0.667,0.8849,70.35,0.934,0.655
3,0.9931946405403905,0.8542,68.64,0.956,0.668,0.9209,68.66,0.93,0.611
4,0.802493721889935,0.5442,80.15,0.979,0.791,0.6579,77.26,0.96,0.709
5,0.6748377436356578,0.4459,84.89,0.986,0.846,0.5095,81.41,0.976,0.762
6,0.5890676003994701,0.4065,85.69,0.988,0.849,0.5233,81.21,0.972,0.761
7,0.5274152271181559,0.3557,87.62,0.99,0.871,0.4352,83.96,0.982,0.788
8,0.4829889808198531,0.3902,86.18,0.991,0.852,0.4524,83.2,0.985,0.816
9,0.45843770028018266,0.2738,90.51,0.994,0.902,0.3816,85.84,0.987,0.814
10,0.42701809076096514,0.2481,91.86,0.995,0.917,0.3396,88.28,0.988,0.848
11,0.40731017709636,0.2628,91.29,0.994,0.91,0.3946,85.95,0.984,0.823
12,0.3776273969694865,0.2322,92.41,0.995,0.922,0.356,87.13,0.987,0.832
13,0.367264362547895,0.2104,93.14,0.996,0.93,0.3462,87.42,0.988,0.838
14,0.34857172074077797,0.2085,93.21,0.996,0.931,0.3698,85.88,0.987,0.825
15,0.3367809185878836,0.1804,94.03,0.997,0.939,0.3472,87.97,0.988,0.842
16,0.3263541857758872,0.2193,92.79,0.996,0.925,0.3762,86.83,0.987,0.819
17,0.31128590527198297,0.1694,94.37,0.997,0.943,0.3034,89.1,0.991,0.857
18,0.3038524611176347,0.1911,93.64,0.996,0.935,0.2973,89.25,0.99,0.859
19,0.29242875678933783,0.1864,93.88,0.997,0.936,0.3294,88.33,0.989,0.854
20,0.2794114766146639,0.1419,95.44,0.998,0.953,0.2711,89.91,0.992,0.87
21,0.27146911138682056,0.1537,95.07,0.998,0.949,0.2823,89.61,0.992,0.862
22,0.2624029888094758,0.1479,95.25,0.998,0.952,0.3433,87.6,0.987,0.834
23,0.26044584896495876,0.1481,95.26,0.998,0.952,0.3012,89.12,0.991,0.864
24,0.2469037881643652,0.1294,95.83,0.998,0.958,0.273,89.78,0.992,0.867
25,0.23809208919247277,0.1207,96.29,0.998,0.962,0.2466,91.52,0.993,0.886
26,0.23209167298653144,0.1195,96.28,0.999,0.962,0.2962,89.25,0.991,0.855
27,0.2233505583495545,0.1174,96.1,0.999,0.96,0.3411,87.79,0.989,0.841
28,0.21844444343512007,0.1139,96.28,0.999,0.962,0.2814,89.34,0.992,0.86
29,0.2097624352724432,0.1538,95.01,0.998,0.949,0.4044,86.61,0.986,0.826
30,0.20284763375203385,0.1082,96.5,0.999,0.964,0.2736,90.65,0.992,0.872
31,0.201195367913452,0.1084,96.59,0.999,0.965,0.3021,89.72,0.99,0.866
32,0.19305588851729744,0.1041,96.69,0.999,0.966,0.346,88.17,0.989,0.843
33,0.18811748396578454,0.0942,96.96,0.999,0.969,0.3322,88.17,0.989,0.842
34,0.1810702462312129,0.0946,96.95,0.999,0.969,0.2735,90.53,0.992,0.872
35,0.17749955403290207,0.093,96.99,0.999,0.969,0.29,89.82,0.991,0.866
36,0.16882375188225465,0.0814,97.43,0.999,0.974,0.2578,90.86,0.993,0.873
37,0.16389435904917957,0.0825,97.37,0.999,0.973,0.2924,89.74,0.991,0.862
38,0.16044190274082498,0.0773,97.56,0.999,0.975,0.2663,90.65,0.992,0.87
39,0.1558553963470802,0.0813,97.42,0.999,0.974,0.3078,89.72,0.991,0.862
40,0.150505112711903,0.0726,97.67,0.999,0.976,0.2857,90.18,0.992,0.868
41,0.15101495353009203,0.0738,97.63,0.999,0.976,0.2947,89.83,0.992,0.866
42,0.1421401578959801,0.0745,97.65,0.999,0.976,0.3424,88.28,0.99,0.847
43,0.13777582143708098,0.0706,97.74,0.999,0.977,0.3142,89.36,0.991,0.857
44,0.13741571263229246,0.0683,97.92,0.999,0.979,0.3198,89.26,0.99,0.859
45,0.13615245109410595,0.0676,97.97,0.999,0.979,0.2978,89.74,0.991,0.86
46,0.13332521518786178,0.0655,97.96,1.0,0.979,0.3106,89.59,0.991,0.859
47,0.129837165901558,0.0677,97.88,1.0,0.979,0.2935,90.08,0.991,0.865
48,0.13274577747789218,0.0677,97.88,1.0,0.979,0.2956,89.99,0.991,0.865
49,0.13406110147563674,0.0661,97.94,1.0,0.979,0.3013,89.74,0.991,0.861
