epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.821306087987886,1.2819,58.83,0.914,0.499,2.0223,17.81,0.708,0.166
1,1.5205871389924193,0.8411,70.02,0.955,0.673,1.0248,61.58,0.917,0.534
2,1.1289302415127376,0.5684,81.83,0.978,0.812,0.6447,77.64,0.965,0.715
3,0.9147336388663422,0.4735,84.93,0.982,0.846,0.7302,72.26,0.947,0.665
4,0.7108926022653099,0.3145,89.75,0.991,0.894,0.4561,83.67,0.978,0.764
5,0.626004244354989,0.2709,91.4,0.994,0.912,0.4217,85.33,0.982,0.799
6,0.5408447371969978,0.2512,91.94,0.994,0.916,0.4141,85.27,0.983,0.812
7,0.4761838340501991,0.2428,91.78,0.995,0.915,0.3648,86.94,0.987,0.816
8,0.44197660277215695,0.2221,92.63,0.996,0.925,0.3095,88.68,0.993,0.851
9,0.4037081018197451,0.2253,92.55,0.996,0.923,0.2969,89.33,0.992,0.861
10,0.38175293224320994,0.1697,94.5,0.997,0.944,0.3217,88.71,0.991,0.864
11,0.3562292416961931,0.1692,94.51,0.997,0.944,0.3265,88.16,0.988,0.846
12,0.33807822322245124,0.1611,94.83,0.997,0.946,0.3127,88.3,0.991,0.848
13,0.32325700193429163,0.1504,95.16,0.998,0.951,0.3013,89.4,0.99,0.857
14,0.3043949451806734,0.1437,95.2,0.998,0.951,0.3343,88.44,0.988,0.85
15,0.2891055405568734,0.1305,95.73,0.998,0.957,0.2857,90.43,0.991,0.868
16,0.28822904450001474,0.1613,94.69,0.998,0.945,0.2892,89.83,0.992,0.87
17,0.2735290437293567,0.1244,96.04,0.998,0.96,0.2219,92.36,0.994,0.902
18,0.2668131688515917,0.1118,96.3,0.999,0.962,0.2566,90.57,0.994,0.882
19,0.2534784736821977,0.1124,96.48,0.999,0.964,0.2899,90.7,0.991,0.882
20,0.24508062433853423,0.1051,96.77,0.999,0.967,0.2521,91.05,0.994,0.886
21,0.2435040567204249,0.1014,96.9,0.999,0.969,0.2761,90.04,0.993,0.876
22,0.22904814425989878,0.1033,96.73,0.999,0.967,0.3,89.28,0.991,0.862
23,0.22425779753880534,0.0888,97.28,0.999,0.972,0.2571,91.38,0.993,0.887
24,0.2128392554444375,0.0892,97.11,0.999,0.971,0.288,90.3,0.991,0.869
25,0.2105071813725739,0.0969,96.82,0.999,0.968,0.2279,91.5,0.995,0.891
26,0.2018980067089307,0.0804,97.5,0.999,0.974,0.3208,88.38,0.993,0.862
27,0.19546210508552386,0.0779,97.49,0.999,0.975,0.2325,92.25,0.995,0.896
28,0.18749099053281673,0.0863,97.23,0.999,0.972,0.2359,91.66,0.994,0.897
29,0.18102932871460056,0.0905,97.01,0.999,0.97,0.3006,89.58,0.991,0.87
30,0.17884772045792435,0.0734,97.68,0.999,0.977,0.2789,90.24,0.993,0.876
31,0.17001255001309964,0.0791,97.37,0.999,0.973,0.2847,90.12,0.993,0.885
32,0.1681951528294481,0.0774,97.52,0.999,0.975,0.2558,91.27,0.993,0.889
33,0.1638455584430866,0.0642,98.03,1.0,0.98,0.2006,93.29,0.995,0.91
34,0.1568846472090097,0.0592,98.09,1.0,0.981,0.2425,91.85,0.995,0.897
35,0.14918089132729195,0.0666,97.92,1.0,0.979,0.2292,92.25,0.995,0.902
36,0.14881674028772243,0.0608,98.03,1.0,0.98,0.2126,92.77,0.995,0.906
37,0.14097685340068322,0.0609,98.08,1.0,0.981,0.3116,89.09,0.993,0.867
38,0.13615551355073777,0.0538,98.31,1.0,0.983,0.25,91.63,0.994,0.893
39,0.1324697241401501,0.0513,98.36,1.0,0.983,0.2754,90.97,0.994,0.882
40,0.12717227241118179,0.0546,98.25,1.0,0.982,0.2067,93.26,0.996,0.913
41,0.12562663263554197,0.05,98.41,1.0,0.984,0.2391,92.07,0.995,0.9
42,0.12392318323790598,0.0505,98.37,1.0,0.984,0.2456,91.93,0.994,0.899
43,0.12101976418023487,0.052,98.33,1.0,0.983,0.2407,92.14,0.995,0.902
44,0.11635987128285195,0.0475,98.53,1.0,0.985,0.2639,91.52,0.994,0.893
45,0.1197670671901257,0.047,98.56,1.0,0.985,0.2403,92.12,0.995,0.899
46,0.11398712320507859,0.0461,98.53,1.0,0.985,0.2421,92.15,0.995,0.899
47,0.11320709753379547,0.0465,98.54,1.0,0.985,0.2486,91.8,0.994,0.896
48,0.1126331019637396,0.0465,98.63,1.0,0.986,0.2546,91.82,0.994,0.896
49,0.11295569929287588,0.0464,98.61,1.0,0.986,0.2491,91.98,0.994,0.898
