epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9693189145843615,1.5993,44.43,0.802,0.35,1.4669,53.23,0.835,0.392
1,1.9325255367063707,1.5861,39.7,0.829,0.338,1.4485,50.02,0.837,0.389
2,1.5062542427397971,1.1696,59.25,0.897,0.566,1.1544,60.15,0.878,0.536
3,1.3318499929161483,1.068,62.02,0.915,0.591,1.1615,58.36,0.89,0.541
4,1.092537907075711,0.8226,69.84,0.948,0.687,0.8147,68.01,0.937,0.637
5,0.9505989361407509,0.7778,71.2,0.956,0.707,0.7255,73.17,0.956,0.702
6,0.8577439138752585,0.7476,71.64,0.962,0.696,0.6795,74.44,0.962,0.723
7,0.7953126211533837,0.6214,76.27,0.973,0.752,0.62,77.07,0.964,0.715
8,0.7491936741870792,0.6097,77.59,0.977,0.768,0.5314,79.84,0.976,0.774
9,0.7037898701578913,0.6598,76.05,0.973,0.746,0.5915,78.05,0.974,0.744
10,0.6753631135362024,0.4603,84.25,0.983,0.836,0.465,83.94,0.98,0.805
11,0.6459855716074666,0.4694,83.16,0.982,0.823,0.5397,79.3,0.975,0.759
12,0.6227209678046592,0.3673,87.31,0.989,0.869,0.3822,86.06,0.985,0.827
13,0.6011486213160245,0.4722,83.7,0.984,0.827,0.4523,83.89,0.981,0.807
14,0.5862314756091778,0.389,86.06,0.989,0.857,0.4663,82.73,0.979,0.779
15,0.559891476319255,0.3408,88.67,0.99,0.884,0.468,81.48,0.981,0.791
16,0.5570699131403345,0.3477,87.52,0.991,0.872,0.3379,87.72,0.988,0.845
17,0.5381601921760053,0.287,90.44,0.992,0.902,0.3488,86.94,0.987,0.837
18,0.5280961909708584,0.3716,87.02,0.991,0.863,0.3383,88.08,0.989,0.848
19,0.511933286237033,0.2929,89.89,0.992,0.896,0.3539,86.67,0.987,0.837
20,0.5029884508433735,0.2926,90.15,0.992,0.9,0.3959,85.22,0.985,0.82
21,0.4938390754083151,0.3034,89.63,0.992,0.893,0.3652,86.42,0.986,0.821
22,0.48540085586168435,0.2631,91.16,0.994,0.909,0.3206,87.98,0.988,0.85
23,0.47232721110398623,0.258,91.41,0.993,0.913,0.3556,87.08,0.986,0.841
24,0.46511845002251284,0.2449,92.07,0.994,0.919,0.3089,88.47,0.989,0.857
25,0.45455680093243983,0.2525,91.45,0.994,0.912,0.2859,89.45,0.991,0.861
26,0.4415166693936539,0.2589,91.03,0.994,0.908,0.3161,88.79,0.989,0.858
27,0.4356034822147807,0.2463,91.97,0.994,0.918,0.3466,87.81,0.989,0.852
28,0.42710839583134563,0.2589,91.35,0.995,0.91,0.3816,85.9,0.987,0.831
29,0.41766682376677844,0.2454,91.84,0.994,0.917,0.3477,87.29,0.989,0.853
30,0.4123857506020095,0.2266,92.42,0.995,0.923,0.3287,87.95,0.989,0.857
31,0.4039664258078862,0.2396,92.12,0.995,0.918,0.3723,86.82,0.987,0.842
32,0.395189253713495,0.2478,91.58,0.995,0.912,0.3895,85.9,0.987,0.83
33,0.38353605178521954,0.2016,93.58,0.996,0.935,0.3378,87.46,0.989,0.84
34,0.3763982929743319,0.2124,93.19,0.996,0.931,0.3592,86.4,0.987,0.84
35,0.3734325143278286,0.2186,92.8,0.996,0.925,0.3363,87.54,0.989,0.851
36,0.3629512788200464,0.2048,93.31,0.996,0.932,0.3427,87.12,0.988,0.845
37,0.35538048558871804,0.1901,94.06,0.996,0.939,0.3377,87.54,0.989,0.849
38,0.34376561478795115,0.1924,93.77,0.996,0.936,0.3104,88.27,0.989,0.853
39,0.3407444563230306,0.1836,94.1,0.996,0.939,0.3101,88.71,0.99,0.86
40,0.33364509096816447,0.1823,94.19,0.997,0.94,0.336,88.19,0.989,0.856
41,0.33030874367576346,0.1803,94.27,0.997,0.942,0.3416,87.64,0.989,0.845
42,0.32394303298658794,0.1876,93.96,0.996,0.938,0.281,89.83,0.991,0.873
43,0.3158909533186198,0.1756,94.38,0.997,0.942,0.2984,89.25,0.99,0.862
44,0.3110807088327237,0.1715,94.51,0.997,0.944,0.3106,88.85,0.99,0.861
45,0.30901594131544075,0.1676,94.55,0.997,0.945,0.2838,89.88,0.991,0.872
46,0.3057105781303512,0.1631,94.76,0.997,0.946,0.2705,90.15,0.991,0.873
47,0.3015193137003102,0.163,94.73,0.997,0.946,0.2735,90.24,0.991,0.875
48,0.299465651500396,0.1617,94.8,0.997,0.947,0.278,89.91,0.991,0.871
49,0.3004599032543039,0.1626,94.79,0.997,0.947,0.2786,89.97,0.991,0.872
