epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9763985192903908,1.6143,40.03,0.784,0.301,1.4622,49.22,0.83,0.339
1,1.9892370021471413,1.7044,32.92,0.788,0.279,1.4703,51.71,0.834,0.396
2,1.569180471709125,1.1195,58.64,0.907,0.537,1.0691,59.13,0.914,0.493
3,1.241275197822988,1.05,60.12,0.937,0.544,1.0948,62.64,0.912,0.527
4,1.0008944316790522,0.7994,69.81,0.959,0.681,0.771,71.58,0.954,0.69
5,0.8850000373565168,0.6726,73.99,0.971,0.733,0.6729,72.98,0.965,0.682
6,0.7732753881844141,0.5327,81.76,0.978,0.811,0.4821,81.76,0.977,0.786
7,0.723453289398583,0.5464,79.88,0.98,0.786,0.571,78.35,0.973,0.76
8,0.6893489310604697,0.6115,77.85,0.975,0.763,0.5421,80.4,0.976,0.778
9,0.6574089531936953,0.4744,83.12,0.985,0.821,0.4658,83.66,0.981,0.801
10,0.6242742490917979,0.3986,86.52,0.988,0.859,0.4531,83.81,0.98,0.802
11,0.603140527789738,0.3992,85.49,0.988,0.844,0.3852,85.82,0.985,0.82
12,0.5793111943322697,0.3417,88.59,0.991,0.883,0.3202,89.55,0.99,0.867
13,0.5703883197786133,0.4024,85.79,0.988,0.847,0.4089,85.9,0.986,0.817
14,0.550817679493658,0.3103,89.48,0.992,0.892,0.3502,87.54,0.989,0.842
15,0.534086337493312,0.2893,90.55,0.992,0.904,0.3504,87.35,0.989,0.852
16,0.5227649281315478,0.2908,90.37,0.992,0.902,0.3151,88.5,0.991,0.862
17,0.5157340054123205,0.2738,91.05,0.993,0.908,0.3094,89.26,0.99,0.86
18,0.4991209548647686,0.3439,87.82,0.993,0.871,0.3477,87.78,0.989,0.852
19,0.49053422690078774,0.2812,91.04,0.994,0.907,0.3541,87.16,0.989,0.856
20,0.4758888216001586,0.2315,92.53,0.995,0.924,0.282,89.91,0.991,0.872
21,0.46241818026616155,0.2872,90.57,0.993,0.902,0.3953,85.08,0.985,0.817
22,0.45776978647837074,0.2502,91.87,0.994,0.917,0.2872,89.75,0.991,0.869
23,0.45075930820571053,0.2478,91.76,0.994,0.916,0.3084,88.3,0.99,0.847
24,0.4423023475380781,0.2559,91.51,0.994,0.913,0.3552,87.04,0.989,0.849
25,0.4299266140467377,0.3141,89.31,0.993,0.888,0.3689,86.75,0.99,0.84
26,0.42263383324855547,0.2264,92.6,0.995,0.924,0.2934,89.69,0.991,0.875
27,0.41214407072485987,0.2208,92.84,0.996,0.926,0.3332,88.54,0.991,0.862
28,0.40768214430005745,0.2245,92.82,0.996,0.925,0.3241,88.84,0.991,0.863
29,0.3999773739540021,0.1944,93.88,0.996,0.938,0.3183,88.79,0.99,0.865
30,0.39002866578358475,0.1938,93.8,0.996,0.937,0.2803,89.7,0.992,0.871
31,0.386245678856595,0.2172,92.82,0.995,0.927,0.3628,86.59,0.988,0.838
32,0.3731416949341374,0.1871,93.79,0.997,0.935,0.3254,88.19,0.989,0.854
33,0.36779669509352747,0.1771,94.38,0.997,0.942,0.2807,89.91,0.992,0.876
34,0.36503814497301657,0.1889,94.01,0.997,0.939,0.302,89.01,0.991,0.871
35,0.35365790718879325,0.1875,94.06,0.996,0.939,0.325,88.2,0.989,0.862
36,0.3438081939481065,0.1798,94.23,0.997,0.941,0.3174,88.44,0.99,0.856
37,0.3434426769026719,0.1695,94.5,0.997,0.944,0.2822,89.97,0.991,0.867
38,0.3305000024830996,0.1719,94.47,0.997,0.943,0.3017,88.88,0.991,0.862
39,0.32559736454892757,0.1659,94.6,0.997,0.944,0.2948,89.37,0.991,0.871
40,0.3236890328667497,0.1537,95.23,0.997,0.951,0.2816,90.1,0.992,0.877
41,0.316001769115207,0.1577,95.09,0.997,0.95,0.2954,89.39,0.991,0.868
42,0.3100594156638696,0.1547,95.04,0.998,0.949,0.2484,91.25,0.993,0.89
43,0.30378137806624067,0.1498,95.2,0.998,0.951,0.2725,90.4,0.992,0.879
44,0.2968190881460371,0.1453,95.39,0.998,0.953,0.2694,90.42,0.992,0.879
45,0.2927690679507871,0.1458,95.31,0.998,0.952,0.2607,90.6,0.992,0.882
46,0.29182125868335845,0.1405,95.5,0.998,0.954,0.2477,91.3,0.993,0.889
47,0.2897088507918047,0.1398,95.54,0.998,0.955,0.251,91.41,0.993,0.89
48,0.2897759594130046,0.1396,95.59,0.998,0.955,0.2578,91.0,0.993,0.885
49,0.28852738410661727,0.14,95.59,0.998,0.955,0.2558,90.98,0.993,0.885
