epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.5187516221008848,0.9614,64.03,0.932,0.629,1.6263,38.51,0.783,0.388
1,1.7032812856217867,0.9095,66.08,0.936,0.647,1.386,46.88,0.841,0.413
2,1.0527865133618797,0.6348,76.47,0.969,0.748,0.9345,70.98,0.897,0.626
3,0.8192007671974894,0.503,82.1,0.979,0.812,0.7426,75.51,0.931,0.674
4,0.6636307717010539,0.4729,83.3,0.983,0.824,0.7688,73.72,0.943,0.646
5,0.5762267221686661,0.3793,87.51,0.989,0.875,0.6376,76.79,0.952,0.703
6,0.5036145170422865,0.297,90.08,0.992,0.897,0.7069,77.12,0.948,0.704
7,0.4474284294258309,0.2651,90.88,0.994,0.906,0.7343,76.22,0.948,0.711
8,0.4093368110584102,0.2616,90.93,0.994,0.905,0.5466,82.14,0.965,0.763
9,0.3795450018672106,0.2276,92.79,0.995,0.925,0.5977,81.53,0.953,0.747
10,0.35542517561318626,0.2094,92.68,0.996,0.924,0.538,85.3,0.96,0.776
11,0.3336695325844604,0.1892,93.78,0.997,0.936,0.4968,83.72,0.97,0.777
12,0.32132557873016615,0.194,93.4,0.996,0.931,0.4147,86.55,0.98,0.802
13,0.3045794464193792,0.1849,93.7,0.997,0.936,0.4277,85.99,0.977,0.797
14,0.29551828262733304,0.1821,93.86,0.997,0.935,0.4001,87.34,0.984,0.814
15,0.2856118862240118,0.1752,94.22,0.997,0.941,0.3695,87.16,0.987,0.815
16,0.2817868949932223,0.1575,94.87,0.997,0.947,0.3889,87.21,0.984,0.814
17,0.2709255469796051,0.173,94.19,0.997,0.941,0.4088,87.38,0.977,0.814
18,0.26114175197631656,0.1672,94.48,0.997,0.942,0.4382,86.72,0.979,0.802
19,0.25012344722786256,0.1434,95.45,0.998,0.953,0.3856,87.56,0.985,0.815
20,0.24441451492542435,0.1616,94.36,0.998,0.942,0.4163,86.75,0.977,0.799
21,0.2377024576415084,0.1594,94.81,0.998,0.946,0.3921,87.13,0.984,0.804
22,0.2305787112764133,0.1383,95.35,0.998,0.953,0.3563,87.56,0.984,0.822
23,0.23067203959897428,0.1268,95.81,0.998,0.957,0.3529,87.45,0.983,0.818
24,0.2235914313611591,0.137,95.71,0.998,0.956,0.4333,84.32,0.987,0.798
25,0.21763460009649235,0.1299,95.67,0.998,0.955,0.4094,86.96,0.98,0.805
26,0.2091058869061718,0.1248,95.89,0.998,0.958,0.3889,86.34,0.983,0.806
27,0.20588636115246775,0.1154,96.42,0.999,0.963,0.3854,87.45,0.982,0.811
28,0.20365222595551963,0.1172,96.16,0.999,0.961,0.3515,88.57,0.984,0.825
29,0.1948456471338601,0.1208,96.21,0.998,0.961,0.3702,88.73,0.987,0.83
30,0.18939762214018452,0.1015,96.76,0.999,0.967,0.3375,88.3,0.987,0.826
31,0.18497461317554384,0.1248,96.02,0.998,0.96,0.4701,83.77,0.977,0.783
32,0.1792126318780325,0.1103,96.44,0.999,0.963,0.3322,89.4,0.986,0.838
33,0.17358723366933484,0.0928,97.08,0.999,0.97,0.3603,88.54,0.984,0.83
34,0.17311027844346338,0.0977,97.0,0.999,0.969,0.3506,88.55,0.985,0.835
35,0.1683070884156291,0.1028,96.69,0.999,0.966,0.3611,88.6,0.984,0.833
36,0.16210720188061184,0.0911,97.15,0.999,0.971,0.3329,88.58,0.986,0.829
37,0.15885286289517597,0.0887,97.27,0.999,0.972,0.3472,89.23,0.985,0.837
38,0.15311153395949298,0.0894,97.19,0.999,0.971,0.37,87.64,0.983,0.822
39,0.14984700896887368,0.0891,97.17,0.999,0.971,0.3338,88.41,0.985,0.827
40,0.14779547533841544,0.0844,97.41,0.999,0.974,0.3319,88.92,0.987,0.834
41,0.14061707063280982,0.0816,97.38,0.999,0.973,0.3664,87.04,0.985,0.814
42,0.13796763510633542,0.0822,97.46,0.999,0.974,0.3353,88.25,0.986,0.825
43,0.13227827487159588,0.0799,97.44,0.999,0.974,0.3246,89.4,0.986,0.842
44,0.13209589172194722,0.0785,97.58,0.999,0.975,0.322,88.88,0.987,0.835
45,0.12936863731125564,0.0758,97.5,0.999,0.975,0.3273,88.96,0.986,0.835
46,0.12882960333378726,0.0759,97.63,0.999,0.976,0.3277,88.73,0.986,0.831
47,0.12797815218487735,0.075,97.62,0.999,0.976,0.3113,89.5,0.987,0.841
48,0.12605877936981272,0.0739,97.61,0.999,0.976,0.3151,89.42,0.987,0.84
49,0.12728862684740816,0.0739,97.6,0.999,0.976,0.3169,89.37,0.987,0.839
