epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.4143649116694499,1.1619,52.31,0.896,0.469,2.3382,16.83,0.758,0.106
1,1.3365322068440828,0.6771,73.7,0.965,0.725,1.1948,57.65,0.918,0.527
2,0.825005495290962,0.4473,83.32,0.984,0.836,1.3331,53.5,0.93,0.495
3,0.6080359314843048,0.4264,83.67,0.988,0.827,1.26,58.03,0.951,0.538
4,0.513654726657936,0.3396,87.66,0.99,0.872,0.9769,67.12,0.95,0.556
5,0.4664497332607242,0.3514,87.34,0.991,0.873,0.9195,68.58,0.948,0.61
6,0.4510181522626671,0.3564,87.39,0.99,0.874,1.2263,57.75,0.935,0.537
7,0.5517953497042759,0.3666,87.2,0.989,0.869,0.8322,70.0,0.947,0.636
8,0.5370662111601383,0.4034,85.72,0.987,0.849,1.073,67.3,0.931,0.625
9,0.5822831184315167,0.4784,83.11,0.985,0.827,1.5539,50.7,0.936,0.435
10,0.8349605820161833,0.4649,84.27,0.982,0.839,0.7657,68.75,0.968,0.653
11,0.8805107401429321,0.5897,78.23,0.971,0.779,1.1389,60.62,0.931,0.53
12,0.7693226011536962,0.5765,79.28,0.975,0.793,0.7696,71.91,0.954,0.654
13,0.7813546674714672,0.5055,82.5,0.979,0.825,1.4875,51.33,0.93,0.446
14,0.789010422692882,0.7987,69.35,0.954,0.671,1.4466,46.57,0.867,0.43
15,0.8692656541042191,0.4464,83.83,0.982,0.836,1.144,62.2,0.951,0.537
16,0.6637666965131279,0.5062,82.15,0.978,0.819,1.3265,47.28,0.916,0.457
17,0.6351209229273762,0.3835,86.99,0.986,0.868,0.9746,68.14,0.934,0.614
18,0.6507081292944846,0.4651,83.12,0.982,0.827,1.1523,61.5,0.905,0.549
19,0.8032252938627339,0.8208,69.23,0.946,0.677,1.6244,40.45,0.866,0.386
20,0.8674754556134451,0.404,86.21,0.986,0.857,0.8399,67.8,0.958,0.617
21,0.7466975544854034,0.4962,82.42,0.977,0.823,1.2456,54.44,0.929,0.545
22,0.778768683080193,0.7381,72.95,0.971,0.685,1.6187,50.75,0.905,0.436
23,0.5963231282268496,0.3656,86.89,0.989,0.863,0.9245,68.66,0.951,0.618
24,0.6041320545210255,0.342,87.91,0.989,0.877,1.0025,67.46,0.953,0.607
25,0.5350284216215284,0.3383,87.79,0.99,0.878,0.8376,71.47,0.957,0.661
26,0.524750258639562,0.3085,89.42,0.991,0.892,0.7661,73.6,0.96,0.676
27,0.491212337994747,0.3269,88.72,0.99,0.887,1.0431,66.9,0.941,0.591
28,0.5001845904391446,0.3182,89.35,0.99,0.892,1.074,66.0,0.943,0.594
29,0.5740960319693997,0.41,85.39,0.986,0.851,1.3038,57.3,0.918,0.543
30,0.524774999069653,0.3003,89.47,0.991,0.894,1.2374,61.38,0.948,0.571
31,0.44442391438449885,0.2782,90.36,0.992,0.902,0.9623,68.34,0.96,0.631
32,0.41397978397582075,0.2985,90.09,0.991,0.899,1.4128,60.43,0.947,0.565
33,0.39224360036335404,0.2509,91.45,0.994,0.914,1.1511,63.32,0.962,0.603
34,0.35504388551917865,0.2214,92.51,0.995,0.924,1.1209,65.66,0.958,0.62
35,0.34065310624863604,0.2173,92.75,0.995,0.926,1.0222,69.02,0.962,0.64
36,0.3284352561123937,0.2118,92.8,0.995,0.927,1.1646,65.09,0.965,0.616
37,0.31103872491730206,0.2083,92.88,0.995,0.928,1.0162,67.6,0.962,0.639
38,0.30649716959154005,0.202,93.29,0.996,0.932,1.2265,64.19,0.965,0.602
39,0.29074671071210356,0.1931,93.44,0.996,0.933,0.9538,71.51,0.965,0.663
40,0.2789333344792291,0.1798,93.93,0.996,0.939,1.0234,69.84,0.956,0.645
41,0.2699934954909112,0.1786,94.1,0.997,0.941,1.1309,67.3,0.967,0.636
42,0.26470672773371495,0.1659,94.48,0.997,0.944,1.0062,69.86,0.962,0.653
43,0.25434242542699087,0.1659,94.3,0.997,0.942,1.1554,66.45,0.96,0.622
44,0.24989347985322527,0.1666,94.45,0.997,0.944,1.168,65.25,0.959,0.612
45,0.24354954932233414,0.1601,94.61,0.997,0.946,1.1051,67.05,0.96,0.63
46,0.2382844734749348,0.1602,94.65,0.997,0.946,1.1047,67.57,0.96,0.633
47,0.2401031523728542,0.1588,94.64,0.997,0.946,1.1071,67.35,0.961,0.633
48,0.23636725341244566,0.1586,94.64,0.997,0.946,1.1239,67.03,0.961,0.63
49,0.23906467887137434,0.1598,94.55,0.997,0.945,1.1396,67.03,0.96,0.63
