epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.070261179972038,0.8195,67.96,0.943,0.658,2.3516,28.55,0.719,0.232
1,0.8890903229764897,0.3679,86.48,0.987,0.861,1.7325,49.63,0.846,0.435
2,0.4765794562350074,0.2788,90.59,0.993,0.903,1.0762,70.0,0.909,0.619
3,0.34314445207873695,0.2379,92.16,0.994,0.919,1.7909,51.57,0.873,0.448
4,0.2958817572044812,0.2498,91.43,0.995,0.912,2.5048,44.88,0.854,0.359
5,0.28867428605076223,0.3505,88.03,0.989,0.879,1.7664,55.42,0.881,0.491
6,0.2919837228900237,0.2381,91.92,0.995,0.918,1.6976,62.55,0.905,0.526
7,0.3148819757022446,0.2582,91.22,0.995,0.91,2.0468,50.66,0.901,0.433
8,0.34474263409916445,0.505,81.69,0.983,0.806,2.2412,51.56,0.846,0.389
9,0.3636978144268338,0.2944,89.59,0.992,0.893,2.2371,45.22,0.846,0.384
10,0.3744581507907497,0.3204,88.48,0.99,0.882,1.944,50.67,0.85,0.426
11,0.3318707088557936,0.5734,80.4,0.978,0.801,3.6785,27.41,0.813,0.253
12,0.3867461575235394,0.325,88.44,0.991,0.882,2.3735,49.12,0.836,0.398
13,0.34898698705134634,0.25,91.5,0.994,0.914,1.8258,54.63,0.864,0.456
14,0.385931901901746,0.4048,85.87,0.986,0.859,1.9602,45.19,0.836,0.407
15,0.32748368050125864,0.2772,90.07,0.993,0.902,2.7657,43.93,0.796,0.372
16,0.3077091807298523,0.2471,91.73,0.994,0.917,2.1784,50.37,0.888,0.44
17,0.29398512915312813,0.2762,90.18,0.993,0.9,2.1749,48.14,0.824,0.4
18,0.35078929085954486,0.2688,90.73,0.993,0.906,2.4528,48.73,0.82,0.408
19,0.31077114830342983,0.2904,89.83,0.993,0.897,2.5492,49.76,0.827,0.399
20,0.26139764723589093,0.3981,86.07,0.989,0.858,3.2734,30.96,0.81,0.282
21,0.2702125187614839,0.2444,91.26,0.994,0.911,3.218,40.64,0.798,0.348
22,0.32568935181597153,0.3087,89.21,0.991,0.891,1.956,52.27,0.842,0.453
23,0.2996242483742803,0.2512,91.19,0.994,0.911,3.6854,34.12,0.747,0.289
24,0.24013288898004903,0.2289,91.89,0.995,0.918,2.957,39.11,0.85,0.35
25,0.24552791989106926,0.3037,89.49,0.992,0.894,3.028,32.29,0.813,0.277
26,0.2599763980657934,0.2288,91.96,0.995,0.919,1.9301,52.49,0.892,0.441
27,0.25912768817205223,0.2096,92.66,0.996,0.926,1.9124,51.73,0.863,0.462
28,0.24324639334524278,0.2327,91.69,0.995,0.916,1.7066,55.74,0.88,0.514
29,0.22702320734802767,0.1847,93.74,0.996,0.937,2.2827,49.27,0.849,0.432
30,0.23324990047396515,0.2204,92.55,0.995,0.924,2.4067,47.45,0.849,0.397
31,0.23889590596123564,0.2071,92.74,0.996,0.927,2.9795,40.33,0.821,0.361
32,0.22970969514023487,0.2003,92.99,0.996,0.929,2.2304,51.37,0.853,0.411
33,0.22327205335064756,0.189,93.5,0.996,0.934,2.9302,37.88,0.838,0.341
34,0.18249034988794396,0.1636,94.21,0.997,0.943,1.9651,52.71,0.901,0.452
35,0.16585650525504736,0.1375,95.31,0.998,0.953,2.0869,52.69,0.878,0.45
36,0.15149111332867643,0.142,95.01,0.998,0.949,2.7079,43.36,0.855,0.397
37,0.15088102602058176,0.1445,95.07,0.998,0.95,2.5757,48.63,0.847,0.443
38,0.13833128371470266,0.1236,95.88,0.998,0.958,2.3666,50.73,0.859,0.442
39,0.13061318798459692,0.1245,95.65,0.998,0.956,2.5847,50.06,0.86,0.429
40,0.12050722609106586,0.1139,96.22,0.998,0.962,2.4448,50.88,0.867,0.426
41,0.11780296330400508,0.1095,96.29,0.999,0.963,2.4364,51.76,0.872,0.434
42,0.11248736898247287,0.1056,96.35,0.999,0.963,2.6397,50.64,0.855,0.436
43,0.10922038423822081,0.1054,96.42,0.999,0.964,2.6951,48.84,0.849,0.422
44,0.10714630326993174,0.1026,96.44,0.999,0.964,2.8306,47.7,0.84,0.409
45,0.1032298172710182,0.0988,96.72,0.999,0.967,2.7746,49.28,0.845,0.427
46,0.09897641473108058,0.0975,96.79,0.999,0.968,2.7551,50.54,0.849,0.432
47,0.09558869710714697,0.0963,96.8,0.999,0.968,2.7879,49.23,0.848,0.42
48,0.09542067582122714,0.0949,96.89,0.999,0.969,2.7097,50.51,0.853,0.431
49,0.09555123451587966,0.0948,96.91,0.999,0.969,2.7041,50.53,0.853,0.434
