epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7214835427647872,1.3613,52.3,0.881,0.432,1.7411,38.43,0.764,0.254
1,1.5277261043624055,0.8743,68.54,0.943,0.676,1.2103,53.51,0.891,0.439
2,1.0057414585737874,0.5854,77.74,0.974,0.775,0.9149,64.03,0.952,0.576
3,0.7872763460488628,0.5849,78.73,0.975,0.782,0.8383,68.64,0.943,0.599
4,0.6488407204905859,0.6808,75.24,0.973,0.72,0.9437,64.28,0.953,0.565
5,0.6171104386984874,0.4459,84.1,0.986,0.841,1.0224,67.36,0.953,0.567
6,0.5996654072253824,0.4207,85.59,0.986,0.854,0.72,71.42,0.968,0.671
7,0.6003215971181719,0.4202,85.22,0.986,0.842,0.679,74.83,0.969,0.706
8,0.5863903975315231,0.3323,88.38,0.99,0.884,0.5561,79.95,0.971,0.739
9,0.6172452779124966,0.5081,81.02,0.983,0.798,0.9175,64.03,0.955,0.584
10,0.6199941549369757,0.4908,82.28,0.982,0.819,0.7998,70.61,0.953,0.661
11,0.6582297669897834,0.443,84.47,0.983,0.842,0.9021,69.82,0.95,0.606
12,0.6842683703779316,0.5972,77.48,0.97,0.763,0.8217,68.51,0.948,0.642
13,0.6826593194076483,0.5484,79.51,0.978,0.794,1.0889,63.22,0.919,0.572
14,0.7631090905168931,0.4875,83.02,0.984,0.827,0.8396,68.83,0.95,0.623
15,0.7303469759954823,0.5164,82.0,0.979,0.817,0.7479,73.03,0.957,0.683
16,0.6847186135731155,0.498,81.87,0.98,0.814,0.8385,68.15,0.948,0.642
17,0.6610401984598997,0.5485,80.86,0.978,0.808,0.8674,67.2,0.945,0.629
18,0.6690887778783016,0.4634,83.18,0.982,0.83,0.7092,73.0,0.957,0.683
19,0.6614467261506499,0.4299,84.65,0.985,0.846,0.8828,69.46,0.937,0.633
20,0.6217532792537332,0.5031,82.05,0.978,0.817,0.7271,72.4,0.954,0.688
21,0.6909199344168464,0.4925,82.18,0.979,0.821,0.8282,67.95,0.949,0.629
22,0.6471451297938395,0.4462,84.03,0.985,0.836,0.8435,66.97,0.949,0.623
23,0.5719409951631972,0.3459,87.46,0.989,0.871,0.8008,71.25,0.947,0.659
24,0.5460907765429655,0.305,89.27,0.991,0.892,0.5269,79.98,0.974,0.744
25,0.5171395621711402,0.368,87.01,0.989,0.869,0.6586,74.17,0.97,0.686
26,0.5122592084699398,0.328,88.81,0.991,0.888,0.6201,76.66,0.974,0.719
27,0.5063025447533285,0.3896,86.11,0.987,0.856,1.0814,62.53,0.936,0.593
28,0.4624452865381035,0.336,88.14,0.991,0.88,0.7259,75.05,0.965,0.693
29,0.4468165265141631,0.3195,88.96,0.99,0.887,0.5718,77.74,0.973,0.739
30,0.42242971341386976,0.3067,89.38,0.992,0.893,0.6797,76.33,0.974,0.716
31,0.41482658309044596,0.277,90.52,0.992,0.903,0.7632,75.19,0.971,0.705
32,0.3948490203713342,0.2451,91.56,0.994,0.915,0.785,75.97,0.968,0.711
33,0.3820129126953564,0.2708,90.57,0.993,0.904,0.5336,79.95,0.979,0.749
34,0.3623550021819931,0.2599,90.79,0.994,0.906,0.7785,73.84,0.966,0.692
35,0.3548298182247354,0.2405,91.57,0.994,0.915,0.5922,78.4,0.978,0.74
36,0.33705602318262884,0.2235,92.13,0.995,0.921,0.7395,76.39,0.975,0.713
37,0.3263675368947091,0.2234,92.36,0.995,0.923,0.7344,76.31,0.974,0.714
38,0.30843633820684696,0.2007,92.81,0.996,0.927,0.7148,76.6,0.976,0.713
39,0.30265236211766444,0.1997,93.07,0.996,0.93,0.8178,74.81,0.974,0.695
40,0.291015393763995,0.2024,93.02,0.996,0.93,0.7564,76.52,0.975,0.719
41,0.282828975388472,0.1851,93.61,0.997,0.935,0.7281,76.57,0.976,0.711
42,0.2768228893442977,0.1882,93.56,0.997,0.935,0.7863,76.3,0.975,0.715
43,0.2672612744269611,0.1859,93.42,0.997,0.934,0.807,75.34,0.974,0.708
44,0.26545958703370404,0.1785,93.84,0.997,0.937,0.7854,75.11,0.976,0.709
45,0.26331497203531884,0.1762,93.89,0.997,0.938,0.8554,75.04,0.973,0.699
46,0.2543057757530281,0.167,94.34,0.997,0.943,0.7802,76.91,0.976,0.719
47,0.2557182667924346,0.1711,94.25,0.997,0.942,0.778,76.5,0.977,0.715
48,0.25134174204129967,0.1729,94.1,0.997,0.94,0.8075,75.73,0.975,0.708
49,0.2497257240813413,0.1733,93.98,0.997,0.939,0.8058,75.95,0.975,0.711
