epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7848002833428143,1.1936,54.98,0.897,0.472,1.1962,54.05,0.876,0.416
1,1.534272245794749,0.6518,76.9,0.964,0.756,0.8269,75.41,0.926,0.636
2,0.7681331520886729,0.5366,81.24,0.979,0.812,0.7391,76.58,0.943,0.706
3,0.5931360631537952,0.525,81.45,0.987,0.774,0.8406,76.45,0.934,0.661
4,0.4116235881400623,0.323,89.62,0.991,0.895,0.7407,78.89,0.935,0.725
5,0.3522406363015552,0.2547,91.34,0.995,0.912,0.5911,83.05,0.952,0.779
6,0.32538229548673836,0.2603,91.2,0.994,0.91,0.6036,84.46,0.937,0.771
7,0.31723332394370074,0.241,91.79,0.995,0.916,0.6586,81.26,0.954,0.743
8,0.360283964615074,0.2655,91.17,0.994,0.91,0.5985,81.95,0.948,0.76
9,0.3868298835033993,0.2721,90.71,0.992,0.906,0.6215,83.31,0.938,0.76
10,0.4065651917200294,0.3539,87.75,0.991,0.874,0.8117,79.38,0.92,0.721
11,0.39268373907041204,0.3118,88.57,0.992,0.878,0.6718,83.64,0.929,0.76
12,0.4660196227135418,0.243,92.12,0.994,0.92,0.6166,84.73,0.932,0.782
13,0.39094175794999375,0.3531,87.74,0.991,0.867,0.6132,83.54,0.939,0.745
14,0.4421048681084201,0.3105,89.23,0.992,0.892,0.6637,80.33,0.932,0.73
15,0.4673107028436318,0.2858,90.07,0.992,0.898,0.6723,80.88,0.938,0.736
16,0.42023973049019736,0.3088,89.31,0.992,0.892,0.6995,81.26,0.924,0.754
17,0.45195478115150395,0.3078,89.86,0.992,0.896,0.6714,80.97,0.941,0.742
18,0.4285410764834864,0.2725,90.52,0.993,0.903,0.6686,79.98,0.935,0.74
19,0.3992116667812677,0.2975,89.54,0.992,0.895,0.6058,81.34,0.945,0.747
20,0.3782341321595281,0.2858,90.14,0.992,0.901,0.8969,73.9,0.92,0.672
21,0.4038232097522818,0.2419,91.72,0.994,0.916,0.7898,77.74,0.925,0.713
22,0.3712247994949492,0.2541,91.32,0.994,0.912,0.6955,79.73,0.935,0.733
23,0.3793315505809921,0.3429,88.39,0.991,0.882,0.7645,77.3,0.924,0.692
24,0.35889184667909746,0.2568,91.42,0.993,0.911,0.6318,82.94,0.933,0.752
25,0.4169304829707249,0.3197,88.53,0.992,0.881,0.8501,78.96,0.916,0.706
26,0.37962106620665076,0.3332,88.33,0.99,0.882,0.6371,80.69,0.945,0.749
27,0.3877686281427205,0.2767,90.21,0.993,0.901,0.8812,75.61,0.92,0.689
28,0.37511581311122977,0.2672,90.62,0.993,0.905,0.8514,78.2,0.916,0.705
29,0.3354186924884645,0.2562,90.94,0.994,0.909,0.792,79.82,0.92,0.739
30,0.34174402615578053,0.2358,91.93,0.995,0.917,0.5364,85.47,0.943,0.785
31,0.33036190260657305,0.2271,92.33,0.995,0.922,0.6821,79.29,0.932,0.721
32,0.2756277701194338,0.1918,93.37,0.996,0.933,0.6428,80.93,0.943,0.744
33,0.2507262042314886,0.1934,93.54,0.996,0.934,0.7746,81.45,0.926,0.75
34,0.24711386773654884,0.1744,94.25,0.997,0.942,0.6704,83.26,0.933,0.763
35,0.24310223586696514,0.1697,94.18,0.997,0.941,0.552,83.67,0.954,0.772
36,0.22450200827430478,0.1563,94.87,0.997,0.948,0.6061,82.88,0.948,0.758
37,0.21280938461958934,0.1626,94.59,0.997,0.944,0.5942,80.31,0.963,0.743
38,0.21034541029295475,0.1601,94.48,0.997,0.943,0.6443,84.0,0.944,0.778
39,0.20273659362209787,0.1461,95.07,0.998,0.95,0.5446,86.1,0.95,0.794
40,0.1857887828628794,0.14,95.36,0.998,0.953,0.5624,85.23,0.951,0.789
41,0.17755990218129947,0.1295,95.76,0.998,0.957,0.5985,85.25,0.944,0.788
42,0.16916860865174438,0.1341,95.51,0.998,0.954,0.638,85.77,0.939,0.793
43,0.164018090358741,0.1251,96.0,0.998,0.959,0.5708,86.49,0.95,0.804
44,0.16183593563681883,0.1218,96.11,0.998,0.96,0.5758,86.19,0.949,0.799
45,0.15784267598776508,0.1245,96.06,0.998,0.96,0.5701,85.62,0.952,0.794
46,0.15458225549982607,0.1198,96.15,0.998,0.961,0.5759,85.5,0.952,0.793
47,0.1524470340219333,0.1171,96.27,0.998,0.962,0.544,86.1,0.956,0.8
48,0.14922581521941602,0.117,96.31,0.998,0.962,0.5546,85.99,0.955,0.798
49,0.1478278648188646,0.1169,96.31,0.998,0.962,0.5543,85.99,0.955,0.798
