epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.511710168319791,1.0286,58.39,0.913,0.533,1.1142,55.93,0.884,0.458
1,3.073929651877359,2.0475,17.24,0.591,0.059,2.0445,21.33,0.642,0.062
2,2.072566172555356,2.0737,12.87,0.468,0.029,2.1346,5.35,0.439,0.013
3,2.070196842207276,2.0687,15.14,0.524,0.033,2.1011,9.35,0.488,0.021
4,2.0684783689437376,2.0681,16.01,0.516,0.034,2.108,19.47,0.527,0.041
5,2.0677611101485494,2.0685,16.01,0.523,0.034,2.0941,19.47,0.545,0.041
6,2.068049153973979,2.0666,16.01,0.535,0.034,2.1077,19.47,0.548,0.041
7,2.0676547224803636,2.0678,15.14,0.588,0.033,2.0935,9.35,0.6,0.021
8,2.0675789754450533,2.0675,16.01,0.579,0.034,2.0884,19.47,0.575,0.041
9,2.067200910233255,2.0659,16.01,0.578,0.034,2.0926,19.47,0.516,0.041
10,2.0673868186157662,2.0668,16.01,0.538,0.034,2.0926,19.47,0.563,0.041
11,2.0674205629629046,2.0661,16.01,0.558,0.034,2.0955,19.47,0.512,0.041
12,2.0674044701360885,2.0665,16.01,0.614,0.034,2.0927,19.47,0.599,0.041
13,2.067273703954553,2.0667,16.01,0.611,0.034,2.0955,19.47,0.598,0.041
14,2.0670298367845543,2.0673,16.01,0.596,0.034,2.0821,19.47,0.571,0.041
15,2.067101618722348,2.0669,16.01,0.623,0.034,2.0811,19.47,0.579,0.041
16,2.0672083482092853,2.0667,16.01,0.616,0.034,2.0937,19.47,0.613,0.041
17,2.066995600218414,2.0694,16.01,0.624,0.034,2.0728,19.47,0.607,0.041
18,2.066907438326053,2.0665,15.14,0.626,0.033,2.0998,9.35,0.61,0.021
19,2.0666817012226284,2.0673,16.01,0.633,0.034,2.0855,19.47,0.607,0.041
20,2.0665880702302446,2.0683,16.01,0.553,0.034,2.0927,19.47,0.536,0.041
21,1.8784031353116464,2.088,15.13,0.493,0.037,2.0662,10.3,0.384,0.033
22,1.991226547935103,1.7316,28.77,0.736,0.22,1.942,27.16,0.662,0.187
23,1.5356009446591887,1.3539,42.98,0.842,0.367,1.6526,36.16,0.784,0.279
24,1.285807315807616,0.9879,59.95,0.919,0.551,1.207,55.35,0.869,0.488
25,1.0478965375158522,0.8724,65.14,0.934,0.614,1.0955,61.85,0.892,0.538
26,0.9503108290788521,0.8116,69.19,0.943,0.676,0.9954,62.73,0.915,0.53
27,0.8887893123865982,0.7214,72.28,0.955,0.699,1.0233,64.55,0.913,0.575
28,0.8246348653002025,0.6864,73.85,0.962,0.719,0.9809,66.79,0.928,0.597
29,0.7667950139143989,0.5826,79.25,0.97,0.788,0.9735,66.24,0.927,0.607
30,0.7181214996777128,0.6154,77.67,0.97,0.762,0.9989,67.36,0.924,0.583
31,0.7025822031989319,0.5935,78.32,0.971,0.77,0.9432,68.21,0.932,0.599
32,0.6641240486321056,0.5322,80.96,0.975,0.806,0.8125,71.97,0.946,0.634
33,0.6317990280714514,0.4956,82.5,0.978,0.823,0.787,74.15,0.944,0.657
34,0.6161572188138962,0.5281,81.31,0.978,0.806,0.9204,71.31,0.929,0.642
35,0.5907070767601759,0.4749,82.59,0.981,0.82,0.8578,71.37,0.936,0.633
36,0.5699534381482764,0.4438,84.24,0.983,0.837,0.8797,71.83,0.939,0.656
37,0.5533864164331054,0.473,82.99,0.981,0.824,0.9738,68.96,0.927,0.63
38,0.5407751027401203,0.4679,82.68,0.982,0.818,0.7638,74.91,0.943,0.68
39,0.5213389496008555,0.4233,84.98,0.984,0.845,0.8922,72.94,0.935,0.665
40,0.511450039336331,0.404,86.02,0.985,0.857,0.83,74.83,0.939,0.679
41,0.4929125985684788,0.4057,85.64,0.985,0.853,0.8011,74.34,0.942,0.676
42,0.48487056428599956,0.4682,83.1,0.983,0.825,0.9188,71.37,0.928,0.643
43,0.4736439973436376,0.4029,85.91,0.985,0.856,0.8387,74.06,0.942,0.67
44,0.46787465959253277,0.398,85.93,0.986,0.855,0.7799,76.14,0.943,0.689
45,0.4595537808687029,0.4076,85.39,0.986,0.848,0.8521,73.87,0.936,0.668
46,0.4527490645326594,0.367,87.3,0.987,0.87,0.7536,76.41,0.944,0.693
47,0.44598431660923904,0.3703,87.17,0.987,0.869,0.7881,76.49,0.942,0.692
48,0.44551539816309477,0.3651,87.43,0.987,0.871,0.8074,76.06,0.939,0.69
49,0.4444813575582265,0.3677,87.28,0.987,0.87,0.8051,75.94,0.94,0.688
