epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7834931346152325,1.1858,58.62,0.909,0.512,1.7478,34.42,0.766,0.285
1,1.2712216904695086,0.5526,78.4,0.981,0.757,0.6776,76.14,0.954,0.655
2,0.821174784529981,0.3911,86.85,0.988,0.864,0.6109,77.89,0.961,0.676
3,0.6178058733185419,0.5602,80.07,0.984,0.791,0.7341,78.24,0.952,0.665
4,0.5246184918520261,0.366,87.63,0.991,0.87,0.602,78.76,0.977,0.735
5,0.4709657061871865,0.2572,91.74,0.994,0.915,0.4573,83.15,0.98,0.761
6,0.4587364839992935,0.2679,91.14,0.994,0.91,0.4816,82.77,0.978,0.769
7,0.46200522909061514,0.2736,90.66,0.993,0.906,0.4791,82.68,0.982,0.766
8,0.4772397620643643,0.2545,91.9,0.994,0.917,0.4309,85.33,0.983,0.781
9,0.4896280422485132,0.3243,88.17,0.992,0.877,0.4719,84.81,0.978,0.788
10,0.48713568238903293,0.263,91.08,0.994,0.907,0.5191,81.11,0.977,0.752
11,0.4849685166808341,0.2432,91.92,0.994,0.917,0.47,83.56,0.976,0.771
12,0.4496205095335734,0.2514,91.46,0.994,0.913,0.6676,76.11,0.963,0.719
13,0.44227193649724234,0.2409,92.03,0.994,0.919,0.5202,82.61,0.969,0.757
14,0.42510970226294703,0.2246,92.46,0.995,0.922,0.4758,82.36,0.978,0.757
15,0.44704011318494946,0.2803,90.21,0.993,0.9,0.4238,85.93,0.981,0.802
16,0.45948470925255647,0.2914,90.34,0.993,0.903,0.5871,80.01,0.977,0.767
17,0.4607463839242784,0.24,91.85,0.995,0.917,0.5091,82.91,0.977,0.768
18,0.4306908642216552,0.2324,91.85,0.994,0.917,0.4717,82.8,0.976,0.756
19,0.435537264287043,0.2099,93.11,0.996,0.93,0.3685,86.78,0.984,0.81
20,0.405977957754684,0.2237,92.59,0.995,0.925,0.4049,85.71,0.985,0.799
21,0.40044170575176213,0.232,92.22,0.995,0.921,0.4594,83.56,0.974,0.771
22,0.39142671549062935,0.1919,93.39,0.996,0.932,0.3528,86.93,0.987,0.823
23,0.37461194052970664,0.2326,92.24,0.995,0.921,0.3132,88.49,0.989,0.839
24,0.37293567953349877,0.1835,93.87,0.997,0.938,0.3483,88.06,0.987,0.826
25,0.3264959107200019,0.1843,93.96,0.997,0.938,0.3692,86.26,0.987,0.822
26,0.33431916775034487,0.1818,94.1,0.997,0.939,0.4115,85.95,0.982,0.798
27,0.31913110860388916,0.1656,94.38,0.997,0.942,0.3824,86.52,0.984,0.81
28,0.29965681770293834,0.1463,95.13,0.998,0.95,0.3853,86.17,0.985,0.8
29,0.27735497968659983,0.1416,95.31,0.998,0.952,0.3629,87.78,0.988,0.829
30,0.2807190269231796,0.1526,94.96,0.998,0.949,0.3649,87.37,0.985,0.822
31,0.2685795579668429,0.1372,95.52,0.998,0.954,0.3528,87.45,0.988,0.833
32,0.24890468757358386,0.1281,95.83,0.998,0.957,0.399,86.44,0.983,0.809
33,0.24047013452584795,0.1112,96.53,0.999,0.965,0.3492,88.05,0.987,0.83
34,0.21816541297401457,0.1125,96.44,0.999,0.964,0.3565,87.48,0.988,0.835
35,0.2114119252069391,0.1067,96.56,0.999,0.965,0.3534,88.47,0.988,0.834
36,0.20824042873845683,0.1087,96.46,0.999,0.964,0.2992,89.37,0.991,0.859
37,0.1973937825440503,0.1029,96.8,0.999,0.967,0.3478,88.3,0.989,0.84
38,0.1867161284354951,0.1018,96.65,0.999,0.966,0.3379,88.17,0.99,0.842
39,0.18315110864827958,0.0974,96.97,0.999,0.969,0.3173,89.4,0.99,0.852
40,0.17619426612802547,0.0915,97.06,0.999,0.97,0.3537,88.84,0.989,0.851
41,0.1694899297339453,0.0928,97.06,0.999,0.97,0.3259,88.9,0.99,0.85
42,0.16359954992001005,0.0881,97.09,0.999,0.97,0.3271,88.73,0.99,0.847
43,0.15958945281642803,0.0837,97.3,0.999,0.973,0.335,88.57,0.989,0.843
44,0.15862351366513067,0.0848,97.27,0.999,0.972,0.3503,88.27,0.989,0.842
45,0.15216282438888823,0.0809,97.34,0.999,0.973,0.319,89.28,0.99,0.853
46,0.1492071387043102,0.0807,97.44,0.999,0.974,0.3231,89.18,0.99,0.855
47,0.14841182310160972,0.0793,97.46,0.999,0.974,0.3173,89.33,0.99,0.854
48,0.14785990408427424,0.0791,97.46,0.999,0.974,0.3159,89.2,0.99,0.852
49,0.14740042313397358,0.079,97.47,0.999,0.974,0.3195,89.26,0.99,0.853
