epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7373514792902007,1.1774,55.25,0.911,0.487,1.9764,26.92,0.72,0.216
1,1.1926880011455618,0.4551,83.61,0.983,0.831,0.5985,76.85,0.972,0.699
2,0.7175711916505004,0.3411,88.01,0.99,0.879,0.4586,82.74,0.984,0.766
3,0.549925771977404,0.2967,89.87,0.993,0.899,0.4508,83.72,0.986,0.787
4,0.46261593313525906,0.2817,90.76,0.993,0.906,0.5239,81.59,0.983,0.75
5,0.4158729827232498,0.2805,90.64,0.993,0.904,0.5334,81.18,0.979,0.754
6,0.4200068716522601,0.2791,90.01,0.994,0.898,0.4384,83.28,0.985,0.781
7,0.43849598289393693,0.3728,87.07,0.989,0.862,0.8325,71.36,0.958,0.667
8,0.4169178450707909,0.2486,91.47,0.994,0.914,0.477,82.66,0.977,0.775
9,0.43685968359597294,0.2395,91.97,0.995,0.918,0.5142,81.4,0.981,0.767
10,0.454844737653252,0.3581,87.29,0.99,0.874,0.6999,75.83,0.966,0.683
11,0.4800160964615911,0.2736,90.71,0.993,0.905,0.456,83.26,0.981,0.781
12,0.47987056721886284,0.3996,85.8,0.987,0.858,0.501,83.17,0.973,0.772
13,0.495912708824487,0.3001,89.94,0.992,0.898,0.4138,86.37,0.983,0.81
14,0.4722089651677248,0.3418,88.56,0.991,0.884,0.7193,75.26,0.965,0.691
15,0.4689669266021509,0.333,88.39,0.989,0.883,0.7052,74.12,0.967,0.702
16,0.49818143119914926,0.5051,82.68,0.981,0.822,1.0602,64.33,0.927,0.587
17,0.482149196185654,0.3417,87.96,0.991,0.875,0.5239,82.95,0.978,0.769
18,0.44527299133993736,0.251,91.46,0.994,0.913,0.3944,86.66,0.984,0.819
19,0.42672750010764854,0.2396,91.76,0.994,0.917,0.3949,86.44,0.985,0.814
20,0.42037759710558886,0.3993,87.11,0.988,0.867,1.0973,64.69,0.938,0.625
21,0.44897767987182674,0.2637,91.1,0.994,0.91,0.4684,83.33,0.98,0.781
22,0.4053206784690884,0.2154,92.6,0.996,0.924,0.4729,83.03,0.981,0.786
23,0.36767895015881213,0.215,92.49,0.995,0.923,0.5711,79.52,0.978,0.734
24,0.3582753189604917,0.1927,93.72,0.996,0.935,0.4386,84.53,0.981,0.791
25,0.35838704700950236,0.2056,93.04,0.996,0.929,0.5384,81.15,0.975,0.767
26,0.34512972585160095,0.1974,93.67,0.996,0.935,0.4454,84.37,0.982,0.793
27,0.3261881747262941,0.1989,93.26,0.996,0.931,0.5512,81.38,0.979,0.77
28,0.3061111520091407,0.1919,93.79,0.996,0.936,0.4563,84.4,0.981,0.797
29,0.2833645661100209,0.1619,94.58,0.997,0.945,0.3065,89.14,0.99,0.848
30,0.2760338561354781,0.1673,94.4,0.997,0.943,0.3527,87.37,0.988,0.824
31,0.265616441051737,0.1589,94.67,0.997,0.946,0.5175,81.95,0.979,0.766
32,0.24955374892238233,0.148,95.39,0.998,0.953,0.4012,87.19,0.986,0.824
33,0.22936617116705119,0.1442,95.29,0.998,0.952,0.3523,88.03,0.987,0.825
34,0.22339531039591315,0.1276,95.87,0.998,0.958,0.4255,86.5,0.984,0.804
35,0.21621733978926708,0.1175,96.05,0.998,0.96,0.3643,88.03,0.986,0.827
36,0.2063162756695164,0.1151,96.34,0.999,0.963,0.3083,89.14,0.99,0.844
37,0.19388717879279913,0.1099,96.37,0.999,0.963,0.2996,90.18,0.99,0.854
38,0.18670902653134985,0.1082,96.39,0.999,0.963,0.3355,88.82,0.99,0.836
39,0.17790182674531457,0.1043,96.44,0.999,0.964,0.3333,89.12,0.989,0.839
40,0.1729948766154351,0.0952,96.94,0.999,0.969,0.3781,88.63,0.986,0.837
41,0.1629863831100704,0.0938,96.88,0.999,0.968,0.2931,90.48,0.991,0.861
42,0.15809478648274922,0.0887,97.14,0.999,0.971,0.3462,89.33,0.988,0.841
43,0.15622074114118548,0.0846,97.24,0.999,0.972,0.3105,89.83,0.99,0.854
44,0.15184661794266255,0.0828,97.25,0.999,0.972,0.3205,89.55,0.989,0.847
45,0.1494380239424088,0.0839,97.27,0.999,0.972,0.2921,90.02,0.991,0.857
46,0.14760447711610108,0.0824,97.25,0.999,0.972,0.3016,89.93,0.99,0.853
47,0.1446515506120037,0.0824,97.31,0.999,0.973,0.2881,90.15,0.991,0.858
48,0.14353794958308447,0.0805,97.38,0.999,0.973,0.2777,90.24,0.991,0.859
49,0.14494905824498308,0.0804,97.39,0.999,0.973,0.2855,90.15,0.991,0.858
