epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8001541508187493,1.2119,59.19,0.912,0.493,1.8918,36.87,0.719,0.299
1,1.365460609789375,0.562,79.9,0.977,0.787,0.8603,69.3,0.924,0.618
2,0.8326973042470945,0.3881,86.54,0.988,0.863,0.6089,78.51,0.963,0.699
3,0.6010381615847993,0.3268,88.55,0.992,0.879,0.4604,85.03,0.98,0.768
4,0.49156945279176284,0.3091,89.7,0.992,0.895,0.5738,79.5,0.968,0.735
5,0.4397760250156732,0.2557,91.41,0.994,0.913,0.3933,87.19,0.982,0.817
6,0.42231511683772793,0.2784,90.6,0.994,0.904,0.5034,81.97,0.976,0.768
7,0.41813874845024496,0.2746,90.82,0.994,0.906,0.5127,80.93,0.979,0.764
8,0.4367236878803308,0.2245,92.63,0.995,0.925,0.4009,86.82,0.982,0.807
9,0.42948143945323475,0.28,90.74,0.993,0.904,0.6519,79.16,0.96,0.722
10,0.4455622992069601,0.2425,91.9,0.994,0.916,0.4733,84.08,0.979,0.776
11,0.47620685452179945,0.3985,86.04,0.989,0.859,0.4791,84.38,0.973,0.776
12,0.4816809092923034,0.2953,89.94,0.993,0.897,0.4417,84.35,0.979,0.791
13,0.4559773671970093,0.2868,90.22,0.993,0.901,0.5506,82.98,0.956,0.762
14,0.45841807555809294,0.2584,91.56,0.994,0.915,0.5469,83.55,0.965,0.765
15,0.4798432648610726,0.3615,87.77,0.989,0.873,0.492,83.09,0.976,0.764
16,0.4864908180219664,0.2842,90.28,0.992,0.9,0.5074,82.71,0.971,0.771
17,0.4463721365808583,0.2742,90.52,0.994,0.905,0.7176,77.15,0.957,0.718
18,0.46502236496630334,0.2451,91.55,0.995,0.914,0.4356,84.83,0.974,0.79
19,0.44716779469586104,0.2171,92.59,0.996,0.925,0.4667,83.33,0.976,0.768
20,0.40543004119996545,0.2511,91.81,0.994,0.917,0.5232,81.95,0.973,0.756
21,0.4379613800443334,0.2692,90.52,0.993,0.903,0.5028,81.86,0.975,0.776
22,0.40333037324946563,0.2026,93.17,0.996,0.93,0.3984,84.92,0.984,0.787
23,0.37976272672200373,0.2065,93.03,0.996,0.928,0.4584,82.91,0.983,0.779
24,0.35757374291797334,0.2107,93.05,0.996,0.928,0.4194,84.49,0.983,0.793
25,0.357048635645736,0.2271,92.51,0.996,0.924,0.5209,81.65,0.977,0.76
26,0.3372773962269584,0.1847,94.07,0.997,0.94,0.4289,85.47,0.985,0.805
27,0.3235043969085748,0.1787,93.78,0.997,0.936,0.3902,85.65,0.984,0.804
28,0.3206890696029869,0.1944,93.11,0.997,0.93,0.4525,84.84,0.979,0.78
29,0.2991365460183123,0.1601,94.75,0.997,0.946,0.3738,88.14,0.986,0.84
30,0.28980044827615614,0.1578,94.72,0.997,0.946,0.3027,89.39,0.99,0.853
31,0.2701947073713481,0.1583,94.61,0.998,0.945,0.3614,88.27,0.988,0.841
32,0.26135056942915746,0.1479,95.02,0.998,0.949,0.3442,88.36,0.987,0.846
33,0.24654630619844944,0.1459,95.17,0.998,0.95,0.3471,88.54,0.989,0.843
34,0.22938117031142008,0.1198,96.11,0.998,0.96,0.2958,90.59,0.991,0.865
35,0.21982722059428264,0.1123,96.44,0.999,0.964,0.3408,88.06,0.988,0.834
36,0.20961828561995527,0.1115,96.35,0.999,0.963,0.348,87.81,0.988,0.832
37,0.19809829106004975,0.1127,96.44,0.999,0.964,0.3431,88.25,0.988,0.837
38,0.19159198193241367,0.1049,96.59,0.999,0.965,0.2913,90.46,0.99,0.857
39,0.18175190762221385,0.106,96.63,0.999,0.966,0.3111,89.69,0.99,0.853
40,0.17799612901193632,0.0962,96.93,0.999,0.969,0.3233,89.53,0.99,0.852
41,0.17421272348800151,0.0946,96.93,0.999,0.969,0.2768,90.48,0.992,0.869
42,0.16715407510884375,0.0922,97.1,0.999,0.97,0.2974,89.99,0.991,0.858
43,0.1595729168156068,0.0894,97.01,0.999,0.97,0.2875,90.64,0.991,0.864
44,0.1579005445936601,0.0867,97.31,0.999,0.972,0.2661,91.11,0.992,0.873
45,0.15597333716188402,0.085,97.29,0.999,0.972,0.2787,90.65,0.992,0.868
46,0.1511736819319588,0.0837,97.37,0.999,0.973,0.2942,90.48,0.991,0.863
47,0.14817576480211972,0.0825,97.35,0.999,0.973,0.2824,90.7,0.991,0.867
48,0.14673898422675166,0.0831,97.32,0.999,0.973,0.2839,90.79,0.991,0.868
49,0.1474293939930072,0.0834,97.33,0.999,0.973,0.2822,90.86,0.991,0.869
