epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.057667883180028,1.9228,29.6,0.672,0.187,2.0327,21.4,0.648,0.171
1,1.6749223908074469,1.0091,63.08,0.924,0.639,1.1323,57.43,0.893,0.54
2,1.197830094279145,0.7921,70.43,0.956,0.705,0.9635,62.42,0.946,0.57
3,0.9567008601675788,0.5826,77.39,0.978,0.751,0.5808,79.43,0.972,0.742
4,0.8603956828014456,0.5629,79.18,0.975,0.778,0.5127,81.04,0.977,0.767
5,0.8591807368847963,0.5456,80.93,0.977,0.801,0.7387,73.76,0.961,0.688
6,0.9210152454513441,0.6788,75.61,0.965,0.753,0.8355,68.45,0.945,0.661
7,0.8715567987599819,0.5598,79.7,0.975,0.791,0.5672,78.92,0.974,0.753
8,0.8964261056707917,0.5327,80.81,0.977,0.805,0.6072,75.59,0.966,0.711
9,0.9094298571991406,0.6424,75.97,0.969,0.755,0.7714,72.05,0.956,0.666
10,0.9218570851593566,0.7094,75.36,0.963,0.751,0.7039,71.94,0.96,0.682
11,0.9427165414789598,0.798,70.49,0.949,0.695,0.7507,72.32,0.951,0.663
12,0.9889534750430704,0.5583,79.77,0.973,0.789,0.6444,76.96,0.963,0.722
13,0.9439524485052918,0.7695,72.46,0.96,0.713,0.721,72.24,0.961,0.682
14,0.9946050412363285,0.674,75.44,0.964,0.747,0.6665,75.49,0.958,0.712
15,0.9339741206855225,0.4901,82.79,0.98,0.827,0.5704,78.57,0.967,0.727
16,1.2031951096418092,1.0125,64.05,0.923,0.635,1.1148,58.23,0.889,0.514
17,1.458290825644843,0.8526,70.68,0.947,0.702,0.9243,67.33,0.934,0.604
18,1.0785893857907907,0.6111,78.12,0.973,0.784,0.6274,75.64,0.963,0.714
19,0.9543591128836433,0.4995,81.99,0.979,0.818,0.5281,79.31,0.97,0.748
20,1.1609042102484395,0.8074,71.0,0.956,0.689,1.0119,65.67,0.93,0.598
21,1.0233303797330788,0.6049,77.24,0.97,0.769,0.7124,71.7,0.961,0.677
22,0.9342407961543515,0.5029,82.12,0.979,0.817,0.6301,76.9,0.966,0.72
23,0.9674451544130449,0.692,75.39,0.964,0.752,0.7706,72.38,0.946,0.682
24,0.8913450742797028,0.4986,82.83,0.98,0.826,0.5959,77.72,0.962,0.725
25,0.8277754071805117,0.5519,80.71,0.976,0.806,0.7467,73.8,0.945,0.69
26,0.8680032495972064,0.539,80.44,0.976,0.799,0.5836,79.36,0.968,0.74
27,0.8508816781661493,0.4007,85.87,0.985,0.857,0.5468,80.47,0.972,0.768
28,0.8051616892540198,0.4247,84.69,0.984,0.843,0.6719,75.87,0.959,0.709
29,0.7478478919687889,0.3974,85.87,0.985,0.857,0.4883,81.59,0.975,0.777
30,0.7255213912442434,0.3919,86.16,0.986,0.858,0.5533,80.29,0.971,0.759
31,0.7285923640505015,0.4204,84.77,0.984,0.84,0.5193,80.67,0.974,0.758
32,0.6806774885534382,0.4062,84.67,0.986,0.847,0.5357,80.53,0.973,0.759
33,0.6482139705754012,0.3543,86.73,0.988,0.865,0.4708,82.76,0.977,0.781
34,0.6197120774564125,0.3251,88.68,0.99,0.884,0.5137,81.79,0.974,0.777
35,0.5905027623228032,0.3211,88.66,0.99,0.885,0.466,83.09,0.978,0.786
36,0.5696029026302503,0.2884,89.96,0.992,0.899,0.4277,84.1,0.98,0.804
37,0.5471814071102966,0.2888,90.16,0.992,0.901,0.4924,81.37,0.978,0.773
38,0.5292890558568694,0.2709,90.41,0.993,0.902,0.3874,86.18,0.984,0.823
39,0.5130604651334475,0.2618,90.92,0.993,0.907,0.4158,85.09,0.982,0.815
40,0.4989420299907382,0.242,91.7,0.994,0.916,0.3717,86.26,0.985,0.828
41,0.4907779549952034,0.2507,91.6,0.994,0.915,0.391,85.84,0.983,0.824
42,0.4839600371799881,0.2305,92.28,0.994,0.923,0.365,86.74,0.985,0.836
43,0.46701170086003035,0.2372,91.85,0.994,0.917,0.373,86.42,0.984,0.83
44,0.46220673159729664,0.235,91.94,0.994,0.918,0.3692,86.42,0.984,0.831
45,0.459181602695863,0.2244,92.44,0.995,0.924,0.3518,86.97,0.986,0.836
46,0.4549834856884085,0.2234,92.45,0.995,0.924,0.3606,86.93,0.985,0.836
47,0.4483719648217126,0.2249,92.35,0.995,0.923,0.3585,86.93,0.985,0.837
48,0.4474811864842614,0.2234,92.47,0.995,0.924,0.3581,86.75,0.985,0.835
49,0.44837267621815635,0.2234,92.41,0.995,0.923,0.3609,86.82,0.985,0.836
