epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8596668260560618,1.3058,56.32,0.904,0.455,2.0323,22.63,0.681,0.174
1,1.5402060592774864,0.6199,77.36,0.971,0.768,0.8002,71.86,0.943,0.628
2,0.9542848086185592,0.4331,85.02,0.985,0.847,0.6522,75.68,0.956,0.695
3,0.7335930196501368,0.5015,82.14,0.985,0.809,0.6647,76.9,0.966,0.678
4,0.6284840212022658,0.332,88.26,0.991,0.882,0.7174,75.16,0.949,0.687
5,0.595732076776971,0.3198,88.54,0.992,0.879,0.4718,83.34,0.98,0.759
6,0.5896525095692642,0.3684,87.82,0.989,0.874,0.5316,81.02,0.964,0.745
7,0.6001714693127777,0.3491,88.34,0.99,0.878,0.7257,74.39,0.963,0.683
8,0.6190317549722658,0.3268,88.8,0.992,0.888,0.5547,78.79,0.97,0.729
9,0.6085815819904958,0.37,87.51,0.989,0.875,0.6647,75.89,0.954,0.695
10,0.5817993146052464,0.3643,87.17,0.989,0.87,0.6703,76.09,0.967,0.719
11,0.6049139386029552,0.3086,89.21,0.991,0.891,0.468,82.11,0.975,0.767
12,0.6156643723412384,0.4012,85.53,0.989,0.852,0.5333,79.39,0.971,0.737
13,0.6147799560491988,0.367,87.7,0.99,0.874,0.6865,76.44,0.966,0.703
14,0.5907777942341866,0.3618,86.79,0.99,0.868,0.5735,78.43,0.969,0.728
15,0.5704357645494474,0.2633,91.22,0.994,0.91,0.4009,85.41,0.981,0.803
16,0.5807379945147809,0.3046,89.73,0.993,0.895,0.5393,78.83,0.975,0.713
17,0.5666821384601456,0.275,90.68,0.994,0.905,0.5146,81.67,0.974,0.749
18,0.625942272248028,0.2754,90.51,0.994,0.903,0.4783,81.27,0.976,0.747
19,0.6088375387003095,0.2376,92.05,0.995,0.919,0.3789,86.28,0.984,0.82
20,0.571813067086309,0.2322,92.25,0.995,0.921,0.4248,84.87,0.981,0.798
21,0.5533079123325485,0.2755,90.61,0.994,0.905,0.5043,82.96,0.972,0.777
22,0.504612231640507,0.2285,92.3,0.995,0.922,0.4867,82.95,0.974,0.78
23,0.48374122531293967,0.2256,92.48,0.995,0.923,0.4601,82.47,0.978,0.765
24,0.4555898765437037,0.193,93.44,0.996,0.933,0.4117,85.09,0.98,0.795
25,0.46237904412283315,0.2075,93.21,0.996,0.931,0.3697,86.01,0.986,0.817
26,0.448146296276463,0.2231,92.43,0.995,0.924,0.4132,85.92,0.984,0.807
27,0.41607488531002895,0.219,92.49,0.996,0.924,0.4322,84.71,0.982,0.773
28,0.4006083178863251,0.1904,93.63,0.997,0.934,0.3645,87.51,0.986,0.831
29,0.3858053471973474,0.1851,93.74,0.997,0.936,0.4098,85.17,0.981,0.799
30,0.3858261929570342,0.165,94.67,0.997,0.946,0.3501,87.73,0.987,0.839
31,0.34972885572653023,0.1598,94.71,0.997,0.946,0.3644,87.23,0.987,0.829
32,0.35883940381111856,0.1765,94.25,0.997,0.941,0.3858,86.2,0.984,0.814
33,0.3342205354635664,0.1544,94.94,0.997,0.948,0.2999,88.99,0.989,0.846
34,0.31676922084616244,0.1408,95.46,0.998,0.954,0.3751,86.36,0.985,0.818
35,0.3001438206691536,0.133,95.8,0.998,0.957,0.2836,89.61,0.991,0.859
36,0.2965330547994847,0.1313,95.83,0.998,0.958,0.2914,89.58,0.989,0.848
37,0.28658995900651535,0.129,95.93,0.998,0.958,0.324,87.92,0.989,0.836
38,0.2756757868065251,0.1239,95.92,0.998,0.958,0.2602,90.75,0.992,0.877
39,0.26771315096093595,0.1164,96.14,0.999,0.96,0.272,90.23,0.991,0.866
40,0.2552801615042652,0.1203,96.04,0.998,0.959,0.2952,89.34,0.99,0.85
41,0.2527937756167899,0.1116,96.43,0.999,0.963,0.2924,89.4,0.991,0.86
42,0.2415054714937004,0.1099,96.48,0.999,0.964,0.2669,90.26,0.992,0.867
43,0.23353567365690958,0.1028,96.67,0.999,0.966,0.2555,90.9,0.992,0.874
44,0.22998031159099058,0.1018,96.75,0.999,0.967,0.2499,90.81,0.993,0.875
45,0.2300473667091603,0.1005,96.8,0.999,0.967,0.2637,90.42,0.992,0.868
46,0.22419512872215655,0.1002,96.72,0.999,0.967,0.2674,90.54,0.992,0.87
47,0.22224201851611514,0.1004,96.77,0.999,0.967,0.2586,90.94,0.992,0.877
48,0.2205022385866522,0.1,96.79,0.999,0.967,0.2587,90.89,0.992,0.876
49,0.2207101289745715,0.0998,96.8,0.999,0.967,0.2563,91.03,0.992,0.878
