epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8111138918416962,1.2054,58.62,0.913,0.528,1.7807,30.9,0.759,0.262
1,1.4469109001777154,0.8795,64.66,0.953,0.624,1.253,55.16,0.881,0.464
2,0.9208672694165072,0.5629,78.09,0.977,0.774,0.7652,69.81,0.938,0.611
3,0.7252067456142508,0.4279,84.39,0.988,0.835,0.581,79.09,0.976,0.737
4,0.5851045122249521,0.3329,89.47,0.992,0.892,0.5507,79.44,0.977,0.732
5,0.5824949846422072,0.356,88.01,0.99,0.876,0.5359,81.08,0.978,0.738
6,0.5914612275233372,0.2862,90.44,0.993,0.902,0.4141,85.32,0.982,0.792
7,0.645230505749476,0.3513,88.43,0.99,0.882,0.4777,82.8,0.978,0.773
8,0.6185187362938476,0.3078,89.45,0.992,0.894,0.4225,84.83,0.977,0.787
9,0.6348570546657919,0.4191,85.94,0.986,0.855,0.5808,78.43,0.97,0.724
10,0.617617348972842,0.376,87.31,0.989,0.873,0.515,79.8,0.975,0.758
11,0.6371540178497919,0.3695,86.8,0.989,0.862,0.5954,77.28,0.969,0.707
12,0.6659266575634908,0.3093,89.78,0.992,0.896,0.4603,83.03,0.978,0.78
13,0.6684350302751115,0.3502,88.05,0.99,0.879,0.5303,81.67,0.973,0.755
14,0.6605719518747261,0.3109,90.1,0.992,0.899,0.4791,82.49,0.974,0.763
15,0.6264410932287038,0.3021,89.99,0.992,0.897,0.5946,78.64,0.97,0.728
16,0.6153586536860295,0.2633,91.22,0.993,0.911,0.4729,82.71,0.978,0.78
17,0.6297155582218719,0.2934,90.2,0.992,0.9,0.4862,82.22,0.975,0.767
18,0.5564774096869737,0.2676,91.33,0.993,0.911,0.4959,81.19,0.979,0.752
19,0.5515320320352376,0.3053,89.12,0.992,0.89,0.4738,83.01,0.976,0.759
20,0.8277155139463411,0.4024,86.27,0.986,0.857,0.6236,77.01,0.965,0.71
21,0.6185965917522102,0.6324,76.59,0.969,0.741,0.8212,70.66,0.942,0.647
22,0.6138328500360036,0.2446,91.82,0.994,0.917,0.3491,87.95,0.986,0.836
23,0.5112765731571389,0.2203,92.61,0.996,0.925,0.3595,87.12,0.987,0.821
24,0.5042468225784439,0.2577,91.24,0.995,0.911,0.4509,83.33,0.979,0.759
25,0.4587001851994357,0.2176,92.65,0.996,0.925,0.3894,85.33,0.985,0.809
26,0.45325399753001094,0.2198,92.52,0.996,0.924,0.3601,86.36,0.987,0.822
27,0.4374150331500623,0.1876,93.82,0.996,0.936,0.3657,86.36,0.986,0.813
28,0.40231702160492216,0.1834,93.93,0.997,0.938,0.3593,86.66,0.985,0.814
29,0.3909217121360971,0.1865,93.79,0.997,0.937,0.4074,85.28,0.984,0.795
30,0.40682974329097665,0.1739,94.24,0.997,0.941,0.3335,87.29,0.988,0.827
31,0.36460279882383,0.1564,95.08,0.997,0.95,0.3135,89.03,0.989,0.85
32,0.3410545420303619,0.1427,95.49,0.998,0.954,0.3073,88.63,0.989,0.844
33,0.3250421606165042,0.15,95.35,0.998,0.952,0.3373,87.46,0.987,0.826
34,0.31181806915526766,0.1346,95.68,0.998,0.956,0.3244,88.62,0.989,0.841
35,0.30334679964635014,0.1208,96.25,0.998,0.962,0.2622,91.02,0.992,0.873
36,0.28988276507785854,0.1241,96.0,0.998,0.959,0.2563,90.97,0.992,0.871
37,0.2815591065789298,0.1153,96.34,0.998,0.963,0.2685,90.38,0.992,0.865
38,0.264627648664893,0.1181,96.19,0.999,0.961,0.2424,91.46,0.993,0.88
39,0.2584571562868228,0.115,96.23,0.999,0.961,0.2678,90.02,0.992,0.855
40,0.2526292477151473,0.1053,96.72,0.999,0.967,0.2624,90.9,0.992,0.87
41,0.24404749510099563,0.1027,96.77,0.999,0.967,0.2402,91.57,0.993,0.882
42,0.23295641031196648,0.1024,96.84,0.999,0.968,0.2464,91.22,0.993,0.878
43,0.22906477792228727,0.0977,96.88,0.999,0.968,0.2513,91.09,0.992,0.873
44,0.22926355190843128,0.0981,96.89,0.999,0.968,0.2448,91.46,0.993,0.88
45,0.22204879280045736,0.0948,97.0,0.999,0.969,0.2488,91.14,0.993,0.876
46,0.2182844815065535,0.0966,97.05,0.999,0.97,0.2519,91.2,0.992,0.874
47,0.21347211622934548,0.0934,97.06,0.999,0.97,0.2528,91.17,0.992,0.874
48,0.21339688090969333,0.094,97.04,0.999,0.97,0.2476,91.49,0.992,0.878
49,0.21550321268091957,0.0934,97.04,0.999,0.97,0.2475,91.35,0.993,0.876
