epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8140769229140332,1.1476,60.08,0.926,0.514,1.692,42.74,0.743,0.332
1,2.3825730320373317,1.8618,28.08,0.669,0.198,1.9117,26.12,0.686,0.126
2,1.9834828972816467,1.7945,30.79,0.728,0.225,1.8716,29.78,0.732,0.243
3,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
4,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
5,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
6,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
7,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
8,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
9,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
10,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
11,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
12,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
13,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
14,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
15,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
16,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
17,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
18,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
19,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
20,nan,1.846,30.3,0.679,0.199,1.9632,32.05,0.608,0.182
