epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.019071873798165,1.74,37.95,0.75,0.294,1.7149,47.1,0.722,0.331
1,2.1753413044850887,2.0915,14.08,0.588,0.085,1.8814,40.39,0.716,0.241
2,2.040255258587526,2.0763,14.49,0.47,0.074,2.0992,11.98,0.553,0.063
3,2.0605482149295056,2.1906,11.45,0.477,0.039,1.9908,15.87,0.698,0.105
4,2.0334726046490412,2.0484,17.43,0.59,0.114,1.8528,35.97,0.686,0.211
5,2.004377384766883,2.0443,17.57,0.573,0.101,1.8812,34.58,0.71,0.158
6,1.9640435375620386,1.8984,25.55,0.657,0.166,2.1122,17.4,0.587,0.111
7,1.9512057787201311,1.9078,23.37,0.645,0.203,1.7754,35.2,0.718,0.226
8,1.9356004392801647,1.9515,24.05,0.616,0.179,1.6357,41.73,0.749,0.246
9,1.9029777485837218,1.9211,21.67,0.658,0.139,2.0202,21.25,0.591,0.112
10,1.8990059232199064,1.9334,25.04,0.66,0.144,2.0515,26.73,0.588,0.124
11,1.8904022206969586,1.8214,23.53,0.687,0.177,1.9444,23.54,0.673,0.171
12,1.8806655650497766,1.8331,28.86,0.691,0.253,1.9769,22.77,0.613,0.141
13,1.872085787916696,1.849,21.2,0.67,0.151,1.9145,24.52,0.632,0.118
14,1.8902730503817187,1.8568,27.69,0.666,0.223,1.9068,31.42,0.633,0.153
15,1.8684740436119844,1.7417,31.13,0.715,0.26,1.6841,39.24,0.761,0.297
16,1.8162720211945127,1.7625,31.67,0.716,0.289,1.6228,41.18,0.76,0.335
17,1.8125873327682522,1.8109,28.64,0.705,0.208,1.764,36.4,0.737,0.275
18,1.801529456851303,1.8181,26.41,0.706,0.201,1.8624,29.2,0.689,0.231
19,1.793297554429714,1.7611,31.97,0.722,0.283,1.5876,41.95,0.778,0.355
20,1.7363836566607158,1.7236,32.16,0.738,0.29,1.5425,43.22,0.77,0.338
21,1.7296818016250501,1.7288,34.38,0.752,0.306,1.5361,40.6,0.799,0.355
22,1.7360392667913949,1.7556,31.07,0.712,0.285,1.8211,33.4,0.701,0.247
23,1.7472906097716328,1.7227,30.96,0.744,0.274,1.7003,36.22,0.756,0.313
24,1.723566912194734,1.7184,34.29,0.739,0.304,1.6429,40.36,0.776,0.355
25,1.7054664058924576,1.6858,34.12,0.751,0.3,1.6153,43.14,0.778,0.349
26,1.693713569726568,1.8032,29.42,0.72,0.241,1.6024,43.25,0.782,0.333
27,1.6744679107888198,1.7514,31.3,0.746,0.252,1.731,37.57,0.754,0.29
28,1.673438782973956,1.7006,32.91,0.75,0.282,1.5654,43.8,0.788,0.348
29,1.6624125977143591,1.6718,33.58,0.761,0.304,1.6555,38.32,0.773,0.34
30,1.6537562773219145,1.6885,33.06,0.754,0.283,1.5383,44.59,0.795,0.338
31,1.640829264476735,1.6647,34.22,0.765,0.323,1.6479,39.37,0.767,0.324
32,1.635595756405998,1.6348,35.52,0.773,0.341,1.5812,41.8,0.78,0.344
33,1.6210741872855838,1.6221,35.66,0.78,0.323,1.5718,43.75,0.787,0.352
34,1.6196234296726923,1.6671,33.64,0.765,0.298,1.4861,45.14,0.81,0.368
35,1.6013474197370605,1.6571,34.95,0.781,0.305,1.5442,43.79,0.781,0.351
36,1.5917547330206867,1.6301,34.63,0.765,0.318,1.448,46.01,0.818,0.377
37,1.5847797028480037,1.6101,36.63,0.786,0.327,1.4543,46.88,0.817,0.399
38,1.5704438577416122,1.5984,36.48,0.782,0.342,1.398,46.69,0.823,0.4
39,1.5532283887640976,1.5893,37.11,0.798,0.34,1.4694,42.6,0.807,0.368
40,1.5401728283547158,1.5873,35.77,0.802,0.326,1.4192,48.6,0.826,0.409
41,1.5318830793049174,1.5928,35.92,0.798,0.321,1.4039,50.59,0.822,0.392
42,1.5218099597107124,1.5875,37.5,0.794,0.341,1.3804,49.72,0.83,0.41
43,1.514641640006855,1.5773,37.92,0.798,0.345,1.3605,50.18,0.828,0.413
44,1.5006380299086213,1.5598,38.39,0.803,0.345,1.3333,51.86,0.838,0.421
45,1.500998903346318,1.5565,39.07,0.801,0.363,1.3355,49.93,0.842,0.43
46,1.4950420412111454,1.5688,37.91,0.803,0.351,1.3898,47.94,0.83,0.42
47,1.4896435214199901,1.5597,38.64,0.805,0.361,1.3768,47.54,0.83,0.41
48,1.4891723781076383,1.5521,38.93,0.805,0.359,1.3429,50.43,0.837,0.428
49,1.4846237972645777,1.5526,38.82,0.805,0.359,1.3483,49.96,0.837,0.425
